Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,CR,P,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized
CRIM,3302,0W1,10,6,2,1,,,,,,,1,,1,,,"Polk, Elmer O",,,,,,peo091000,elmer polk
CRIM,3310,0U1,,28,,,4,,,8,,,3,,2,,,"Park, Yeonjae","Kanvinde, Vrishali",,,,,spg160530,sarah gammell
CRIM,3311,0U1,,2,1,2,2,1,5,2,,,,1,,,,"Riddell, Jordan R",,,,,,jxr122330,
CRIM,3320,0U1,5,11,10,11,4,,3,,1,,1,,1,,,"Corey, Jessica","Hayslip, Melissa P",,,,,mxh160630,michael huskey
CRIM,3324,0W1,5,7,7,6,9,7,8,3,,,,1,2,,,"Derlic, Dragana","Sanders, Whitney S",,,,,oae140130,fenny omobolanle
CRIM,6308,0W1,,17,1,,,,,,,,,,,,,"Polk, Elmer O",,,,,,peo091000,elmer polk
CRWT,3307,551,3,3,3,,,1,1,,,,,,,,,"Hashim, Sahalie S",,,,,,sxh126730,sahalie hashim
CS,1134,1U1,18,,1,1,,,,1,,,,,,,,"Min, Richard K",,,,,,gxa120930,gordon arnold
CS,1136,1U1,16,,2,,,,,,,1,,,,,,"Min, Richard K",,,,,,gxa120930,gordon arnold
CS,1136,1U2,9,,1,,1,,1,,2,,,,,,,"Min, Richard K",,,,,,gxa120930,gordon arnold
CS,1325,0U1,4,7,4,7,8,1,1,1,,,,,2,,,"Paulk, Mark C","Tian, Zijing",,,,,mcp130030,mark paulk
CS,1334,0U1,2,5,5,2,2,2,2,,,,1,,1,,,"Arnold, Gordon L",,,,,,axn112530,anurag nagar
CS,1335,0U1,1,5,4,1,3,4,,1,1,2,1,,,,,"Erbatur, Serdar","Guo, Hung-Jui",,,,,mgc013000,michael christiansen
CS,1336,0U1,2,6,3,2,3,6,1,,2,,,,3,,,"Arnold, Gordon L",,,,,,gxa120930,gordon arnold
CS,1336,5U1,3,5,2,5,2,,,1,2,,,,1,,,"Gupta, Neeraj K","Mahzari, Anahita","Guo, Jianxiong",,,,nkg140130,neeraj gupta
CS,1337,0U1,2,,2,3,5,2,4,4,1,1,2,1,4,,,"Shields, Charles O","Benton, Samuel D",,,,,cshields,charles shields
CS,1337,0U2,4,2,8,2,2,1,,5,,,,,2,,,"DeGroot, Doug","Guo, Hung-Jui","Benton, Samuel D",,,,kvl140030,khiem le
CS,2305,0U1,2,6,2,2,4,2,2,1,,1,,,3,,,"Feng, Ranran","Garg, Srishti",,,,,rxf090020,ranran feng
CS,2305,5U1,8,11,,,8,1,,,,,,,1,,,"Farage, Timothy P",,,,,,tfarage,timothy farage
CS,2336,0U1,18,6,2,2,1,1,,,,,,,,,,"Khan, Ziaullah","Song, Zihe","Lam, Tan D",,,,kkhan,ziaullah khan
CS,2336,0U2,,2,4,3,1,3,,1,,1,,1,2,,,"Feng, Ranran","Guo, Jinghui",,,,,kkhan,ziaullah khan
CS,2336,5U1,12,16,3,,,,,1,1,,,,,,,"Khan, Ziaullah","Lam, Tan D",,,,,kkhan,ziaullah khan
CS,3305,0U1,4,25,,1,3,,1,,,,1,,,,,"Farage, Timothy P",,,,,,tfarage,timothy farage
CS,3305,0U2,2,2,6,6,9,3,,1,,,,,,,,"Prakash, Ravi",,,,,,gxi160230,genya ishigaki
CS,3305,0U3,3,4,7,4,4,2,1,,2,,1,,,,,"Kumar, Pushpa S","Guo, Junfeng",,,,,pkumar,pushpa kumar
CS,3340,0U1,2,3,5,3,3,3,3,4,,1,,2,,,,"Mazidi, Karen J","Kobayashi, Hideo","Kong, Zelun",,,,kjm160430,karen mazidi
CS,3340,0U2,12,3,4,4,3,5,1,3,,,1,,,,,"Karami, Gity","Kong, Zelun","Wang, Haoliang",,,,kjm160430,karen mazidi
CS,3341,0U1,15,4,4,4,6,3,2,1,2,,1,1,2,,,"Whalen, Tristan G","Zhen, Zhiwei","Wasala Mudiyanselage, Indrajith K",,,,tgw100020,tristan whalen
CS,3345,0U1,5,8,1,3,3,3,,,,1,,,,,,"Ozbirn, Greg A","Wang, Guanghua","Gour, Riti",,,,ozbirn,greg ozbirn
CS,3345,0U2,2,6,3,5,3,1,2,,,1,,,,,,"Ozbirn, Greg A","Hu, Linghuan",,,,,ozbirn,greg ozbirn
CS,3345,5U1,9,5,,2,,,,,,,,,,,,"Khan, Ziaullah",,,,,,kkhan,ziaullah khan
CS,3354,0U1,6,10,5,,1,1,,,,,,,,,,"Smith, Klyne","Yu, Linlin",,,,,mxn143230,mehra borazjany
CS,3354,5U1,3,7,3,1,2,,1,,1,,1,,,,,"Paulk, Mark C","Tian, Zijing",,,,,mcp130030,mark paulk
CS,3360,5U1,2,3,,1,1,2,,1,1,,1,,2,,,"Arnold, Gordon L",,,,,,gxa120930,gordon arnold
CS,3377,0W1,6,4,6,8,3,3,3,2,,,,,,,,"Min, Richard K","Rangasamy, Obuli Vignesh",,,,,rkm010300,richard min
CS,4141,6U1,15,2,2,1,2,,,1,,,,,,,,"Nguyen, Nhut","Malouf, Brian D",,,,,nhutnn,nhut nguyen
CS,4301,0U1,14,1,6,2,2,3,2,2,1,,,,1,,,"Karami, Gity","Wang, Haoliang",,,,,gxk180009,gity karami
CS,4336,0U1,11,8,5,4,2,1,,,1,,,1,4,,,"Ozbirn, Greg A","Wang, Guanghua",,,,,ozbirn,greg ozbirn
CS,4337,0U1,4,8,5,3,,2,1,,2,,,,,,,"Davis, Chris I","Liu, Bohan",,,,,cid021000,chris davis
CS,4337,0U2,12,2,2,5,1,2,1,1,2,,2,,1,,,"Karami, Gity","Ricks, Brian W",,,,,gxk180009,gity karami
CS,4341,0U1,1,4,6,3,2,,,,3,3,2,,1,,,"Nguyen, Nhut","Malouf, Brian D",,,,,nhutnn,nhut nguyen
CS,4347,0U1,1,13,4,5,1,,,1,1,1,,,1,,,"Cankaya, Ebru C","Li, Xiao",,,,,exc067000,ebru cankaya
CS,4347,0U2,6,3,4,5,1,,,,,,1,,1,,,"Christiansen, Michael G","Garg, Srishti",,,,,mgc013000,michael christiansen
CS,4348,0U1,3,4,9,4,8,7,1,,2,,1,,,,,"Christiansen, Michael G","Mukherjee, Kunal",,,,,sxb155530,
CS,4348,5U1,1,3,2,4,2,5,,,3,,,1,2,,,"Salazar, Elmer E","Wang, Chengen",,,,,ees101020,elmer salazar
CS,4349,0U1,7,13,3,1,7,,,1,,,,,,,,"Cankaya, Ebru C","Ashtiani, Omeed E","Guo, Junfeng",,,,exc067000,ebru cankaya
CS,4349,0U2,1,7,7,2,2,3,1,,,,,,,,,"Erbatur, Serdar",,,,,,sxe190003,serdar erbatur
CS,4349,0U3,,5,4,3,1,1,1,,,,,,,,,"Chitturi, Bhadrachalam","Patel, Dhruvkumar R",,,,,chalam,chitturi bhadrachalam
CS,4375,0U1,,3,10,8,4,1,,2,,1,,,1,,,"Mazidi, Karen J","Kobayashi, Hideo",,,,,kjm160430,karen mazidi
CS,4375,0U2,4,8,5,8,1,3,,,,,,,1,,,"Nagar, Anurag","Guo, Jinghui",,,,,kjm160430,karen mazidi
CS,4384,0U1,2,4,4,3,,4,5,2,3,2,2,1,3,,,"Shields, Charles O","Wang, Chengen",,,,,cshields,charles shields
CS,4384,0U2,1,4,8,3,3,,,,,,,,,,,"Davis, Chris I","Wu, Zhouxiang",,,,,cid021000,chris davis
CS,4390,0U1,1,2,4,4,2,3,1,3,,1,1,,2,,,"Le, Khiem V","Gour, Riti",,,,,kvl140030,khiem le
CS,4390,0U2,,4,3,4,5,3,,3,1,,2,,,,,"Nguyen, Nhut","Kobayashi, Hideo","Mai, Kelvin K",,,,jcobb,jorge cobb
CS,4393,0U1,1,6,3,3,6,,,2,3,,,,,,,"Nguyen, Nhut","Mai, Kelvin K",,,,,nhutnn,nhut nguyen
CS,5343,0U1,,7,3,1,3,,,,,,,,,,,"Gupta, Neeraj K","Li, Xiao",,,,,nkg140130,neeraj gupta
CS,6301,0U1,,14,13,4,,,,,,,,,,,,"Nagar, Anurag","Wu, Zhouxiang",,,,,bxt043000,bhavani thuraisingham
CS,6301,0U3,,24,,,,,,,,,,,,,,"Thuraisingham, Bhavani","Ricks, Brian W",,,,,bxt043000,bhavani thuraisingham
CS,6314,5U1,,6,4,,,,,,,,,,,,,"Min, Richard K","Patel, Dhruvkumar R",,,,,rkm010300,richard min
CS,6350,0U1,,11,12,8,2,,,,,,,,,,,"Nagar, Anurag","Wang, Huaduo","Wu, Zhouxiang",,,,axn112530,anurag nagar
CS,6359,0U1,,4,4,4,4,,,,,,,,,,,"Zhang, Kang","Mukherjee, Kunal",,,,,mxn143230,mehra borazjany
CS,6360,5U1,,16,9,2,5,,,,,,,,,,,"Davis, Chris I","Liu, Bohan",,,,,cid021000,chris davis
CS,6363,0U1,,13,20,5,2,,,,,,,,,,,"Chandrasekaran, Ramaswamy","De, Partha",,,,,chandra,ramaswamy chandrasekaran
CS,6364,0U1,,22,8,2,1,2,2,2,,,,,,,,"Schweitzer, Haim","Jin, Rong",,,,,haim,haim schweitzer
CS,6366,0U1,,8,6,5,3,2,,2,,,,,1,,,"Zhang, Kang","Malik, Hemant",,,,,kzhang,kang zhang
CS,6367,0U1,,8,1,1,1,,,,,,,,,,,"Wong, Weichen E",,,,,,wew021000,weichen wong
CS,6375,5U1,,7,5,5,9,1,1,2,,,,,1,,,"Schweitzer, Haim","Wan, Guihong",,,,,haim,haim schweitzer
CS,6375,MU1,,7,2,1,,,,,,,,,,,,"Nagar, Anurag",,,,,,axn112530,anurag nagar
CS,6378,0U1,,5,8,4,7,1,,1,,,,,,,,"Mittal, Neeraj","Wang, Huaduo",,,,,nxm020100,neeraj mittal
CS,6385,0W1,,22,,2,2,,,3,,,,,,,,"Farago, Andras","Guo, Jianxiong",,,,,farago,andras farago
DANC,1310,0H1,4,17,9,2,5,,,1,,,,,,,,"Saba, Monica",,,,,,msaba,monica saba
ECON,2301,0U1,7,12,5,2,2,3,,1,2,,,,,,,"Han, Minyu",,,,,,zxc151030,zhengyang chen
ECON,2302,0U1,5,5,7,3,4,6,3,4,1,,,,2,,,"Hou, Aoyu",,,,,,axh153230,
ECON,2302,5U1,1,5,5,4,4,3,2,,,,,,1,,,"Shi, Tianjian",,,,,,zxz110530,zeyu zhang
ECS,2361,0U1,,30,25,14,6,2,,,,,,,1,,,"McCaskill, John R",,,,,,jrm094020,john mccaskill
ECS,2361,0U2,,22,6,12,7,2,3,,,,,,,,,"Harrington, James","Park, Yong Jun",,,,,jxh134630,james harrington
ECS,2361,5U1,,30,17,11,11,2,1,,2,1,,,,,,"McCaskill, John R","Harrington, James","Park, Yong Jun",,,,jrm094020,john mccaskill
ECS,3390,051,12,6,1,,,,,,,,,,,,,"Montgomery, Christina",,,,,,lem150330,lindsay moore
ECS,3390,053,,12,1,2,2,,,,,,,,2,,,"Glauser, Janece B",,,,,,wac010100,wade crowder
ECS,3390,054,1,7,2,3,1,,,,1,,,,,,,"King, Carie S",,,,,,cxl085200,carie king
ECS,3390,055,4,8,,1,,1,2,,,,2,,,,,"King, Carie S",,,,,,cxl085200,carie king
ECS,3390,091,,14,,,2,,,2,,,,,,,,"Scally, Deborah A",,,,,,das,deborah scally
ECS,3390,092,,13,3,1,,,,,,,,,,,,"Mohsene, Laura L",,,,,,olive,laura mohsene
ED,4358,0W1,1,6,2,,1,2,1,1,,,,,2,,,"Root, Alexey",,,,,,aroot,alexey root
EE,3201,0U1,3,8,5,3,1,,,2,,,,,,,,"Nikoubin, Tooraj","Steele, Alec M","Jain, Apurva",,,,kamran,kamran kiasaleh
EE,3202,0U1,,12,4,1,3,2,2,1,1,,,,,,,"Kiasaleh, Kamran","Apalak, Merve",,,,,kamran,kamran kiasaleh
EE,3301,0U1,4,6,1,1,4,,1,2,2,,,,1,,,"Tacca, Marco","Abousaba, Mohammad F","Wang, Jianda",,,,kamran,kamran kiasaleh
EE,3302,0U1,2,2,1,,3,2,,,,,,,,,,"Kehtarnavaz, Nasser","Quayum, Ayon",,,,,sxa074200,soudeh khoubrouy
EE,3310,0U1,3,4,1,2,2,2,1,5,1,,,,2,,,"Lee, Jeong-Bong",,,,,,jblee,jeong bong lee
EE,3311,0U1,1,3,6,4,6,2,1,,,,,,,,,"Lee, Hoi","Chen, Chen","Xiong, Jiu",,,,sxp124631,siavash pourkamali
EE,3311,5U1,,2,8,5,2,1,,,,,,,,,,"Sechen, Carl","Hu, Bo","Palit, Prithviraj",,,,cms057000,carl sechen
EE,3320,0U1,3,,2,2,2,,1,,,,1,,,,,"Nikoubin, Tooraj","Sears, Mark R",,,,,txn190011,tooraj nikoubin
EE,4203,0U1,7,4,3,2,2,2,1,,1,,,,,,,"Kehtarnavaz, Nasser","Azarang, Arian","Majumder, Sharmin",,,,nxk019000,nasser kehtarnavaz
EE,4388,0U1,,14,6,2,,,,,,,,,,,,"Skinner, Neal G","Noor Shoudha, Shamman",,,,,dinesh,dinesh bhatia
EE,4389,0U1,3,19,2,6,1,,,,,,,,,,,"Bhatia, Dinesh","Gandluru, Veerabharathchandrareddy",,,,,dinesh,dinesh bhatia
EEBM,7V87,0W1,,14,,,,,,,,,,,,,,"Tamil, Lakshman",,,,,,laxman,lakshman tamil
EEOP,6314,0H1,,22,3,,,,,,,,,,,,,"Tamil, Lakshman",,,,,,laxman,lakshman tamil
EERF,7V89,0W1,,10,,,6,,,,,,,,,,,"Henderson, Rashaunda M","Virushabadoss, Nishanth",,,,,rmh072000,rashaunda henderson
ENGR,2300,0U1,4,6,4,3,9,,4,3,4,,2,,2,,,"Akin, Bilal","Li, Chen","Hassan, Rana A",,,,skinner,neal skinner
ENGR,3300,0U1,,26,2,3,12,1,,6,,,,,,,,"Ali, Mohammed Z","Upadhyay, Bhaskar R","Nourmohamadi, Hesam",,,,mohammed,ali mohammed
ENGR,3341,0U1,1,4,5,2,4,5,9,4,4,,,6,2,,,"Fonseka, John","Hassan, Rana A","Mahmoud, Mohamed H",,,,kjp,john fonseka
ENTP,3301,0U1,11,8,12,10,1,1,1,,,,,,,,,"Nichols, Paul M",,,,,,sxg172931,steven guengerich
ENTP,4340,0U1,20,25,3,,1,1,,1,,,,,,,,"Goodrich, Mary Beth W",,,,,,goodrich,mary beth goodrich
ENTP,6321,5U1,,3,,,6,,,1,,,,,,,,"Guttery, Randall",,,,,,rxg112530,randall guttery
ENTP,6370,0W1,,13,6,2,3,1,,,,,,,,,,"Kimzey, Jackie","Kwon, Jung Hyun",,,,,jxk092000,jackie kimzey
ENTP,6375,0W1,,5,3,1,,,,,,,,,1,,,"Bochsler, Daniel C",,,,,,dcb091000,daniel bochsler
EPPS,2301,5U1,,10,5,,2,1,,,,,,,,,,"Narvey, Chelsey",,,,,,dxz161530,chelsey narvey
EPPS,2302,5U1,,5,6,2,3,,,,,,,,1,,,"Cavallo De Oliveira, Paulo Marcio","Akarte, Prajakti V",,,,,sph120030,paulo marcio cavallo de oliveira
EPPS,7V81,001,,14,4,,3,,,,,,,,,,,"Ho, Karl","Yang, Yalin",,,,,bcalex,bobby alexander
FILM,1303,0U1,,7,2,,,,1,,,,,,,,,"Al-Habashneh, Eman Bahjat",,,,,,eba130130,eman al habashneh
FILM,3321,051,1,8,1,1,2,,,,,,,,,,,"Warren, Shilyh J",,,,,,sjw120030,shilyh warren
FIN,3305,5U1,,2,2,,10,1,,5,,,1,,,,,"Guttery, Randall",,,,,,jxl180030,julie lynch
FIN,3320,0U1,,7,10,7,4,6,1,1,2,,,,,,,"Heidtman, David M",,,,,,jxm158130,jeffrey manzi
FIN,3320,0U2,1,11,11,5,6,3,2,,,,,,,,,"Peabody, Stephen D",,,,,,jxm158130,jeffrey manzi
FIN,3320,0U3,2,10,16,5,4,,1,3,1,1,,,,,,"Peabody, Stephen D",,,,,,sdp093020,
FIN,3320,0W1,,15,12,7,4,3,,1,,,,,,,,"Manzi, Jeff",,,,,,jxm158130,jeffrey manzi
FIN,3320,5U2,2,8,6,4,4,2,2,1,1,1,1,,1,,,"Zhao, Yabo",,,,,,yxz163130,yabo zhao
FIN,3330,0U1,,13,,,3,,,5,,,,,,,,"Lynch, Julie",,,,,,sdp093020,
FIN,3340,0U1,27,11,5,1,,,1,1,,,,,,,,"Molina, Stephen","Wendel, Alexa P",,,,,sxm163630,stephen molina
FIN,3350,0U1,,15,,,5,,,,,,,,,,,"Smith, Kenneth L",,,,,,jrr013500,james richards
FIN,3360,0U1,1,5,7,6,12,4,,,2,,,,1,,,"Pedigo, Madison F",,,,,,mfp013000,madison pedigo
FIN,3390,5U1,6,5,6,3,8,6,5,4,4,1,2,,2,,,"El-Ashmawi, Amal H","Zhu, Yifan",,,,,ahe013000,amal el ashmawi
FIN,3395,5U1,,3,3,2,3,3,,,,,,,,,,"Noland, Jeff",,,,,,jxn125330,jeff noland
FIN,4300,0U1,3,2,1,2,3,8,4,1,3,,1,,1,,,"Kim, Sang Hyun",,,,,,swx170030,
FIN,4310,0U1,1,4,,4,9,4,8,3,3,,1,,2,,,"Anderson, Frank W",,,,,,jrm160330,jennifer murray
FIN,6301,0W1,,44,,,5,,,,,,,,,,,"El-Ashmawi, Amal H","Zhu, Yifan",,,,,tday,theodore day
FIN,6301,5U1,,10,4,2,3,3,1,,,,,,,,,"Baranchuk, Nina",,,,,,rbk160130,revansiddha khanapure
FIN,6301,CW1,,20,3,2,3,2,,,,,,,1,,,"Reichert, Carolyn A",,,,,,carolyn,carolyn reichert
FIN,6301,PU1,,16,2,3,2,1,1,,,,,,,,,"Reichert, Carolyn A",,,,,,carolyn,carolyn reichert
FIN,6301,XU1,,25,1,,5,1,,1,,,,,,,,"El-Ashmawi, Amal H","Zhu, Yifan",,,,,ahe013000,amal el ashmawi
FIN,6307,5U1,,12,3,1,3,1,,,,,,,,,,"Ma, Liping","Srivastava, Smriti",,,,,lxm133730,liping ma
FIN,6308,0W1,,8,,1,2,3,,,,,,,,,,"Lewin, Peter","Lee, Pil-Seng",,,,,plewin,peter lewin
FIN,6310,5U1,,18,3,1,1,1,,1,,,,,,,,"Kaur, Dupinderjeet","Lee, Pil-Seng",,,,,dxk110730,dupinderjeet kaur
FIN,6316,SU1,,6,6,5,3,2,,,,,,,,,,"Springate, David J",,,,,,spring8,david springate
FIN,6318,5U1,,18,9,4,3,,,,,,,,,,,"Ma, Liping","Srivastava, Smriti",,,,,lxm133730,liping ma
FIN,6350,0W1,,9,4,5,14,,,,,,,,,,,"Reichert, Carolyn A",,,,,,carolyn,carolyn reichert
FIN,6352,5U1,,5,2,1,3,,,,,,,,,,,"Springate, David J",,,,,,spring8,david springate
FIN,6360,5U1,,9,,1,,,1,,,,,,,,,"Kaur, Dupinderjeet","Lee, Pil-Seng",,,,,rxg170730,rajesh ghai
FIN,6360,SU1,,18,2,1,1,,,,,,,,,,,"Kaur, Dupinderjeet","Lee, Pil-Seng",,,,,dxk110730,dupinderjeet kaur
GEOG,3359,051,,13,7,4,1,1,,2,,,,1,1,,,"Vakulenko, Irina",,,,,,iav081000,irina vakulenko
GEOG,3382,051,3,5,3,1,,1,,,,,,,,,,"Vakulenko, Irina",,,,,,iav081000,irina vakulenko
GEOS,1303,051,11,15,4,2,1,,2,,1,,,,,,,"Griffin, William R","Wang, Ning",,,,,griffin,william griffin
GEOS,4300,0S1,4,11,2,,3,2,2,,,,,,,,,"Pirouz, Mortaza","Stine, Jonathan M","Akatakpo, Solomon O","Newman, Jordan W","Johnson, Samuel P","Geissman, John W",mxp180004,mortaza pirouz
GOVT,2305,0U1,,39,,,19,,,6,,,1,,3,,,"Eaton, John M","Stanaland, Leslie",,,,,jgc130130,
GOVT,2305,0U2,,28,,,14,,,4,,,,,2,,,"Eaton, John M","Stanaland, Leslie",,,,,rjl140330,ryan lux
GOVT,2306,0U1,,50,13,4,6,7,1,1,1,,,,,,,"Gutierrez Mannix, Carlos Daniel","Oketch, Christine E",,,,,ckc150230,carlos daniel gutierrez mannix
GOVT,2306,0U2,,56,16,2,3,2,1,2,,,,,3,,,"Gutierrez Mannix, Carlos Daniel","Oketch, Christine E",,,,,cxg172030,carlos gutierrez mannix
HCS,7376,5U1,,10,1,,,,,,,,,,,,,"Barfoot, John W",,,,,,jwb043000,john barfoot
HDCD,6370,0U1,,10,,1,,,,,,,,,,,,"Ewing, Donna M",,,,,,dme061000,donna ewing
HIST,1302,0U1,33,19,8,4,2,2,2,1,,,1,1,4,,,"Varghese, Shawn","Simmons, Alyssa",,,,,sxv140730,shawn varghese
HIST,2301,591,,26,,8,21,3,1,8,4,1,3,,4,,,"Volanto, Keith J","Zawng, Ze",,,,,kjv062000,keith volanto
HIST,3328,091,,2,4,2,4,,1,,,,,,4,,,"Dennis, Patrick W",,,,,,pdennis,patrick dennis
HIST,3379,051,1,4,,2,3,3,,1,,,1,,1,,,"Schulze, Jeffrey",,,,,,jxs072200,jeffrey schulze
HIST,4344,0W1,6,5,7,7,2,2,1,,,,,,,,,"Pfister, Debra H",,,,,,dhpf,debra pfister
HIST,6340,591,,2,5,3,,,,,,,,,,,,"Wilson, Michael",,,,,,mwilson,michael wilson
HLTH,1301,0W1,2,1,4,3,1,1,,,1,,,,,,,"Baetge, Claire",,,,,,cxb170330,claire baetge
HLTH,3300,0U1,,47,8,2,,,,3,,,,,,,,"Byrnes, Kathleen A",,,,,,kab019000,kathleen byrnes
HMGT,3301,5U1,7,16,7,4,2,,1,,,,,,,,,"Wylie, Mary",,,,,,brb051000,britt berret
HMGT,6320,CH1,,12,1,2,1,,,1,,,,,,,,"Jacob, Stephen",,,,,,,stephen jacob
HMGT,6331,5U1,,14,1,,1,,,,,,,,,,,"Malaise, Michael",,,,,,mhm130430,michael malaise
HMGT,6332,5U1,,18,9,3,1,3,2,,,,,,,,,"Ramanathan, Kannan",,,,,,kxr087000,kannan ramanathan
IMS,3310,0U1,2,5,23,11,2,2,1,,,,,,,,,"Bai, Xiaoou",,,,,,xxl133730,
IMS,3310,0U2,,16,,6,13,1,1,4,1,1,,1,2,,,"Henderson, Tom",,,,,,txh093000,tom henderson
IMS,3310,5U1,1,8,1,2,25,1,,1,1,,3,,4,,,"Henderson, Tom",,,,,,txh093000,tom henderson
IMS,6304,AW1,,11,,,4,,,,,,,,,,,"Petrik, Peter","McCracken, John",,,,,,peter petrik
IMS,6360,0W1,,37,21,14,3,,1,2,,,,,,,,"Olsztynska, Agnieszka","Welbourne Eleazar, Miranda J",,,,,kxs014600,kurt siklar
IPEC,4305,0U1,6,13,7,4,1,,,,1,,,,,,,"Islam, Iftekhairul",,,,,,ixi102020,
IPEC,4396,0U1,4,5,4,3,2,1,,,,,,,,,,"Saucedo De La Fuente, David",,,,,,sxd153330,david saucedo de la fuente
ISIS,3335,091,4,6,5,4,3,4,1,1,2,,,,1,,,"Rosa, Jonathan",,,,,,jxr172530,jonathan rosa
ISIS,4304,051,,17,,1,3,1,2,1,,,,,,,,"Werhnyak, Larissa",,,,,,lxw163630,larissa werhnyak
ISNS,2359,0W1,38,21,7,7,7,,2,,,,,2,5,,,"Pujana, Ignacio",,,,,,pxs077000,prabin shilpakar
ISNS,2367,0W1,17,24,13,8,10,4,1,3,1,,,2,9,,,"Pujana, Ignacio",,,,,,pujana,ignacio pujana
ISNS,2367,0W2,3,4,1,,2,,,,1,,,,,,,"Pujana, Ignacio",,,,,,pujana,ignacio pujana
ITSS,3300,0U1,,8,10,5,6,1,1,4,3,1,1,,2,,,"Shrivastava, Prakash C",,,,,,exa170230,
ITSS,3300,5U1,,43,2,3,3,2,,2,,1,,,,,,"Owens, Sean M","Kulkarni, Aniket S",,,,,jxs124931,
ITSS,3311,5U1,15,13,8,4,4,1,,,,,,,,,,"Mishra, Sailendra P",,,,,,yxk130930,yeongin kim
ITSS,3312,5U1,22,2,20,2,1,,3,6,,,,,,,,"Perez, Jerry","Kulkarni, Aniket S",,,,,mxy131030,
ITSS,3390,5U1,1,4,10,6,,,,,,,,,,,,"Arora, Vivek",,,,,,vxa081000,vivek arora
ITSS,4300,5U1,,5,4,3,6,4,4,2,1,,,,,,,"Owens, Dawn M",,,,,,dmo130130,dawn owens
ITSS,4330,0U1,,3,3,3,3,1,,1,,,1,,,,,"Islam, Naser",,,,,,nxi110630,naser islam
ITSS,4340,0U1,,4,3,4,5,3,,3,1,,,,1,,,"Thompson, Luell O",,,,,,lot013000,luell thompson
ITSS,4351,5U1,,17,7,4,2,2,,1,,1,,,,,,"Shekhar, Gaurav",,,,,,gxs150130,gaurav shekhar
ITSS,4352,0U1,7,2,3,1,3,1,1,,1,2,,,1,,,"Bradbury, Judd D",,,,,,jdb101000,judd bradbury
ITSS,4360,5U1,5,19,6,4,3,3,1,,,,,,,,,"Howe, Nate","Zhang, Hong",,,,,ndt180001,nambi thirumalai
ITSS,4370,0U1,12,5,9,2,1,,,1,,,,,1,,,"Fuller, Tony F","Liu, Yihong",,,,,tff170130,tony fuller
ITSS,4V95,5U1,16,6,,1,5,,1,,,,,,,,,"Khan, Taimur A",,,,,,txk123530,taimur khan
LANG,3348,051,7,2,1,1,,,,,,,1,,,,,"Camacho-Guardado, Lorena",,,,,,lxc163230,amalia lorena camacho guardardo
LIT,1301,0U1,4,,7,2,,2,1,1,,,,,,,,"Oliver, Stephanie R",,,,,,sxo180009,stephanie oliver
LIT,2331,0U1,7,8,6,3,,,,1,,,,,3,,,"Shierry, Addison",,,,,,axs084500,addison shierry
LIT,3317,0U1,4,3,1,7,,1,,,,,1,,2,,,"Starnaman, Sabrina",,,,,,sxs090100,sabrina starnaman
LIT,3319,0U1,9,1,1,1,,,,,,,,,1,,,"Ingrao, Peter J",,,,,,jingrao,peter ingrao
LIT,3337,051,,14,4,,1,,,,,,,,2,,,"Brewer, Kenneth L",,,,,,klb092000,kenneth brewer
MAS,6102,0U1,,,,,,,,,,,,,1,,21,"Cirilo, Jason M","Jones, Royce E",,,,,jmc180002,jason cirilo
MATH,1306,0U1,4,2,1,2,2,,,,,,,,1,,,"Duruoha, Adannah",,,,,,dxm146130,derege mussa
MATH,1325,5U1,3,3,3,1,8,1,1,2,,,,,1,,,"Adabrah, Anani Komla","Mitra, Arnaja",,,,,cxl109120,changsong li
MATH,1325,5U2,4,1,4,1,3,1,,,,,,,1,,,"Foley, Manjula","Soliman, Marwah M",,,,,mxf091000,manjula samanmalee foley
MATH,1326,0U1,2,6,4,2,6,2,2,4,,,1,,2,,,"Mussa, Derege","Cao, Jianpeng",,,,,cxl109120,changsong li
MATH,1326,0U2,2,5,1,3,9,6,4,3,1,,,2,1,,,"Nguyen, Mylinh T","Zhang, Yu",,,,,bcm052000,brady mccary
MATH,2312,0U1,1,2,,2,2,1,1,,,2,,1,,,,"Nguyen, Mylinh T","Malhotra, Sakshi",,,,,kxa143530,kelly aman
MATH,2413,0U1,4,5,8,5,8,,1,,,,,,4,,,"Aman, Kelly","Alvarado, Iris",,,,,mma110020,mohammad akbar
MATH,2413,0U2,2,6,6,2,5,2,,,,,1,2,4,,,"Alvarado, Iris","Aman, Kelly",,,,,ila180000,iris alvarado
MATH,2414,0U1,6,3,7,8,5,2,1,2,2,,,1,1,,,"Ahsan, Mohammad K","Abugri, Clement","Ko, Eunmi","Rajapaksha, Lashika N",,,kxa143530,kelly aman
MATH,2414,0U2,5,4,1,4,9,3,2,4,2,1,1,,2,,,"Ahsan, Mohammad K","Abugri, Clement","Ko, Eunmi","Rajapaksha, Lashika N",,,kxa143530,kelly aman
MATH,2415,0U1,9,10,9,1,5,1,,4,1,,,,4,,,"Li, Changsong",,,,,,rxd153030,rabin dahal
MATH,2415,0U2,3,10,7,6,2,5,,1,3,,,,1,,,"Akbar, Mohammad M",,,,,,mma110020,mohammad akbar
