Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,CR,I,NC,W,P,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized
ACCT,2302,5U1,1,8,,2,6,,,5,,2,3,,2,,1,,,,"Zolton, Kathy","Johnson, Jennifer G","Tazhibayev, Galymzhan",,,,cah041000,christopher hess
ACCT,3312,5U1,6,10,9,17,5,2,2,5,3,1,,1,1,,,,,,"Johnson, Jennifer G","Tazhibayev, Galymzhan",,,,,jxj091000,jennifer johnson
ACCT,3331,5U1,3,1,1,2,2,5,4,2,,2,,,,,,,,,"Zhou, Yibin","Shivaani, MV",,,,,yxz066000,yibin zhou
ACCT,3350,5U1,,3,7,7,10,7,3,,,,,,,,,,,,"Frost, Sandra M","Tazhibayev, Galymzhan",,,,,jpg140630,john gamino
ACCT,4334,5U1,,4,2,2,4,2,3,1,,,,,,,,,,,"Paske, Matthew A",,,,,,cah041000,christopher hess
ACCT,6202,0W1,,9,19,8,8,5,1,1,,,,,3,,,,,,"Janakiraman, Surya N","Ai, Lanru",,,,,suryaj,surya janakiraman
ACCT,6301,5U1,,1,4,2,2,5,3,,,,,,,,,,,,"Ballew, Gregory","Kwon, Yeongmin",,,,,srp065000,stephanie poindexter swaim
ACCT,6305,0W1,,2,3,3,5,2,,,,,,,,,,,,,"Janakiraman, Surya N","Ai, Lanru",,,,,suryaj,surya janakiraman
ACCT,6330,0W1,,3,,,7,,,4,,,,,4,,,,,,"Cready, William M","Kwon, Yeongmin",,,,,wmc041000,william cready
ACCT,6338,0W1,,12,2,3,6,4,,1,,,,,1,,,,1,,"Goodrich, Mary Beth W",,,,,,goodrich,mary beth goodrich
ACCT,6341,0W1,,27,2,,6,,3,1,,,,,1,,,,,,"Goodrich, Mary Beth W",,,,,,goodrich,mary beth goodrich
ACCT,6344,0W1,,7,8,8,9,2,,,,,,,1,,,,,,"Gurun, Umit G","Shivaani, MV","Yayvak, Berk",,,,ugg041000,umit gurun
ACCT,6353,PPA,,9,13,7,8,,,,,,,,,,,,,,"Solcher, Steven J","Chen, Hangu",,,,,sjs107020,steven solcher
ACCT,6365,5U1,,1,6,7,2,2,,1,,,,,,,,,,,"Cheng, Samuel",,,,,,sxc109021,samuel cheng
ACCT,6367,5U1,,25,9,6,9,2,2,,,,,,,,,,,,"Frost, Sandra M","Hanna, Dave T","Tazhibayev, Galymzhan",,,,jpg140630,john gamino
ACCT,6374,5W1,,47,4,1,,,,,,,,,,,,,,,"Kromer, Jeffrey R","Yayvak, Berk",,,,,jrk013000,jeffrey kromer
