Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,NF,CR,NC,P,I,W,instructor_id,instructor_name_normalized
"Raghunathan, Srinivasan","Mutyala, Mehar Venkat Aditya",,,,,MIS,6308,0W1,,15,12,13,4,2,,,,,,,,,,,,,3,sraghu,srinivasan raghunathan
"Ryu, Young","Godasi, Sai Ram Bharadwaj",,,,,MIS,6326,001,,14,3,5,10,1,,,,,,,,,,,,,1,vxa081000,vivek arora
"Ryu, Young","Godasi, Sai Ram Bharadwaj",,,,,MIS,6326,0W1,,10,4,1,5,2,,,,,,,,,,,,,3,ryoung,young ryu
"Alborz, Shawn",,,,,,OPRE,6362,001,,11,12,9,6,3,,,,,,,,,,,,,0,sxa063000,shawn alborz
"Alborz, Shawn",,,,,,OPRE,6362,501,,6,10,10,6,1,,,,,,,,,,,,,0,sxa063000,shawn alborz
"Rebello, Michael J",,,,,,FIN,6301,001,,4,3,8,3,3,1,,,,,,,,,,,,5,yexiaoxu,yexiao xu
"Nanda, Vikram K",,,,,,FIN,6301,502,,9,5,4,5,,,,,,,,,,,,,1,1,sxx150930,steven xiao
"Bruce, Norris I","Lim, Bo Ram","Norman, Laura E",,,,MKT,6301,501,,15,9,15,12,1,,,,,,,,,,,,,0,dxr143430,daniel rajaratnam
"Lewin, Peter","Zhu, Yiding",,,,,MECO,6303,0W1,,24,5,15,2,2,,,,,,,,,,,,,0,plewin,peter lewin
"Pedigo, Madison F",,,,,,FIN,6315,0W1,,4,12,8,6,1,,,,,,,2,,,,,,0,mfp013000,madison pedigo
"Dai, Zhonglan","Nathan, Brad",,,,,ACCT,2302,004,6,10,,3,16,3,1,9,4,5,3,3,,,,,,,3,jpb063000,john barden
"Hes, Christopher A","Vinayagam, Chidambara P",,,,,ACCT,2302,501,6,2,8,10,7,9,4,6,3,4,1,3,2,,,,,,4,cah041000,christopher hess
"Moore, Sarah E","Rosillo, Andrea G",,,,,ACCT,3100,001,1,26,8,3,1,1,,,,,,,,,,,,,0,sem054000,sarah moore
"Cready, William M","Fan, Zhongwen",,,,,ACCT,3341,501,,5,2,1,1,4,,7,,,3,,3,,,,,,3,srp065000,stephanie poindexter swaim
"Johnson, Jennifer","Garcia, Cesar D",,,,,ACCT,4342,001,1,4,13,9,11,7,8,5,4,,2,,,,,,,,1,jxj091000,jennifer johnson
"Zhang, Jieying","Song, Dongye","Hu, Yaqin",,,,ACCT,6332,002,,3,3,3,2,2,1,1,,,,,,,,,,,1,jxz146230,jieying zhang
"Betanzos, Christina L","Juarez Herrera, Pablo J",,,,,BLAW,2301,001,,13,9,12,6,11,8,7,4,,1,,5,,,,,,1,clb120030,christina betanzos
"Polze, Matthew M","Ayala, Nestor A",,,,,BLAW,2301,002,,22,6,10,17,3,6,4,3,,2,,11,,,,,,6,mmp062000,matthew polze
"Chasteen, Larry H","Jung, Young-Hoon",,,,,BPS,4305,001,,10,,4,18,,2,9,,4,,,,,,,,,1,chasteen,larry chasteen
"Chasteen, Larry H","Jung, Young-Hoon",,,,,BPS,4305,002,2,10,,8,20,,4,4,,,,,,,,,,,0,chasteen,larry chasteen
"Markoczi, Livia","Wang, Congying",,,,,BPS,4305,003,9,9,10,4,4,7,3,2,1,,,,,,,,,,0,hxn130630,huy nguyen
"Markoczi, Livia","Wang, Congying",,,,,BPS,4305,004,5,5,11,7,6,3,5,4,2,1,,,,,,,,,0,mkaplan,marilyn kaplan
"Levine, Sheen S","Kemp, Ayenda",,,,,BPS,4305,006,2,8,4,5,3,2,,,,,,,1,,,,,,0,jxx132030,jun xia
"Levine, Sheen S","Kemp, Ayenda",,,,,BPS,4305,007,2,3,7,6,5,3,2,,1,,,,2,,,,,,2,jxx132030,jun xia
"Majumdar, Sumit K","Sun, Geng",,,,,BPS,4305,501,9,20,10,5,1,1,,1,2,,,,,,,,,,0,jxe140230,
"Miller, Toyah L","Li, Jianan",,,,,BPS,4305,502,2,6,4,12,8,3,8,2,2,,,,1,,,,,,1,dxk152130,dong kim
"Kaplan, Marilyn R",,,,,,BPS,6310,0W1,,30,4,5,2,,,1,,,,,,,,,,,2,chasteen,larry chasteen
"Lin, Zhiang","Nguyen, Huy",,,,,BPS,6310,501,,8,6,1,1,,,,,,,,,,,,,,0,smc130730,shawn carraher
"Hicks, Jeffrey N",,,,,,BPS,6360,501,,33,7,5,2,,,,,,,,,,,,,,0,jnh061000,jeffrey hicks
"Guttery, Randall",,,,,,FIN,3300,001,,13,4,,12,3,,12,1,,4,,,,,,,,0,rxg112530,randall guttery
"Cordell, David M","Zhu, Yiding",,,,,FIN,3320,001,,9,2,1,11,2,2,7,3,1,2,,1,,,,,1,3,sxk158231,david cordell
"Cordell, David M","Zhu, Yiding",,,,,FIN,3320,002,,5,4,2,11,4,3,5,3,,3,,4,,,,,,2,xxz137630,xiaofei zhao
"Li, Jun","Nguyen, Hang M",,,,,FIN,3320,003,,15,,,6,,,17,,,4,,2,,,,,,1,xxz137630,xiaofei zhao
"Li, Jun","Nguyen, Hang M",,,,,FIN,3320,004,,10,,,12,,,21,,,2,,2,,,,,,0,mxf130830,mahdi fahimi
"Li, Jun","Nguyen, Hang M",,,,,FIN,3320,005,,15,,,4,,,21,,,2,,,,,,,1,2,sdp093020,
"Richards, James R",,,,,,FIN,3320,0E1,2,6,3,3,3,9,2,3,4,,1,1,1,,,,,,2,jrr013500,james richards
"Han, Munhee",,,,,,FIN,3320,011,2,3,5,4,4,4,3,5,2,2,1,,4,,,,,,0,dmc012300,david cordell
"Molina, Stephen",,,,,,FIN,3340,001,17,18,8,1,1,1,,,1,,,,1,,,,,,0,sxm163630,stephen molina
