Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,NF,CR,NC,P,I,W,instructor_id,instructor_name_normalized
"Baker, Barbara L",,,,,,COMM,1311,001,1,,1,3,5,5,4,3,,,1,,,,,,,,1,blb140430,barbara baker
"Baker, Barbara L",,,,,,COMM,1311,002,,1,5,2,5,4,1,2,1,,,,1,,,,,,2,blb140430,barbara baker
"Totusek, Patricia F",,,,,,COMM,1311,003,7,7,2,3,4,1,,,,,,,,,,,,,0,pft140030,patricia totusek
"Arnold, Bob",,,,,,COMM,1311,004,2,5,2,1,1,4,1,3,1,,,,2,,,,,,1,pft140030,patricia totusek
"Arnold, Bob",,,,,,COMM,1311,005,,7,5,2,5,1,,2,,,,,1,,,,,,0,bxa161430,bob arnold
"Totusek, Patricia F",,,,,,COMM,1311,006,4,5,6,4,1,,2,,,,,,,,,,,,1,bxa161430,bob arnold
"Totusek, Patricia F",,,,,,COMM,1311,007,4,6,6,4,2,,,1,,,,,,,,,,,0,vxj161430,veronica juarez
"Juarez, Veronica",,,,,,COMM,1311,008,4,8,1,4,1,2,,2,,,,,2,,,,,,0,mas130030,michael saenz
"Williams, Alecia N",,,,,,COMM,1311,501,1,2,2,3,7,,,1,,,,2,2,,,,,,1,jxw174630,jason warren
"Stewart, Derek A",,,,,,COMM,1311,009,11,8,2,1,1,,,,,,,,,,,,,,1,das141230,derek stewart
"Hanson, Jocyln Y",,,,,,COMM,1311,010,12,2,4,1,2,,,1,,,,,1,,,,,,1,jyh140230,jocyln hanson
"Hanson, Jocyln Y",,,,,,COMM,1311,011,18,2,2,1,,,,,,,,,,,,,,,1,contemp,karen baynham
"Templeton, Allison A",,,,,,COMM,1311,012,2,2,4,1,4,1,2,2,1,1,1,1,2,,,,,,0,jyh140230,jocyln hanson
"Moss, Daniel J",,,,,,COMM,1311,020,2,2,3,1,2,2,2,,,,2,,3,,,,,,1,nxk176230,
"Juarez, Veronica",,,,,,COMM,1311,015,,5,1,2,1,1,,1,1,,,,2,,,,,,1,das141230,derek stewart
"Krishnaswamy, Nandini",,,,,,COMM,1311,016,4,6,2,3,1,2,2,1,,,,,,,,,,,2,vxj161430,veronica juarez
"Baynham, Karen M",,,,,,COMM,1311,503,4,2,2,1,4,2,,,,1,,,2,,,,,,1,kxk166030,karl krayer
"Saba, Monica",,,,,,DANC,1310,0H1,2,22,4,1,1,2,,,,,,,,,,,,,0,msaba,monica saba
"Cohen, Milton",,,,,,HUSL,6304,001,,2,,2,2,,,,,,,,1,,,,,,0,mcohen,milton cohen
"Templeton, Allison A",,,,,,COMM,1311,013,2,7,3,1,8,1,,,,,,,1,,,,,,1,aam141730,allison templeton
"Vincent, Shelby D",,,,,,SPAN,1311,002,,5,6,4,3,1,,1,,1,,,1,,,,,,1,sdv034000,shelby vincent
"Wright, Ben","Jacobs, Janet K",,,,,HIST,1301,003,,20,19,12,12,5,3,2,1,,1,2,9,,,,,,2,yxj172130,yvonne johnson
"Frierson, Malcom","Goldmann, Kerry",,,,,HIST,1302,007,2,9,21,12,11,9,5,4,6,2,1,1,4,,,,,,0,mxf170004,
"Salisbury, Linda J",,,,,,MUSI,1306,003,6,33,,4,4,1,,,,,,,1,,,,,,0,ljs130230,linda salisbury
"Stewart, Derek A",,,,,,COMM,1311,014,6,2,8,2,4,1,,,,,,,1,,,,,,0,aam141730,allison templeton
"Goode, Dianne H","Delin, Jacquelyn M",,,,,AHST,1303,002,5,17,6,8,9,6,4,6,5,4,6,1,8,,,,,,5,dgoode,dianne goode
"Goode, Dianne H",,,,,,AHST,3316,001,12,8,3,4,4,4,3,2,,,1,,5,,,,,,1,dgoode,dianne goode
"Goode, Dianne H",,,,,,AP,3340,001,,5,2,5,,1,2,2,1,1,,1,,,,,,,0,dgoode,dianne goode
"Gu, Ming D",,,,,,ARHM,3342,001,,5,2,7,4,,2,1,,,,,1,,,,,,0,axb162631,ashley barnes
"Lacy, Mary E",,,,,,ARTS,3367,001,,11,,,7,,,,,,,,,,,,,,1,mel024000,mary lacy
"Metz, Greg L",,,,,,ARTS,4310,501,,8,2,,4,1,,,,,,,,,,,,,0,glmetz,greg metz
"Baynham, Karen M",,,,,,COMM,1311,0W1,7,6,2,2,2,1,1,,,,1,,1,,,,,,0,contemp,karen baynham
"Templeton, Allison A",,,,,,COMM,1311,0W2,,8,4,1,2,2,2,1,,,,,3,,,,,,0,aam141730,allison templeton
"Templeton, Allison A",,,,,,COMM,1311,0W3,,5,3,2,4,1,1,2,,,,,2,,,,,,1,aam141730,allison templeton
"Tanner, Lari J",,,,,,COMM,1311,0W4,4,5,4,4,4,,,1,,,,,1,,,,,,0,ljt130130,lari tanner
"Honea, Emily",,,,,,COMM,1311,0W5,2,11,2,1,2,,2,,,,,,3,,,,,,0,exh150830,emily honea
"Honea, Emily",,,,,,COMM,1311,0W6,1,2,6,1,2,2,1,1,,,1,1,4,,,,,,0,exh150830,emily honea
"Gregory, Mona Y",,,,,,COMM,1311,0W7,2,5,,2,1,,,,2,,,1,2,,,,,,0,myg140030,mona gregory
"Martinez, Manuel L",,,,,,CRWT,3307,501,2,14,2,,,,,,,,,,,,,,,,0,smw011400,
"Berthold, Barbara",,,,,,GERM,2312,001,4,4,2,,,,,,,,,,,,,,,,0,bxb121130,
"Michaelson, Patricia",,,,,,LIT,3319,001,,12,6,4,2,,,,1,,1,,3,,,,,,1,sxs090100,sabrina starnaman
"Gerard, Lori A",,,,,,MUSI,2322,001,4,3,2,4,3,4,2,1,1,,,,1,,,,,2,2,lag091020,lori gerard
"Mcvay, Michael",,,,,,MUSI,3328,001,4,4,1,2,1,,1,,,,,,,,,,,,0,mjm031000,michael mcvay
"Gonzalez, Cristina M",,,,,,SPAN,2341,001,6,7,2,,,,,,,,,,,,1,,,1,0,cxg042000,cristina gonzalez
"Vazzi, Lisa",,,,,,COMM,1311,017,9,4,5,,1,,,,,,,,2,,,,,,0,ljt130130,lari tanner
"Carlson, Eric B",,,,,,COMM,1311,0W9,,9,2,4,2,,2,,,,,,1,,,,,1,0,ebc051000,eric carlson
"Cotter, Sean J",,,,,,LIT,3310,001,,5,2,9,5,5,1,1,1,,,,1,,,,,,3,sjc010100,sean cotter
"Lambert, Thomas M",,,,,,LIT,3330,001,6,4,5,5,,1,1,,,,,,1,,,,,,1,tml017100,thomas lambert
"Riley, Kristin N",,,,,,RHET,1302,021,7,5,2,,,1,1,1,,,,1,1,,,,,,0,txt125430,terin tehan
"Smith, Erin",,,,,,HUSL,7360,501,,3,3,2,1,,,,,,,,,,,,,3,0,erins,erin smith
"Belli, Melia",,,,,,ARTS,1301,HN1,5,15,1,2,,,,,,,,,,,,,,1,0,txr033000,thomas riccio
"Pettengill, Ryan S","Mei, Kehan",,,,,HIST,1302,501,9,43,7,5,14,,1,6,,1,1,1,1,,,,,,1,rsp120030,ryan pettengill
"Mortensen, Joan","Harrison, Macy T",,,,,HUMA,1301,010,,7,6,3,12,5,3,8,7,,4,,14,,,,,,1,jingrao,peter ingrao
"Mortensen, Joan",,,,,,HUMA,1301,501,,4,3,3,,2,2,3,2,,1,,4,,,,,,0,dpw031000,dennis walsh
"Brewer, Kenneth L",,,,,,LIT,3300,501,2,14,6,7,2,2,1,1,,1,,1,,,,,,,0,klb092000,kenneth brewer
"Johnson, Melissa A",,,,,,DANC,1310,001,5,34,3,2,1,1,,3,,,,,,,,,,,0,maj140430,melissa johnson
"Warren, Shilyh J",,,,,,FILM,3325,001,4,3,,2,2,,,,,,,,,,,,,,0,sjw120030,shilyh warren
"Schlobohm, Maribeth L",,,,,,COMM,4340,001,,8,2,,,,,1,,,,,,,,,,,0,mls077000,maribeth (betsy) schlobohm
"King, Carie S",,,,,,COMM,4360,001,3,5,1,,4,,1,,,,1,,1,,,,,,0,cxl085200,carie king
"Patterson, David",,,,,,HUHI,7315,501,,8,1,1,,,,,,,,,,,,,,,0,dxp103120,david patterson
"Anjum, Zafar",,,,,,HUMA,3351,001,9,17,,2,,,,,,,,,,,,,,,1,zxa110730,zafar anjum
"Hatfield, Charles D",,,,,,HUSL,6380,501,,12,,,,,,,,,,,,,,,,,0,cxh074100,charles hatfield
"Towner, Theresa",,,,,,LIT,4329,001,,21,4,,,,,,,,,,,,,,,,0,klb092000,kenneth brewer
"Ming, Adron",,,,,,MUSI,4118,501,,30,,,,,,,,,,,,,,,,,0,axm167231,adron ming
"Hustis, Gregory J",,,,,,MUSI,4120,501,,22,,,,,,,,,,,1,,,,,,0,gjh120030,
"Salisbury, Linda J",,,,,,MUSI,4V13,001,2,9,,,1,,,,,,,,,,,,,,0,ljs130230,linda salisbury
"Stone, Winston",,,,,,MUSI,4V13,002,5,6,,,,,,,,,,,,,,,,,0,wxs034000,winston stone
"Amato, Lawrence A",,,,,,PHIL,2317,501,4,8,1,,1,,2,,,1,,1,1,,,,,,0,laa062000,lawrence amato
"Hernandez-Katz, Melissa M",,,,,,COMM,4350,002,,6,9,7,1,3,,2,,1,,,,,,,,,0,mhkatz,melissa hernandez katz
"Tanner, Lari J",,,,,,COMM,1311,018,16,3,,1,,1,,,1,,,,1,,,,,,0,lxv160630,lisa vazzi
"Vazzi, Lisa",,,,,,COMM,1311,5W2,14,2,,1,2,,,1,,,,,3,,,,,,0,lxv160630,lisa vazzi
"Gossin, Pamela",,,,,,ARHM,3342,002,2,7,6,9,5,1,,4,,1,1,2,3,,,,,,1,wickberg,daniel wickberg
"Palant, Jonathan",,,,,,MUSI,2127,001,,10,,,,,,,,,,,,,,,,,0,jxp170230,jonathan palant
"Parsoneault, Catherine",,,,,,MUSI,2317,003,6,5,,2,4,,,,,,,,,,,,,,2,cxp160030,catherine parsoneault
"Owens, Misty",,,,,,DANC,1310,0H2,4,13,5,2,2,1,,1,1,,,,,,,,,,0,mxo122530,misty owens
"Watkins, Latoya S",,,,,,HUAS,6354,001,,8,2,,,2,,,,,,,,,,,,,0,clayr,clay reynolds
"Grohman, Magdalena G",,,,,,ARHM,2340,001,4,6,,18,9,,3,4,,,1,,1,,,,,,1,mgg092000,magdalena grohman
"Polite, Giraud",,,,,,ARTS,3372,501,9,4,,1,1,1,1,,,,1,,1,,,,,,0,gpolite,
"Barnes, Ashley",,,,,,HUSL,6350,001,,10,3,1,,1,1,,,,,,,,,,,,1,axb162631,ashley barnes
"Pettengill, Ryan S","Mei, Kehan","Hanna, John M",,,,HIST,1302,502,5,37,9,7,18,,4,6,,1,,,1,,,,,,0,rsp120030,ryan pettengill
"Moss, Daniel J",,,,,,COMM,1311,019,4,1,4,2,1,3,2,1,,1,1,1,,,,,,,1,nxk176230,
"Camacho-Guardado, Lorena",,,,,,SPAN,3365,001,11,7,3,1,,1,,,,,,,1,,,,,,0,lxc163230,amalia lorena camacho guardardo
"Shi, Carle",,,,,,ARTS,3341,001,,17,,,1,,,,,,,,,,,,,,0,cxs174230,carle shi
"Curry, Val",,,,,,ARTS,3340,001,6,3,1,2,2,,,,,,,,,,,,,,0,vxc110930,val curry
"Allred, Michael K",,,,,,JAPN,1312,002,6,10,2,2,1,,,1,2,1,,1,,,,,,,2,mka170830,michael allred
"Starnaman, Sabrina",,,,,,ARHM,2342,001,17,3,,3,4,4,2,2,,,,,3,,,,,,1,sxs090100,sabrina starnaman
"Amato, Lawrence A","del Bosque, Isai",,,,,PHIL,1301,002,2,3,3,11,8,13,6,3,1,3,,,11,,,,,,2,cxh165030,carl hasler
"Foust, Kristan N",,,,,,HIST,1302,011,25,,,10,1,,3,4,,,,,4,,,,,,1,kef170230,
"Durbin, Kelly",,,,,,MUSI,2319,002,1,3,2,3,,1,,,,,,,2,,,,,,1,kpdurbin,kelly durbin
"Farmer, J Michael",,,,,,HIST,4358,001,,,4,3,2,2,3,1,1,,1,,2,,,,,,0,jmf073000,michael farmer
"Metz, Greg L",,,,,,HUAS,6313,501,,4,1,1,3,,,,,,,,,,,,,,0,glmetz,greg metz
"Rypma, Bart P","Turner, Monroe P",,,,,ACN,6310,001,,6,,,,,,,,,,,,,,,,,0,bpr061000,bart rypma
"Moller, Aage R",,,,,,ACN,6373,001,,35,7,2,,,,,,,,,,,,,,,0,amoller,aage moller
"Kennedy, Kristen M","Miranda, Giuseppe G",,,,,ACN,6338,001,,9,,,19,,,11,,,,,,,,,,,1,kmk082000,kristen kennedy
"Assmann, Peter",,,,,,AUD,6306,001,,3,8,,,,,,,,,,,,,,1,,0,assmann,peter assmann
"Roeser, Ross J","Clark, Jackie L",,,,,AUD,6311,001,,11,,,3,,,,,,,,,,,,,,0,roeser,
"Warner-Czyz, Andrea D","Wiseman, Kathryn","Evans, Christine S",,,,AUD,6318,001,,8,6,,,,,,,,,,,,,,,,0,adw052000,andrea warner czyz
"Lobarinas, Edward",,,,,,AUD,7321,001,,9,3,1,1,,,,,,,,,,,,,,0,exl152130,
"Martin, Jeffrey S",,,,,,AUD,7353,001,,12,,,3,,,,,,,,,,,,,,0,jsm016600,
"Roark, Dana A","Nguyen, Linda",,,,,CGS,3361,501,6,4,,4,3,,,1,,,,,,,,,,,0,danar,dana roark
"Maguire, Mandy","Yuan, Haiying",,,,,CLDP,3303,001,,18,,6,6,,4,6,,3,2,,2,,,,,,0,mjm053000,mandy maguire
"Santrock, John W",,,,,,CLDP,3338,001,1,3,3,4,2,1,2,1,2,,,,1,,,,,,2,santrock,john santrock
"Huxtable-Jester, Karen J","Smith, Evan",,,,,CLDP,3339,001,,4,2,2,3,5,4,5,2,1,1,,3,,,,,,0,kxh014900,karen huxtable jester
"Barfoot, John W","Peskova, Olga",,,,,CLDP,3342,501,2,15,7,10,3,2,3,3,,,,,1,,,,,,0,jwb043000,john barfoot
"Mills, Candice M","Sands, Kaitlin R",,,,,CLDP,3362,001,,13,1,1,19,,3,6,,,1,,,,,,,,1,cxm056000,candice mills
"Mathew, Betty S","Evans, Delaney L",,,,,COMD,5344,001,,3,4,1,,,,,,,,,,,,,,,0,kap130730,katharine powers
"Lougeay, Janice",,,,,,COMD,6222,001,,113,,,,,,,,,,,,,,,,,0,lougeay,
"Smith, Irma E","Dean, Lucinda L",,,,,COMD,6320,001,,29,,,1,,,,,,,,,,,,,,0,aldridge,michelle aldridge
"Kenedi, Helen","Sale, Felicity F",,,,,COMD,6377,001,,27,,,4,,,,,,,,,,,,,,0,kenedi,
"Dean, Lucinda L","Sale, Felicity F",,,,,COMD,6378,001,,92,,,3,,,,,,,,,,,,,,0,lxl018300,
"Kenedi, Helen",,,,,,COMD,7207,001,,32,,,1,,,,,,,,,,,,15,,0,kenedi,
"Rich, Judith B",,,,,,COMD,7301,501,,46,,,,,,,,,,,,,,,,,0,jbm014600,
"Thibodeau, Linda K",,,,,,COMD,7325,0W1,,5,,,,,,1,,,,,,,,,,,0,thib,linda thibodeau
"Rollins, Pamela R","Poudel, Sonali","Nauta, Megan B",,,,COMD,7336,001,,35,3,2,,,,,,,,,,,,,,,0,rollins,pam rollins
"Kennedy, Kristen M","Miranda, Giuseppe G",,,,,HCS,6338,001,,4,,,8,,,1,,,,,,,,,,,0,kmk082000,kristen kennedy
"Miller, Van S","dos Santos, Natalia Lucia",,,,,NSC,3361,001,16,29,20,17,22,22,39,35,34,,27,,19,,,,,,15,vxm077000,van miller
"Shareef, Safiullah M","Abdelkarim, Dema H",,,,,NSC,3361,501,63,15,15,14,19,12,3,9,2,2,2,3,,,,,,4,3,sms170009,safiullah shareef
"Kroener, Sven","Childs, Jessica E",,,,,NSC,4352,001,27,24,33,23,18,5,9,12,9,6,2,4,3,,,,,,3,tjp140130,theodore price
"McWilliams, Steven P","Garner, Katherine M",,,,,NSC,4353,101,1,1,5,,5,2,,,,,,,1,,,,,,0,rxs170431,rukhsana sultana
"Sultana, Rukhsana","Inyang, Kufreobong E",,,,,NSC,4353,102,,4,6,3,2,,,1,,,,,,,,,,,0,sxm127330,steven mcwilliams
"Sultana, Rukhsana","Taylor, Mackenzie B",,,,,NSC,4356,001,,50,,,36,,,16,,,1,,1,,,,,,1,rxs170431,rukhsana sultana
"Thompson, Lucien","Desolis, Christopher A",,,,,NSC,4363,001,14,15,4,1,9,1,5,2,1,4,3,,1,,,,,,2,gxd141130,gregory dussor
"Juhn, Nancy H","Carson, Kevin J","Pongpipat, Ekarin E",,,,PSY,2317,001,,5,8,7,9,2,5,7,2,2,5,1,8,,,,,,2,njuhn,nancy juhn
"Juhn, Nancy H","Pongpipat, Ekarin E","Carson, Kevin J",,,,PSY,2317,002,,11,6,8,4,4,9,5,5,,2,1,15,,,,,,2,njuhn,nancy juhn
"Meltzer, Mitchell A","White, Kathryn A",,,,,PSY,2317,501,,6,8,2,1,6,4,3,,,1,2,1,,,,,,2,mam089100,mitchell meltzer
"Huxtable-Jester, Karen J","Smith, Olivia",,,,,PSY,3331,002,,37,11,3,13,6,5,3,3,3,2,,10,,,,,,0,kxh014900,karen huxtable jester
"Santrock, John W",,,,,,PSY,3338,001,,5,4,7,,2,1,1,,,1,,1,,,,,,3,santrock,john santrock
"Huxtable-Jester, Karen J","Smith, Evan",,,,,PSY,3339,001,,5,8,1,5,7,2,6,4,2,3,,11,,,,,,6,kxh014900,karen huxtable jester
"Barfoot, John W","Peskova, Olga",,,,,PSY,3342,501,5,7,9,6,5,2,2,3,1,1,1,,,,,,,,0,jwb043000,john barfoot
"Assmann, Peter","Montazeri, Vahid",,,,,PSY,3360,001,6,8,19,23,19,20,8,6,3,2,3,,6,,,,,1,4,assmann,peter assmann
"Roark, Dana A","Nguyen, Linda",,,,,PSY,3361,501,13,39,,7,22,4,3,8,2,2,4,,2,,,,,1,1,danar,dana roark
"Grant, Meridith G","Zhao, Yuguang",,,,,PSY,3392,001,9,17,12,9,20,11,3,8,3,,,,2,,,,,,1,mga061000,meridith grant
"Raman, Rachna","Adelson, Megan J",,,,,PSY,3393,501,7,6,,1,2,1,1,1,1,,,,1,,,,,,1,gtillman,gail tillman
"Drew, Linda M","Kmiecik, Matthew J",,,,,PSY,3393,002,1,4,8,4,1,1,1,1,,,,,,,,,,,0,jdowling,walter j dowling
"Santrock, John W","Ralph, Yvonne K",,,,,PSY,2314,001,6,22,14,3,9,9,12,6,4,1,6,2,4,,,,,,3,santrock,john santrock
"Small, Trillion N","Debrabander, Kilee M",,,,,PSY,4343,501,,61,,,50,,1,4,3,1,1,1,3,,,,,,2,txs174730,trillion small
"Hafer, Donald G",,,,,,PSY,4373,501,10,14,8,2,12,2,5,2,6,3,,1,1,,,,,,2,haferd,donald hafer
"Grohman, Magdalena G",,,,,,PSY,3355,001,1,3,,9,4,,,1,,,,,1,,,,,2,1,mgg092000,magdalena grohman
"Mills, Candice M","Sands, Kaitlin R",,,,,PSY,3362,001,,4,2,1,7,,1,7,1,,2,,,,,,,,1,cxm056000,candice mills
"Aldridge, Michelle A",,,,,,SPAU,3301,001,33,10,2,,,1,,1,,,,,1,,,,,,0,dxg022000,diane walsh
"Maguire, Mandy","Yuan, Haiying",,,,,SPAU,3303,001,5,12,,2,13,,5,6,,2,1,,1,,,,,,0,mjm053000,mandy maguire
"Walsh, Diane G","Rajaram, Melissa C",,,,,SPAU,3304,001,19,25,16,12,11,13,11,9,3,4,2,,2,,,,,,1,dxg022000,diane walsh
"Aldridge, Michelle A",,,,,,SPAU,3340,001,48,64,3,5,3,1,,,,,,,2,,,,,,0,aldridge,michelle aldridge
"Martin, Jeffrey S","Grinn, Sarah",,,,,SPAU,3341,001,,7,1,1,2,5,,2,1,1,1,1,2,,,,,,1,adw052000,andrea warner czyz
"Mathew, Betty S","Evans, Delaney L",,,,,SPAU,3344,001,25,14,12,4,5,5,3,2,4,,,1,1,,,,,,0,kap130730,katharine powers
"Walsh, Diane G","Pak, Cecilia L",,,,,SPAU,3345,001,15,15,7,14,8,8,5,9,4,3,4,,,,,,,,6,dxg022000,diane walsh
"Kaplan, Karen",,,,,,SPAU,4342,001,,5,,2,7,3,,,,,,,,,,,,,1,kkaplan,karen kaplan
"Katz, William","Doli, Evdoxia",,,,,SPAU,3343,001,5,11,7,4,4,4,2,5,,1,,3,6,,,,,,2,wkatz,william katz
"Juhn, Nancy H","Meldrum, Shelia","O'Connell, Margaret A",,,,ACN,6313,001,,4,3,4,,,,,,,,,,,,,,,0,njuhn,nancy juhn
"Cokely, Carol G",,,,,,AUD,7182,001,,11,,,,,,,,,,,,,,,,,0,cgc016200,
"McWilliams, Steven P","Szabo-Pardi, Thomas A",,,,,NSC,4353,103,1,4,7,1,2,,1,,,,,,,,,,,,0,sxm127330,steven mcwilliams
"Miller, Van S","Phensy, Aarron J",,,,,NSC,4366,001,2,11,18,16,20,12,10,7,6,,11,,7,,1,,,,2,vxm077000,van miller
"Juhn, Nancy H","Meldrum, Shelia","O'Connell, Margaret A",,,,PSYC,6313,001,,3,2,1,,2,,,,,,,,,,,,,1,njuhn,nancy juhn
"Ewing, Donna M",,,,,,HDCD,6316,001,,7,4,3,,,,,,,,,,,,,,,1,dme061000,donna ewing
"Holub, Shayla C",,,,,,HDCD,6320,001,,4,,3,4,,,,,,,,,,,,,,1,sch052000,shayla holub
"Touchstone, Emily W","Shin, Sujin",,,,,CLDP,3305,001,,41,,,28,,,2,,,,,,,,,,,0,exw010200,emily touchstone
"Touchstone, Emily W","Boone, Melissa N",,,,,SPAU,4308,001,,57,,,15,,,4,,,1,,,,,,,,2,rxr105520,raul rojas villarreal
"Touchstone, Emily W","Boone, Melissa N",,,,,CLDP,4308,001,,11,,,3,,,1,,,,,1,,,,,,0,rxr105520,raul rojas villarreal
"Barfoot, John W","Peskova, Olga",,,,,SPAU,3342,501,2,3,6,4,2,,1,1,,1,,,1,,,,,,0,jwb043000,john barfoot
"Price, Theodore J","Wangzhou, Andi","Dussor, Gregory O","Chavez, Marcos G",,,NSC,4358,001,43,74,38,8,5,3,1,1,2,,,,,,,,,,0,tjp140130,theodore price
"Basak, Chandramallika","Himes, Lyndahl M",,,,,PSY,3393,001,3,6,,1,8,,,1,,,,,1,,,,,,0,lmd102020,linda drew
"Ulatowska, Hanna K",,,,,,COMD,7306,501,,10,,,1,,,,,,,,,,,,,,0,hanna,hanna ulatowska
"Sasson, Noah J","Wu, Sining",,,,,PSY,2301,002,,39,22,13,14,9,10,2,7,4,2,4,2,,,,,,1,dyb012000,dawn brinkley
"Maguire, Mandy",,,,,,COMD,6307,001,,9,,,,,,,,,,,,,,,,,0,mjm053000,mandy maguire
"Sultana, Rukhsana","Wilhelm, Rachel",,,,,NSC,4353,104,1,7,5,,2,1,,,,,,,,,,,,,0,rxs170431,rukhsana sultana
"Walsh, Diane G","Pak, Cecilia L",,,,,NSC,3345,001,3,6,2,3,9,1,3,2,,,,,,,,,,,2,dxg022000,diane walsh
"Ulatowska, Hanna K",,,,,,PSY,4393,001,,2,1,1,7,3,,,,,,,,,,,,1,0,hanna,hanna ulatowska
"Brody, Salena M",,,,,,PSY,4324,501,1,9,7,4,1,2,1,,1,1,,,,,1,,,,1,smb051000,salena brody
"Grant, Meridith G","Yu, Ju-Chi",,,,,PSY,3392,002,6,11,12,7,16,7,5,6,6,2,4,2,2,,,,,,3,mga061000,meridith grant
"Kilgard, Michael",,,,,,NSC,4371,001,4,10,2,2,4,1,,1,1,,,,4,,,,,,2,kilgard,michael kilgard
"Ploski, Jonathan E",,,,,,NSC,4362,001,7,10,6,1,1,1,1,1,1,,,,1,,,,,,0,jep101000,jonathan ploski
"Pinkham, Amy E","Terry, Courtney",,,,,PSY,4343,001,1,28,20,24,24,15,15,9,14,7,5,5,7,,1,,,,5,aep140430,amy pinkham
"Kaplan, Karen",,,,,,SPAU,4367,001,,18,1,,4,,,,,,,,,,,,,1,2,kkaplan,karen kaplan
"Gentsch, Joanna K",,,,,,PSY,2301,HN1,11,14,,,,,,,,,,,,,,,,,0,jgentsch,joanna gentsch
"Shirvani, Forouz","Rakic, Jelena",,,,,PSY,3393,003,,8,,,13,,,,,,,,,,,,,,0,cxm056000,candice mills
"Basak, Chandramallika",,,,,,ACN,6333,001,,9,,,2,,,1,,,,,,,,,,,2,cxb116130,chandramallika basak
"Compton, Kristi L",,,,,,PSY,4372,001,30,11,2,1,2,1,,,,,,,,,,,,,0,klc130130,kristi compton
"Roeser, Ross J",,,,,,AUD,6113,001,,,,,,,,,,,,,,,,,25,,0,roeser,
"Tillman, Gail D",,,,,,PSY,3393,502,,15,,,3,,,1,,,,,1,,,,,1,0,golden,richard golden
"Miller, Van S",,,,,,NSC,4367,001,1,5,2,2,3,1,1,3,5,,5,,3,,,,,,2,vxm077000,van miller
"Moller, Aage R",,,,,,HCS,7372,002,,13,6,,,,,,,,,,,,,,,1,0,amoller,aage moller
"Rypma, Bart P","Turner, Monroe P",,,,,HCS,8V50,001,,,,,,,,,,,,,,,,,8,,1,bpr061000,bart rypma
"O'Toole, Alice J",,,,,,CGS,2301,HN1,7,14,2,1,,1,,,,,,,,,,,,,0,otoole,alice otoole
"Alford, Jennifer A",,,,,,AUD,7351,501,,11,3,1,,,,,,,,,,,,,,,0,jaa076000,
"Orrick, Erika D",,,,,,ACN,6342,0W1,,19,1,1,,,,,,,,,,,,,,,1,edo042000,erika orrick
"Lobarinas, Edward","Clark, Jackie L",,,,,AUD,6V20,101,,14,,,,,,,,,,,,,,,,,0,jclark,jackie clark
"Martin, Jeffrey S","Gohmert, Andrea K",,,,,AUD,6V20,102,,16,,,,,,,,,,,,,,,,,0,exl152130,
"Kane, Heidi S","Parsons, Julie A",,,,,PSY,3331,001,12,10,8,7,9,9,11,4,5,3,3,4,8,,,,,,3,kxh014900,karen huxtable jester
"Carter, Jessica A","Pourchot Neale, Hannah D",,,,,COMD,7221,001,,46,,,2,,,,,,,,,,,,,,0,jar032000,
"Ackerman, Robert A","Corretti, Conrad",,,,,HCS,6313,002,,15,,2,2,,,,,,,,,,,,,,0,raa110030,robert ackerman
"LaDow, Eva S",,,,,,NSC,3361,HN1,4,12,8,1,,,,,,,,,,,,,,,0,esl130130,eva ladow
"Rojas-Villarreal, Raul",,,,,,COMD,7V56,001,,41,,,,,,,,,,,,,,,2,,0,rxr105520,raul rojas villarreal
"Dollaghan, Christine",,,,,,COMD,7392,001,,12,,,2,,,,,,,,,,,,2,,0,cxd062000,
"Lombardi, Christina L",,,,,,COMD,7384,501,,7,,,,,,,,,,,,,,,1,,0,tinalee,
"Touchstone, Emily W","Shin, Sujin",,,,,SPAU,3305,001,,20,,,7,,,1,,,,,,,,,,,0,exw010200,emily touchstone
"Thompson, Lucien",,,,,,ACN,7343,001,,8,,6,7,3,,1,,,,,,,,,,,1,tres,lucien thompson
"Ward, Felicia","Horn, Marci M",,,,,CLDP,4344,001,5,8,2,1,,,,,,1,,,,,,,,,0,few160030,felicia ward
"Ward, Felicia","Horn, Marci M",,,,,PSY,4344,001,5,4,4,5,,2,1,,,,,,,,,,,,0,few160030,felicia ward
"Choate, Michael J",,,,,,PSY,3100,501,5,11,,,,,,,,,,,,,,,,,0,mchoate,michael choate
"Hooge, Kimberley O","Han, Liang",,,,,PSY,2301,001,27,32,28,14,10,2,5,1,1,,2,,6,,,,,,1,njs092000,noah sasson
"Tidwell, Allison E",,,,,,COMD,7208,501,,26,,,,,,,,,,,,,,,6,,0,aet052000,
"Krawczyk, Daniel C",,,,,,HCS,7372,003,,3,3,2,,,,,,,,,,,,,,,0,dck061000,daniel krawczyk
"Ploski, Jonathan E",,,,,,HCS,6341,001,,8,3,2,5,,,1,,,,,,,,,,,0,jep101000,jonathan ploski
"Cook, Jill B",,,,,,PSY,4325,001,,23,,5,7,1,,1,1,,,,,,1,,,1,0,jbc140430,jill cook
