Subject,Catalog Number,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,CR,NC,I,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized
ACN,6313,003,,5,1,1,5,,,,,,,,,,,,,1,"Juhn, Nancy H","Batchalli Maruthy, Gayathri","Zhang, Ziwei",,,,njuhn,nancy juhn
ACN,6313,501,,4,4,4,,1,,,,,,,,,,,,2,"Abdi, Herve","Moraglia, Luke E",,,,,herve,herve abdi
ACN,6331,001,,7,2,,,,,,,,,,,,,,,1,"Mills, Candice M",,,,,,cxm056000,candice mills
ACN,6332,0H1,,26,6,2,,,,,,,,,,,,,,0,"Raman, Rachna",,,,,,rxr076000,rachna raman
ACN,6333,001,,13,4,3,6,2,,,,,,,,,,,,2,"Basak, Chandramallika",,,,,,cxb116130,chandramallika basak
ACN,6338,001,,10,,,12,,,6,,,,,,,,,,5,"Kennedy, Kristen M","Moon, Da Yeoun",,,,,kmk082000,kristen kennedy
ACN,6342,0W1,,22,5,1,1,,1,1,,,,,2,,,,1,0,"Orrick, Erika D",,,,,,edo042000,erika orrick
ACN,6346,001,,14,,,4,,,,,,,,1,,,,,2,"Sultana, Rukhsana",,,,,,rxs170431,rukhsana sultana
ACN,6372,001,,17,2,3,,,,,,,,,,,,,,2,"Kolber, Benedict J",,,,,,bjk200001,benedict kolber
ACN,6374,0H1,,22,,,,,,,,,,,,,,,,0,"Jahangiri, Faisal R",,,,,,frj190000,faisal jahangiri
ACN,6V81,501,,9,,,1,,,,,,,,,,,,,0,"Overzet, Kathryn M",,,,,,kmo053000,kathryn overzet
ACN,7343,001,,24,,,2,,,,,,,,,,,,,0,"Dussor, Gregory O",,,,,,gxd141130,gregory dussor
ACN,7372,001,,10,3,1,,,,,,,,,,,,,,0,"Burton, Michael D",,,,,,mdb150330,michael burton
ACTS,4301,001,7,1,1,1,3,2,2,1,2,,2,2,5,,,,,1,"Makhijani, Neha","Guo, Qi",,,,,nxm165130,neha makhijani
ACTS,4302,001,,4,3,1,5,4,2,3,1,3,1,,3,,,,,2,"Humphreys, Natalia A","Bal, Sabindra Singh",,,,,nah103020,natalia humphreys
ACTS,4305,001,2,,2,5,5,6,1,2,1,,,,1,,,,,0,"Humphreys, Natalia A","Bal, Sabindra Singh",,,,,nah103020,natalia humphreys
ACTS,6308,001,,6,,,1,1,,,,,,,1,,,,,1,"Makhijani, Neha","Yang, Haopeng",,,,,nxm165130,neha makhijani
AHST,1303,001,30,15,19,18,8,3,6,4,2,2,,1,4,,,,,1,"Alibhai, Ali Asgar H","Barnes, Claudia",,,,,aha180002,ali asgar alibhai
AHST,1303,002,32,29,18,9,5,3,1,3,1,3,3,2,3,,,,,1,"Alibhai, Ali Asgar H","Miron, Emmalyn W",,,,,aha180002,ali asgar alibhai
AHST,2331,001,,11,9,10,19,16,6,13,6,4,6,1,34,,,,,1,"Terranova, Charissa",,"Sahin, Merve","Enyaosah, Damian P",,,cxt074100,charissa terranova
AHST,2331,HN1,4,15,,2,,,,,,,,,3,,,,,0,"Chao, Jacqueline J",,,,,,jjc161030,jacqueline chao
AHST,3320,001,3,6,2,3,1,2,2,1,3,,2,1,2,,,,,0,"Rodriguez, James","De Jesus, Marquita S",,,,,,james rodriguez
AHST,3322,001,,11,3,2,1,1,,,,,,,4,,,,,0,"Terranova, Charissa",,,,,,cxt074100,charissa terranova
AMS,2300,001,,8,11,10,7,3,3,2,2,1,1,1,5,,,,,3,"Pogue, Neall W",,,,,,nxp174730,neall pogue
AMS,2300,002,,4,13,11,9,1,2,3,1,2,1,1,6,,,,,3,"Pogue, Neall W",,,,,,nxp174730,neall pogue
AMS,2300,HN1,,3,2,5,,1,,,,,,,,,,,,0,"Smith, Erin",,,,,,erins,erin smith
AMS,2341,001,,3,2,2,3,3,,2,,,,,1,,,,,0,"Naqvi, Syed K",,,,,,skn180000,syed naqvi
AMS,2341,002,,5,7,2,7,,,2,1,,,,1,,,,,3,"Naqvi, Syed K",,,,,,skn180000,syed naqvi
AMS,3302,001,,6,4,9,1,,,1,,,,,3,,,,,0,"Werhnyak, Larissa",,,,,,lxw163630,larissa werhnyak
AMS,3316,0W1,15,10,4,2,1,6,,,,,,,,,,,,1,"Winstead, Elizabeth L",,,,,,lwm061000,elizabeth winstead
AMS,3322,001,,3,4,,2,,,2,,,,,,,,,,1,"Naqvi, Syed K",,,,,,skn180000,syed naqvi
AMS,3350,0W1,19,11,3,1,,1,,,,,,,1,,,,,2,"Winstead, Elizabeth L",,,,,,lwm061000,elizabeth winstead
AMS,4300,5H1,2,4,,1,4,2,,2,,,,,1,,,,,0,"Ross, Alyssa N",,,,,,anr161130,alyssa ross
AMS,4305,5H1,,3,1,3,3,2,,,,,,,2,,,,,0,"Cotton, Scott C",,,,,,sxc024200,scott cotton
AMS,4379,001,,3,,,3,1,,2,,,,,1,,,,,1,"Naqvi, Syed K",,,,,,skn180000,syed naqvi
ARAB,1311,002,5,1,6,,,,,,,,,,1,,,,,1,"Arrabai, Mustafa M",,,,,,mma200002,mustafa arrabai
ARHM,3342,001,,3,1,7,6,1,,,,,,,4,,,,,2,"Wickberg, Daniel",,,,,,wickberg,daniel wickberg
ARHM,3342,002,,10,3,,1,,,1,,,1,,2,,,,,0,"Evans, Kathryn C",,,,,,kcevans,kathryn evans
ARHM,6310,001,,20,2,,2,,,,,,,,,,,,,0,"Fischer, Anne G","Barnes, Ashley",,,,,agf190000,anne fischer
ARTS,1301,001,55,34,4,4,4,3,,2,,1,1,,5,,,,,0,"Wilder, James E","Ivey, Tinamarie",,,,,jew042000,james wilder
ARTS,1316,001,5,2,3,5,,1,2,,,,,,,,,,,0,"Min, Inki A",,,,,,iam140230,inki min
ARTS,1316,002,10,5,2,,,1,,,,,,,,,,,,1,"Booker, Rebecca M","Miranda, Jeffrey",,,,,pdb041000,rebecca booker
ARTS,1316,003,2,10,4,1,,1,,,,,,,1,,,,,0,"Travis, Audrey",,,,,,axt190092,audrey travis
ARTS,1316,501,4,6,5,2,,,1,,,,,,1,,,,,0,"Fridge, Brian D",,,,,,bdf081000,brian fridge
ARTS,2316,001,,4,8,1,1,1,1,,,,,,1,,,,,0,"Ligon, Peter A",,,,,,pal140130,peter ligon
ARTS,2316,501,8,1,3,,,,,,,,,,2,,,,,1,"Egan, Trey T",,,,,,tte150130,trey egan
ARTS,2348,001,4,10,2,1,,,,,,,,,,,,,,0,"Williams, Thomas E",,,,,,tew210002,thomas williams
ARTS,2350,001,1,7,3,,2,1,,2,,,,1,,,,,,2,"Copeland, Colette",,,,,,cxc132230,colette copeland
ARTS,2350,501,4,3,2,2,1,,1,1,,,,,3,,,,,1,"Lyon, Tara L",,,,,,tll190000,tara lyon
ARTS,2380,001,6,5,2,2,,,1,,,,,,1,,,,,1,"Egan, Trey T",,,,,,tte150130,trey egan
ARTS,2380,501,6,2,2,1,,2,,1,,,,2,1,,,,,2,"Reyes, Marcela",,,,,,mxr116430,marcela reyes
ARTS,2381,001,3,7,2,2,,,,,,,,,,,,,,1,"Hanson, Lily",,,,,,,lily hanson
ARTS,3315,001,11,,,,,,,,,,,,,,,,,0,"Curry, Val",,,,,,vxc110930,val curry
ARTS,3340,001,2,5,,2,1,,,1,,,,,,,,,,0,"Durant, Stephanie D",,,,,,ddm043000,stephanie durant
ARTS,3340,002,6,,,2,,1,,,,,,,,,,,,2,"Copeland, Colette",,,,,,cxc132230,colette copeland
ARTS,3341,001,,18,,,1,,,,,,,,,,,,,0,"Shi, Carle",,,,,,cxs174230,carle shi
ARTS,3363,001,4,11,1,,1,,,,,,,,,,,,,2,"Tady, Lorraine T",,,,,,ltt042000,lorraine tady
ARTS,3364,501,3,9,,,,,,,,,,,,,,,,0,"Williams, Thomas E",,,,,,tew210002,thomas williams
ARTS,3367,001,10,8,,,,,,,,,,,,,,,,0,"Fridge, Brian D",,,,,,bdf081000,brian fridge
ARTS,3367,002,,12,,6,,,,,,,,,,,,,,0,"Shi, Carle",,,,,,cxs174230,carle shi
ARTS,3368,001,8,6,2,,,3,,,,,,,,,,,,0,"Reyes, Marcela",,,,,,mxr116430,marcela reyes
ARTS,3369,001,3,7,,,,,,,,,1,,,,,,,0,"Tady, Lorraine T",,,,,,ltt042000,lorraine tady
ARTS,3371,001,2,2,3,1,1,1,2,,2,,,,,,,,,2,"Miller, Cynthia M",,,,,,cmm016900,cynthia miller
ARTS,3371,002,2,4,2,1,4,,,,,,1,,2,,,,,0,"Durant, Stephanie D",,,,,,ddm043000,stephanie durant
ARTS,3372,001,6,5,2,,,,2,,,,,,3,,,,,1,"Loving, Emily",,,,,,exl097120,emily loving
ARTS,3372,002,,3,4,3,7,,1,,,,,,,,,,,1,"Palmer, Marcy A",,,,,,mxp070100,marcy palmer
ARTS,3373,001,4,6,,2,,,,,,,1,,,,,,,2,"Tady, Lorraine T",,,,,,ltt042000,lorraine tady
ARTS,3376,001,2,8,1,,,,,,,,,,,,,,,1,"Kim, Laura H",,,,,,lxh210006,laura kim
ARTS,3377,001,,5,6,4,,,,1,,1,,,,,,,,2,"Palmer, Marcy A",,,,,,mxp070100,marcy palmer
ARTS,3378,001,5,10,2,1,,,,,,,,,,,,,,0,"Randall, Steven V",,,,,,,steven randall
ARTS,3379,501,5,4,1,1,,1,1,1,,,,,3,,,,,0,"Loving, Emily",,,,,,exl097120,emily loving
ARTS,3383,001,3,5,3,2,3,,1,1,,,,,,,,,,1,"Etter, Ian",,,,,,ixe200004,ian etter
ARTS,4310,501,2,5,4,2,1,1,,,,,,,,,,,,1,"Avram, Danielle M",,,,,,avram,danielle avram
ARTS,4366,001,1,7,4,,,,2,,,,,,,,,,,0,"Travis, Audrey",,,,,,axt190092,audrey travis
