Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,CR,NC,P,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized
ATCM,3301,0W2,2,3,4,,,,,1,2,,,,,,,,1,"Rheams, David C",,,,,,srm140030,stephen mallory
ATCM,3301,0W3,,6,2,1,2,,2,,,,,,5,,,,1,"Field, Jamie M",,,,,,sxr178530,sharathchandra ramakrishnan
ATCM,3301,0W4,,1,6,2,1,1,,,,,,,,,,,1,"Ramakrishnan, Sharathchandra",,,,,,dcr093020,david rheams
ATCM,3306,0U1,4,1,4,3,3,4,1,,1,,2,,1,,,,2,"Lewis, Timothy M",,,,,,cjc043000,christopher camacho
ATCM,3307,0U1,1,3,10,4,,1,1,,3,1,,,5,,,,0,"McCord, Peter A",,,,,,pam062000,peter mccord
ATCM,3315,0W1,,7,13,4,3,1,1,1,,,,,,,,,0,"Veras de Souza, Christine",,,,,,cxv180000,christine veras de souza
ATCM,3336,0U1,,8,7,5,5,2,2,,,,,,1,,,,0,"McKinney, Mark",,,,,,mxm190029,mark mckinney
ATCM,3337,0U1,8,10,2,6,1,,,2,,,,,,,,,0,"Wood, Harold G",,,,,,hgw021000,harold wood
ATCM,3338,0U1,9,1,3,2,5,1,1,2,,,1,,3,,,,1,"Camacho, Christopher J",,,,,,awc051000,adam chandler
ATCM,3338,0U2,5,2,2,4,1,1,2,4,,,2,,3,,,,1,"Camacho, Christopher J",,,,,,cjc043000,christopher camacho
ATCM,3350,051,16,2,4,1,1,,,,,,,,2,,,,2,"Trosper, Elizabeth M",,,,,,crn022000,christina nielsen
ATCM,3367,0U1,1,1,4,2,1,2,,,,,,,2,,,,1,"Chandler, Adam W",,,,,,awc051000,adam chandler
ATCM,4330,051,4,8,4,,1,,,,2,,,1,2,,,,0,"Nielsen, Christina R",,,,,,crn022000,christina nielsen
ATCM,4350,0W1,8,5,6,3,1,1,1,,2,,,,3,,,,0,"Hewitt, Sharon",,,,,,sxh090220,sharon hewitt
ATCM,4384,0W1,1,8,12,7,1,,,,1,,,,,,,,0,"Rheams, David C",,,,,,dcr093020,david rheams
AUD,6216,0U1,,7,3,,,,,,,,,,,,,,0,"Cokely, Carol G",,,,,,cgc016200,
AUD,7240,5U1,,13,,,,,,,,,,,,,,,0,"Griffiths, Scott K",,,,,,skg180000,
AUD,7310,5U1,,23,,,,,,,,,,,,,,,0,"Clark, Jackie L",,,,,,jclark,jackie clark
AUD,7325,0W1,,8,,,2,,,,,,,,,,,,0,"Thibodeau, Linda K","Warner-Czyz, Andrea D","Havens, Rebekah",,,,thib,linda thibodeau
BA,1320,5U1,,2,1,2,3,1,,4,,,,,,,,,0,"Lewin, Peter","Kelly, Matthew L",,,,,slk012100,stephen kiser
BCOM,3300,0U1,,4,4,4,4,6,3,,4,1,3,2,9,,,,1,"Fry, Jennifer L",,,,,,jlf130030,jennifer fry
BCOM,3300,0U2,,1,7,3,2,1,4,4,1,1,,1,3,,,,2,"Fry, Jennifer L",,,,,,jlf130030,jennifer fry
BCOM,3310,0U2,1,2,3,3,4,2,7,5,,3,,,3,,,,0,"Walton, Michaella",,,,,,meg012400,margaret smallwood
BCOM,4300,0U1,,,1,1,7,7,5,3,2,2,4,3,2,,,,1,"Lookadoo, Kathryn","Ward, Hannah",,,,,kxl164330,kathryn lookadoo
BCOM,4300,0U2,,5,8,5,6,12,3,4,3,1,1,1,1,,,,0,"Smallwood, Margaret G","Ward, Hannah",,,,,meg012400,margaret smallwood
BCOM,4300,0U3,,4,11,6,5,6,2,7,4,1,2,,1,,,,1,"Smallwood, Margaret G","Ward, Hannah",,,,,meg012400,margaret smallwood
BCOM,4300,0U4,,1,,1,1,4,2,4,3,,1,1,1,,,,1,"Lookadoo, Kathryn","Ward, Hannah",,,,,kxl164330,kathryn lookadoo
BCOM,4300,0U5,,,3,3,7,5,4,3,2,,1,,,,,,0,"Watson, John M","Ward, Hannah",,,,,jmw077000,john watson
BCOM,4300,5E1,,2,4,9,8,8,5,3,,2,,1,1,,,,1,"Watson, John M","Ward, Hannah",,,,,jmw077000,john watson
BCOM,4300,5U1,1,2,6,7,6,5,9,3,2,1,1,,1,,,,0,"Tamez, Katrina",,,,,,kxt200010,katrina tamez
BIOL,2111,0U1,,11,,,14,,,5,,,,,2,,,,1,"Maitra, Meenakshi","Ashrafi, Adnin","Salamat, Narges",,,,candas,mehmet candas
BIOL,2111,0U2,,11,,,10,,,4,,,2,,,,,,4,"Maitra, Meenakshi","Salamat, Narges","Ashrafi, Adnin",,,,candas,mehmet candas
BIOL,2112,0U1,6,5,2,3,6,1,1,,2,,2,1,4,,,,2,"Wu, Zhuoru","Tiwari, Suman",,,,,candas,mehmet candas
BIOL,2112,0U2,5,7,4,1,4,4,1,5,,2,,1,1,,,,0,"Wu, Zhuoru","Tiwari, Suman",,,,,candas,mehmet candas
BIOL,2281,3W1,5,3,4,2,2,1,,1,1,2,,1,1,,,,0,"Lin, Wen J",,,,,,wenju,wen ju lin
BIOL,2281,3W2,1,4,1,4,1,5,3,,,,,,2,,,,3,"Lin, Wen J",,,,,,eaw016100,elizabeth pickett
BIOL,2281,3W3,,6,6,1,3,1,3,1,1,1,,,1,,,,0,"Lin, Wen J",,,,,,eaw016100,elizabeth pickett
BIOL,2281,3W4,4,8,3,2,1,,,2,1,1,,,1,,,,0,"Lin, Wen J",,,,,,ixk190014,ida klang
BIOL,2311,0U1,,22,,,24,,,9,,,2,,2,,,,5,"Maitra, Meenakshi","Salamat, Narges","Ashrafi, Adnin",,,,candas,mehmet candas
BIOL,2312,0U1,11,12,6,4,10,5,2,5,2,2,2,2,5,,,,2,"Wu, Zhuoru","Tiwari, Suman",,,,,candas,mehmet candas
BIOL,3101,0U1,13,4,3,5,3,3,1,1,4,,1,1,,,,,0,"Srikanth, Uma",,,,,,ixb053000,irina borovkov
BIOL,3101,0U2,18,6,3,4,4,,2,,,1,1,,,,,,0,"Srikanth, Uma","Gadhvi, Jashkaran G","Ratevosyan, Richard",,,,ixb053000,irina borovkov
BIOL,3101,0U3,15,3,4,4,5,1,,1,1,,,,,,,,0,"Srikanth, Uma","Afolami, Olufemi Ifeoluwa",,,,,ukrish,uma srikanth
BIOL,3101,0U4,7,3,7,4,4,2,3,,,,,2,,,,,0,"Srikanth, Uma","Yaqub, Muneer O",,,,,ukrish,uma srikanth
BIOL,3101,0U5,9,4,10,4,1,2,1,,1,,1,,1,,,,0,"Srikanth, Uma","Joshi, Ketki",,,,,ukrish,uma srikanth
BIOL,3101,0U6,4,,1,4,1,,1,,,,,,,,,,0,"Srikanth, Uma","Alemi, Parinazsadat",,,,,ukrish,uma srikanth
BIOL,3102,0U1,3,5,3,2,4,1,4,3,,,,,,,,,0,"Srikanth, Uma",,,,,,ukrish,uma srikanth
BIOL,3102,0U3,4,5,3,4,4,,1,1,1,1,,,,,,,0,"Srikanth, Uma",,,,,,ukrish,uma srikanth
BIOL,3161,0W1,,14,9,6,4,8,3,3,2,2,1,1,1,,,,1,"Candas, Mehmet",,,,,,candas,mehmet candas
BIOL,3161,0W2,,3,,5,4,7,4,2,1,,,,,,,,0,"Candas, Mehmet",,,,,,candas,mehmet candas
BIOL,3161,0W3,,2,7,4,1,4,4,1,1,1,1,,1,,,,0,"Candas, Mehmet",,,,,,candas,mehmet candas
BIOL,3162,0W1,,1,2,4,4,1,3,,2,1,2,,2,,,,0,"Candas, Mehmet",,,,,,candas,mehmet candas
BIOL,3162,0W3,,1,4,1,1,1,2,,2,,1,,,,,,0,"Candas, Mehmet",,,,,,candas,mehmet candas
BIOL,3301,0U1,66,20,28,25,18,8,8,2,6,1,3,3,1,,,,0,"Srikanth, Uma","Afolami, Olufemi Ifeoluwa","Alemi, Parinazsadat","Yaqub, Muneer O","Joshi, Ketki","Gadhvi, Jashkaran G",ixb053000,irina borovkov
