Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,CR,I,NC,W,P,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized
ACCT,2301,002,14.0,6.0,7.0,9.0,8.0,6.0,4.0,1.0,3.0,,,,1.0,,,,1.0,,"Parupati, Sunil K",,,,,,mha100020,mine aksu
ACCT,2301,003,14.0,6.0,5.0,9.0,6.0,7.0,3.0,5.0,1.0,,,,1.0,,1.0,,,,"Yayvak, Berk",,,,,,lxh110020,liya hou
ACCT,2301,004,13.0,15.0,5.0,4.0,6.0,3.0,2.0,4.0,,2.0,1.0,,1.0,,,,2.0,,"Zhang, Yang",,,,,,mha100020,mine aksu
ACCT,2301,005,23.0,5.0,9.0,6.0,10.0,2.0,6.0,2.0,,,,,1.0,,,,1.0,,"Files, Rebecca L","Ai, Lanru",,,,,zxf140730,zhongwen fan
ACCT,2301,006,16.0,8.0,5.0,4.0,10.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,6.0,,,,3.0,,"Huang, Junfan","Chen, Hangu",,,,,hxk130930,hoyoun kyung
ACCT,2301,007,16.0,7.0,4.0,6.0,9.0,5.0,5.0,4.0,4.0,1.0,2.0,,3.0,,,,,,"Files, Rebecca L","Ai, Lanru",,,,,xxz142230,xiaolu zhou
ACCT,2301,008,4.0,15.0,6.0,6.0,7.0,7.0,3.0,15.0,,,,,,,,,1.0,,"Huang, Ying","Zhou, Junfei",,,,,yxj131330,youngki jang
ACCT,2301,009,8.0,8.0,7.0,6.0,,12.0,11.0,2.0,6.0,3.0,,,1.0,,,,,,"Siano, Federico","Torres Juan, Bryan D",,,,,sxm079200,stanimir markov
ACCT,2301,010,3.0,18.0,6.0,10.0,4.0,9.0,4.0,7.0,,,,,,,,,2.0,,"Huang, Ying","Zhou, Junfei",,,,,mxl120531,meng li
ACCT,2301,011,8.0,5.0,5.0,8.0,8.0,6.0,12.0,1.0,1.0,,,1.0,4.0,,,,1.0,,"Siano, Federico","Torres Juan, Bryan D",,,,,mxl120531,meng li
ACCT,2301,012,11.0,4.0,3.0,11.0,1.0,4.0,3.0,3.0,3.0,4.0,1.0,2.0,6.0,,,,2.0,,"Huang, Junfan","Chen, Hangu",,,,,jxh176930,jiapeng he
ACCT,2301,013,5.0,4.0,2.0,14.0,9.0,9.0,5.0,1.0,3.0,4.0,2.0,2.0,,,,,,,"Siano, Federico","Torres Juan, Bryan D",,,,,fxs220013,federico siano
ACCT,2301,501,6.0,10.0,1.0,7.0,5.0,5.0,4.0,14.0,,1.0,,,4.0,,,,1.0,,"Huang, Ying","Zhou, Junfei",,,,,sxs110431,sharif esfahani
ACCT,2301,HON,13.0,4.0,11.0,9.0,11.0,1.0,8.0,,,,,,,,,,,,"Files, Rebecca L","Ai, Lanru",,,,,amybass,amy troutman
ACCT,2302,001,5.0,9.0,,1.0,19.0,7.0,2.0,6.0,2.0,,5.0,,1.0,,,,2.0,,"Zolton, Kathy","Weber, Josiah C",,,,,jpb063000,john barden
ACCT,2302,002,4.0,15.0,,1.0,14.0,2.0,,9.0,1.0,,4.0,1.0,4.0,,,,4.0,,"Zolton, Kathy","Weber, Josiah C",,,,,kxz121730,kathy zolton
ACCT,2302,003,16.0,6.0,6.0,2.0,6.0,1.0,4.0,5.0,3.0,2.0,,5.0,2.0,,,,1.0,,"Copat, Rafael","Soppannavar, Gauri C",,,,,kxz121730,kathy zolton
ACCT,2302,004,17.0,12.0,8.0,4.0,1.0,2.0,3.0,1.0,4.0,1.0,,3.0,1.0,,,,3.0,,"Copat, Rafael","Soppannavar, Gauri C",,,,,jpb063000,john barden
ACCT,2302,005,18.0,8.0,6.0,4.0,10.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,,,,1.0,,"Copat, Rafael","Soppannavar, Gauri C",,,,,jpb063000,john barden
ACCT,2302,006,6.0,11.0,,6.0,13.0,,9.0,5.0,,2.0,,,1.0,,,,1.0,,"Zolton, Kathy","Soppannavar, Gauri C",,,,,zxd051000,zhonglan dai
ACCT,2302,501,3.0,8.0,1.0,2.0,5.0,3.0,4.0,2.0,5.0,4.0,,,3.0,,,,2.0,,"Natarajan, Ramachandran","Muse, Abigail M",,,,,cah041000,christopher hess
ACCT,3312,001,11.0,16.0,7.0,6.0,3.0,,6.0,1.0,1.0,,1.0,,,,,,1.0,,"Johnson, Jennifer G","Bull, Garrett M",,,,,jxj091000,jennifer johnson
ACCT,3322,001,10.0,6.0,6.0,4.0,4.0,,1.0,,,,,,1.0,,,,4.0,,"Islam, Naser","Rashmi, Richa",,,,,goodrich,mary beth goodrich
ACCT,3331,001,,19.0,,,16.0,,5.0,13.0,,,4.0,,2.0,,,,1.0,,"Zhang, Yuan","Wang, Xiao",,,,,rlf092000,rebecca files
ACCT,3331,002,,17.0,,,13.0,,7.0,14.0,,,5.0,,,,,,3.0,,"Zhang, Yuan","Wang, Xiao",,,,,rlf092000,rebecca files
ACCT,3331,003,,11.0,,,14.0,,10.0,14.0,,,7.0,,2.0,,,,1.0,,"Zhang, Yuan","Wang, Xiao",,,,,yxz066000,yibin zhou
ACCT,3331,501,2.0,2.0,3.0,1.0,6.0,2.0,2.0,1.0,3.0,1.0,3.0,,,,,,,,"Solcher, Steven J","Li, Catherine X",,,,,yxz122931,yuan zhang
ACCT,3332,001,8.0,8.0,1.0,2.0,9.0,,4.0,9.0,,1.0,3.0,7.0,1.0,,,,7.0,,"Bortz, Tiffany A","Mckenzie, Dylan",,,,,tabortz,tiffany bortz
ACCT,3332,501,,6.0,2.0,5.0,1.0,3.0,,,5.0,3.0,2.0,,1.0,,,,1.0,,"Kromer, Jeffrey R","Mckenzie, Dylan",,,,,tabortz,tiffany bortz
ACCT,3332,PPA,15.0,9.0,7.0,2.0,10.0,7.0,4.0,4.0,2.0,2.0,5.0,3.0,,,,,,,"Bortz, Tiffany A","Mckenzie, Dylan",,,,,tabortz,tiffany bortz
ACCT,3341,001,2.0,11.0,9.0,11.0,7.0,9.0,5.0,2.0,,,,,1.0,,,,2.0,,"Natarajan, Ramachandran","Muse, Abigail M",,,,,nataraj,ramachandra natarajan
ACCT,3341,501,2.0,8.0,4.0,7.0,8.0,5.0,3.0,,3.0,,,,,,,,1.0,,"Natarajan, Ramachandran","Muse, Abigail M",,,,,srp065000,stephanie poindexter swaim
ACCT,3350,001,2.0,12.0,8.0,8.0,10.0,3.0,,2.0,,,,,,,,,3.0,,"Solcher, Steven J","Li, Catherine X",,,,,sjs107020,steven solcher
ACCT,3350,501,,10.0,6.0,10.0,8.0,6.0,1.0,3.0,,,,,1.0,,,,,,"Frost, Sandra M","Li, Catherine X",,,,,jpg140630,john gamino
ACCT,4301,501,,2.0,,3.0,,4.0,3.0,4.0,2.0,3.0,,,1.0,,,,,,"Hagen, John","Ananthula, Pooja",,,,,jch013200,john hagen
