Subject,Catalog Number,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,Total W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized
ENTP,3360,001,,,3,2,1,1,1,2,,,,,,0,"Murray, Jennifer R",,,,,,jrm160330,jennifer murray
ENTP,6360,501,,3,7,,,,,,,,,,,0,"Chambers, Bryan D",,,,,,bdc160330,bryan chambers
FIN,7335,001,,10,,,,,,,,,,,,0,"Zhao, Feng",,,,,,fxz082000,feng zhao
MECO,6318,501,,5,5,,,,,,,,,,,0,"Sibley, Daniel C",,,,,,dcs170002,daniel sibley
REAL,3305,001,1,1,,,5,,,1,,,2,,,0,"Guttery, Randall",,,,,,rxg112530,randall guttery
BIOL,4356,001,4,3,3,,,,,,,,,,,0,"Du, Heng","Srikanth, Uma","Tian, Jing",,,,hxd131030,heng du
GEOS,2409,001,,2,,1,,1,2,2,1,,,,,1,"Manton, William I",,,,,,manton,william manton
PHYS,2422,HN1,3,3,3,1,,,,,,,,,,0,"Zhang, Fan","Cheung, Patrick K",,,,,fxz140930,fan zhang
STAT,6341,001,,5,2,1,1,,,1,,,,,,0,"Chiou, Sy Han",,,,,,sxc172931,sy han chiou
CS,6352,001,,6,1,1,,,,1,,,,,,0,"Jue, Jason","Guo, Jinghui",,,,,jjue,jason jue
HUSL,6312,002,,6,1,1,1,,,,,,,,,1,"Towner, Theresa",,,,,,tmtowner,theresa towner
STAT,6390,001,,5,4,,,,,,,,,,,0,"Shin, Sunyoung",,,,,,sxs177233,sunyoung shin
HUHI,7315,001,,8,1,,,,,,,,,,,0,"Channell, David",,,,,,channell,david channell
ARTS,3372,002,,3,3,3,1,,,,,,,,1,0,"Palmer, Marcy A",,,,,,mxp070100,marcy palmer
ARTS,3379,001,,1,2,3,,2,,1,,,,,2,0,"Palmer, Marcy A",,,,,,mxp070100,marcy palmer
DANC,2333,001,10,1,,,,,,,,,,,,0,"Owens, Misty",,,,,,mxo122530,misty owens
HIST,4359,002,5,2,3,1,,,,,,,,,,0,"Gonzalez Corona, Pedro Jose",,,,,,pjg130230,pedro jose gonzalez corona
HUSL,6312,001,,6,3,,1,,,1,,,,,,0,"Greer, Erin",,,,,,exg180013,erin greer
MUSI,3112,001,,11,,,,,,,,,,,,0,"Rodriguez, Robert X",,,,,,rxr014610,robert rodriguez
AUD,6V20,102,,11,,,,,,,,,,,,0,"Lobarinas, Edward","Warner-Czyz, Andrea D","Wiseman, Kathryn","Trevino, Monica",,,exl152130,edward lobarinas
AUD,7338,001,,2,8,,1,,,,,,,,,0,"Cokely, Carol G","Fowler, Stephanie L",,,,,cgc016200,carol cokely
CGS,4359,501,1,7,,,2,,,,,,1,,,0,"Rypma, Bart P","Himes, Lyndahl M",,,,,bpr061000,bart rypma
HDCD,6315,001,,10,1,,,,,,,,,,,0,"Ewing, Donna M",,,,,,dme061000,donna ewing
HDCD,6360,001,,11,,,,,,,,,,,,0,"Anderson, Carol A",,,,,,caa010400,carol anderson
NSC,4V90,004,3,3,1,,2,1,,,,,,,1,0,"Krawczyk, Daniel C",,,,,,dck061000,daniel krawczyk
CE,2305,003,1,4,,1,2,2,,,,1,,,,0,"Willson, James K",,,,,,jkw053000,james willson
CE,4390,002,,3,8,,,,,,,,,,,0,"Farago, Andras","Gour, Riti",,,,,farago,andras farago
CE,4390,501,,2,,1,2,1,2,1,,1,,1,,0,"Cobb, Jorge","Dakle, Parag Pravin",,,,,jcobb,jorge cobb
CS,6301,003,1,10,,,,,,,,,,,,0,"Thuraisingham, Bhavani",,,,,,bxt043000,bhavani thuraisingham
EE,3111,104,,8,,,,,1,,,,,,2,0,"Lee, Gil S","Chen, Chen",,,,,gslee,gil lee
EE,3150,104,1,2,3,1,1,,1,1,,,,,1,0,"Bhatt, Tanay M","Helwa, Sherief M",,,,,,tanay bhatt
EESC,6366,001,,7,1,,2,1,,,,,,,,0,"Hansen, John",,,,,,jxh052100,john hansen
MECH,6308,001,,9,2,,,,,,,,,,,0,"Fey, Ann Majewicz",,,,,,axm141231,ann majewicz fey
SE,3340,501,,3,1,2,1,1,2,,,,,,1,0,"Nguyen, Nhut",,,,,,nhutnn,nhut nguyen
SE,3345,004,1,1,2,,3,,1,,,1,,,1,1,"Chappidi, Sruthi",,,,,,sxc105920,sruthi chappidi
SE,3354,002,1,1,,,2,1,,3,1,1,,1,,0,"Paulk, Mark C","Sarwat, Maliha",,,,,mcp130030,mark paulk
CRIM,6303,001,,6,,3,1,1,,,,,,,,0,"Jacobs, Bruce A",,,,,,baj034000,bruce jacobs
GISC,4385,001,4,5,2,,,,,,,,,,,0,"Gearey, Wayne",,,,,,wxg130930,wayne gearey
PA,3310,001,2,2,3,3,,1,,,,,,,,0,"Rabbi, Md. Fazle",,,,,,mxr163630,md fazle rabbi
PA,6399,501,,11,,,,,,,,,,,,0,"McCaskill, John R",,,,,,jrm094020,john mccaskill
AMS,4305,501,,2,4,3,,1,1,,,,,,,0,"Cotton, Scott C",,,,,,sxc024200,scott cotton
ED,4359,0W1,,2,1,,,2,1,1,,,,,4,0,"Root, Alexey",,,,,,aroot,alexey root
BA,4V00,001,,7,2,2,,,,,,,,,,0,"Lewin, Peter",,,,,,plewin,peter lewin
ENGY,3301,001,,5,3,1,1,,,,,,,,1,0,"Sibley, Daniel C",,,,,,dcs170002,daniel sibley
ENGY,6330,501,,5,5,1,,,,,,,,,,0,"Sibley, Daniel C",,,,,,dcs170002,daniel sibley
FIN,6321,501,,3,,,6,2,,,,,,,,0,"Guttery, Randall",,,,,,rxg112530,randall guttery
FIN,7330,001,,6,1,4,,,,,,,,,,0,"Zhang, Huibing",,,,,,hxz054000,huibing zhang
OB,6301,PS1,,5,2,1,2,1,,,,,,,,0,"Hicks, Jeffrey N",,,,,,jnh061000,jeffrey hicks
OB,6332,001,,8,,2,1,,,,,,,,,0,"Ziegler, Laurie","Boncoeur, Olivier D",,,,,ziegler,laurie ziegler
OPRE,6301,SS1,,5,2,2,2,,,,,,,,,0,"Sethi, Awanti",,,,,,asethi,awanti sethi
OPRE,6382,0W1,,9,1,1,,,,,,,,,,0,"Vicario, Joe","Divin, Diane",,,,,jav170030,joe vicario
MATH,3305,501,1,10,,,,,,,,,,,,0,"Andreescu, Titu",,,,,,,titu andreescu
MATH,6301,501,,2,4,2,3,,,,,,,,,0,"Balanov, Zalman",,,,,,zxb105020,zalman balanov
MATH,6390,501,,8,1,1,,1,,,,,,,,0,"Akbar, Mohammad M",,,,,,mma110020,mohammad akbar
NATS,4141,501,,7,,2,1,,,,,,,,,1,"Gammons Jr, Billy G","McConnell, James S",,,,,bgg021000,billy gammons jr
PHYS,2126,608,3,6,,,,,,1,,,,,,1,"Macalevey, Paul J","Saleh, Lamya","Azhiri, Reza B",,,,paulmac,paul macalevey
CRIM,4396,002,,6,3,1,,,,,,,,,,1,"Piquero, Alexis M",,,,,,axp116030,alexis piquero
PA,7320,501,,11,,,,,,,,,,,,0,"Battaglio, Randy P",,,,,,rpb071000,randy battaglio
MATH,6303,001,,4,2,2,,2,,,,,,,1,0,"Dragovic, Vladimir",,,,,,vxd123630,vladimir dragovic
HUSL,6308,501,,5,2,,2,,,,,,,,,1,"Prieto, Rene",,,,,,rxp113230,rene prieto
HIST,4360,001,,7,,1,1,,,,,,,,1,1,"Fischer, Anne G",,,,,,agf190000,anne fischer
HUSL,7309,001,,3,5,2,1,,,,,,,,,0,"Gu, Ming D",,,,,,mdg073000,ming gu
ARTS,3371,001,,4,2,2,1,1,1,,1,,,,,0,"Miller, Cynthia M",,,,,,cmm016900,cynthia miller
ARTS,3376,001,,3,5,,1,,,,,,,,2,1,"Carter, Rebecca S",,,,,,rsc150030,rebecca carter
CHIN,2311,001,4,1,3,3,1,,,,,,,,,0,"Chen, Bei",,,,,,bxc152730,bei chen
HIST,2370,001,6,3,1,1,,,,,,,,,1,0,"Roemer, Nils H","Valente, Sarah d","Gonzalez Corona, Pedro Jose",,,,nhr061000,nils roemer
HUSL,6324,501,,10,1,,1,,,,,,,,,0,"Greene, Kendra",,,,,,kxg180038,kendra greene
LIT,1301,502,2,3,2,2,,2,,,,,,,,1,"Mariboho, Rachael A",,,,,,,rachael mariboho
MUSI,2315,501,1,6,2,,,,,1,,,,,,2,"Hodan, Daniel M",,,,,,dmh017000,daniel hodan
MUSI,3380,001,1,8,1,2,,,,,,,,,,0,"Madriguera, Enric F",,,,,,efm011000,enric madriguera
MUSI,4322,001,,9,1,1,,1,,,,,,,,0,"Evans, Kathryn C",,,,,,kcevans,kathryn evans
SPAN,1312,001,1,4,1,,3,,,1,1,,1,,,0,"Leverone, Julia",,,,,,jxl162631,julia leverone
ACN,6312,001,,1,1,,4,3,2,,,,,,,1,"Juhn, Nancy H","Meldrum, Shelia","Austin, Kathryn A",,,,njuhn,nancy juhn
ACN,6V81,002,,9,2,,,,,,,,,,,1,"Jahangiri, Faisal R",,,,,,frj190000,faisal jahangiri
AUD,7324,001,,6,4,2,,,,,,,,,,0,"Warner-Czyz, Andrea D","Wiseman, Kathryn",,,,,adw052000,andrea warner czyz
AUD,7327,001,,10,1,,1,,,,,,,,,0,"Lobarinas, Edward",,,,,,exl152130,edward lobarinas
NSC,3344,001,,5,1,2,2,1,1,,,,,,,0,"Powers, Katharine A","Eppes, Anna A",,,,,kap130730,katharine powers
PSYC,6312,001,,5,1,,2,4,,,,,,,,0,"Juhn, Nancy H","Meldrum, Shelia","Austin, Kathryn A",,,,njuhn,nancy juhn
CE,3320,002,,1,2,1,2,2,,1,1,2,,,,0,"Balsara, Poras","Goswami, Pingakshya",,,,,poras,poras balsara
CE,3354,003,,1,2,1,3,,1,1,1,1,,1,,0,"Wei, Shiyi","Zhang, Zenong",,,,,sxw174630,shiyi wei
CS,6328,001,,12,,,,,,,,,,,,0,"Fishwick, Paul",,,,,,pxf130430,paul fishwick
MSEN,5310,001,,2,3,2,2,,1,1,,,,,,1,"Hsu, Julia","Badhe, Yutika Ravindra",,,,,jxh101000,julia hsu
SE,3162,054,6,4,,1,,1,,,,,,,,0,"Smith, Klyne",,,,,,kxs180052,klyne smith
SE,3162,555,8,,1,,2,1,,,,,,,,0,"Debroy, Vidroha",,,,,,vxd024000,vidroha debroy
SE,3345,002,1,3,2,3,,,2,1,,,,,,0,"Ozbirn, Greg A",,,,,,ozbirn,greg ozbirn
SE,3377,0W4,,2,,,2,,1,3,,1,,,3,0,"Belkoura, Mohamed Amine",,,,,,mxb135330,mohamed amine belkoura
SYSM,6305,001,,10,,,1,1,,,,,,,,0,"Spong, Mark W",,,,,,mws081000,mark spong
ECON,6306,502,,7,,3,1,,,,,,,,,1,"Beron, Kurt","Han, Minyu",,,,,kberon,kurt beron
EPPS,6302,001,,10,,,1,,,1,,,,,,0,"Ho, Karl",,,,,,kxh022100,karl ho
PA,7330,001,,8,4,,,,,,,,,,,0,"Harrington, James",,,,,,jxh134630,james harrington
SOC,6350,001,,11,1,,,,,,,,,,,0,"Scotch, Richard",,,,,,scotch,richard scotch
ED,3342,001,,12,,,,,,,,,,,,0,"Parker, Teresa L",,,,,,tparker,teresa parker
ED,4345,001,3,4,1,1,1,,,,,,,,2,0,"Haun, Julia T",,,,,,jlb018300,julia haun
