Subject,Catalog Number,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,Total W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized
BIOL,3380,305,2,5,4,5,2,4,,,,,,,,0,"Pan, Jing","Mazambani, Simbarashe",,,,,jxp134330,jing pan
BIOL,3380,306,1,3,10,3,1,,2,,,,1,,,1,"Pan, Jing","Mazambani, Simbarashe",,,,,jxp134330,jing pan
BIOL,3380,307,2,5,3,,3,3,1,1,1,1,,,2,0,"Rippel, Scott A","Srinivas, Anagha",,,,,rippel,scott rippel
BIOL,3380,308,2,1,5,2,3,,,1,2,1,1,1,2,1,"Pickett, Elizabeth A","Sawant, Namrata V",,,,,eaw016100,elizabeth pickett
BIOL,5376,501,,2,4,10,6,,,,,,,,,0,"Xuan, Zhenyu",,,,,,zxx091000,zhenyu xuan
GEOS,3421,001,,7,7,3,3,,,2,,,,,,0,"Griffin, William R","Newman, Jordan W","Willis, Siloa B",,,,griffin,william griffin
GEOS,3464,001,,2,5,3,6,3,1,2,,,,,,0,"Griffin, William R","Newman, Jordan W",,,,,griffin,william griffin
MATH,2413,006,1,2,3,5,3,1,2,1,1,1,,,2,0,"Mussa, Derege",,,,,,dxm146130,derege mussa
NATS,4341,001,,5,7,4,6,,,,,,,,,0,"Donaldson, Katherine E","York, Megan",,,,,ked013100,katherine donaldson
BIOL,2281,311,5,7,5,2,1,1,,,,,,,,0,"Pickett, Elizabeth A","Gadhvi, Jashkaran G",,,,,eaw016100,elizabeth pickett
BIOL,2281,304,2,2,,3,3,2,3,3,2,,,1,,1,"Braitsch, Caitlin M","Do, Hung P",,,,,,caitlin braitsch
PSY,3355,001,,3,3,1,,2,4,3,2,,,1,,3,"Grohman, Magdalena G",,,,,,mgg092000,magdalena grohman
EE,3320,501,7,3,2,,2,2,3,,,1,,,2,0,"Cogan, Diana L","Wang, Zi","Wang, Yifan",,,,dcc095020,diana cogan
EEDG,6370,001,,3,4,4,10,1,,,,,,,,0,"Bhatia, Dinesh","Goswami, Pingakshya",,,,,dinesh,dinesh bhatia
EPPS,6313,502,,12,4,3,3,,,,,,,,,0,"Palao Mendizabal, Agustin","Islam, Iftekhairul",,,,,axp121731,agustin palao mendizabal
ACCT,4301,501,1,2,2,5,2,6,,3,,1,,,,0,"Hagen, John C","Rajendran, Adityan",,,,,jch013200,john hagen
ARHM,1100,301,3,9,1,,2,1,,,2,,,1,3,1,"Gray, Megan L",,,,,,mlg105020,megan gray
COMM,1311,002,,1,6,4,6,1,,2,,1,,1,,1,"Baker, Barbara L",,,,,,blb140430,barbara baker
COMM,1311,003,8,5,4,1,3,,1,,,1,,,,0,"Totusek, Patricia F",,,,,,pft140030,patricia totusek
COMM,1311,004,6,3,5,2,3,1,1,2,,,,,,0,"Arnold, Bob",,,,,,bxa161430,bob arnold
COMM,1311,009,18,3,1,,,1,,,,,,,,0,"Vazzi, Lisa",,,,,,lxv160630,lisa vazzi
COMM,1311,011,9,5,4,2,1,1,,,,,,,1,0,"Krishnaswamy, Nandini",,,,,,nxk176230,nandini krishnaswamy
COMM,1311,015,13,5,3,1,,,,,,,,,,1,"Arnold, Bob",,,,,,bxa161430,bob arnold
COMM,1311,022,7,6,4,2,,,2,,,,,,2,0,"Totusek, Patricia F",,,,,,pft140030,patricia totusek
COMM,1311,023,8,8,3,1,1,,,1,,,,,1,0,"Totusek, Patricia F",,,,,,pft140030,patricia totusek
COMM,1311,024,9,2,1,1,1,,1,,,,,,7,1,"Krishnaswamy, Nandini",,,,,,nxk176230,nandini krishnaswamy
COMM,1311,026,11,3,2,1,2,2,,,,,,,2,0,"Aranda, Johnson",,,,,,jxa190020,johnson aranda
COMM,1311,0W3,,2,2,4,3,3,4,2,1,,,,1,1,"Baker, Barbara L",,,,,,blb140430,barbara baker
COMM,1311,0W5,3,8,2,4,2,1,,1,1,,,,,1,"Templeton, Allison A",,,,,,aam141730,allison templeton
COMM,1311,0W6,5,12,4,2,,,,,,,,,,0,"Tanner, Lari J",,,,,,ljt130130,lari tanner
COMM,1311,0W9,9,7,2,1,2,1,1,,,,,,,0,"Honea, Emily",,,,,,exh150830,emily honea
COMM,1311,504,8,6,3,3,2,,,,,,,,1,0,"Juarez, Veronica",,,,,,vxj161430,veronica juarez
COMM,1311,506,2,4,4,2,2,2,2,1,1,2,,,1,0,"Williams, Alecia N",,,,,,axw124630,alecia williams
COMM,1311,509,4,8,3,,3,1,2,,,,,,1,1,"Juarez, Veronica",,,,,,vxj161430,veronica juarez
COMM,1311,5W9,10,11,1,,,,,,,,1,,,0,"Vazzi, Lisa",,,,,,lxv160630,lisa vazzi
FILM,2332,HN1,7,5,7,4,,,,,,,,,,0,"McLean, Adrienne L",,,,,,amclean,adrienne mclean
HIST,3327,001,1,5,10,2,1,1,,,,,,,1,2,"Gossin, Pamela",,,,,,psgossin,pamela gossin
LIT,2331,002,,12,6,1,1,,,1,,,,,1,1,"Siddiqui, Farah",,,,,,fxs121830,farah siddiqui
LIT,3330,501,7,4,,2,2,,1,3,,,,,4,0,"Lambert, Thomas M",,,,,,tml017100,thomas lambert
MUSI,3185,001,,22,,,1,,,,,,,,,0,"Palant, Jonathan",,,,,,jxp170230,jonathan palant
NSC,3361,005,3,1,5,,5,3,2,1,,,,,3,0,"McWilliams, Steven P",,,,,,sxm127330,steven mcwilliams
PSY,3393,002,2,10,1,,2,,1,6,,,,,1,0,"Dowling, Walter J","Abdelkarim, Dema H",,,,,jdowling,walter dowling
BMEN,1100,102,7,3,4,3,,2,2,,,,1,,1,0,"Meyer, Clark A","Chuang, Ping-Ju",,,,,cam140130,clark meyer
BMEN,1100,105,4,8,2,1,2,1,1,,,,1,,3,0,"Porter, Benjamin A","Ambike, Iravati M",,,,,bap061000,benjamin porter
BMEN,3120,103,4,9,2,4,1,2,,1,,,,,,0,"Ali, Tariq M",,,,,,tma051000,tariq ali
BMEN,4110,101,6,8,4,1,1,,1,1,,,1,,,0,"Ardestani Khoubrouy, Soudeh","Raut, Saurabh Vikas","Abraham, Alejandro",,,,sxa074200,soudeh ardestani khoubrouy
BMEN,4110,103,8,9,4,,1,1,,,,,,,,0,"Ardestani Khoubrouy, Soudeh","Raut, Saurabh Vikas","Abraham, Alejandro",,,,sxa074200,soudeh ardestani khoubrouy
CE,4388,001,,17,2,2,2,,,,,,,,,0,"Tacca, Marco","Abousaba, Mohammad F",,,,,mtacca,marco tacca
CE,4388,002,,17,1,,5,,,,,,,,,0,"Tacca, Marco","Xiong, Jiu",,,,,mtacca,marco tacca
EE,3320,002,1,1,2,2,1,1,1,3,4,3,,,2,2,"Balsara, Poras","Goswami, Pingakshya",,,,,poras,poras balsara
EE,4361,001,1,1,1,1,3,2,4,2,,4,2,2,,0,"Panahi, Issa","Patel, Kashyap",,,,,imp015000,issa panahi
MECH,6325,001,,8,7,,3,2,,2,,,,,,1,"Moheimani, Seyed Omid Reza","Nikooienejad, Nastaran",,,,,sxm154130,seyed omid reza moheimani
GOVT,2306,HN2,1,15,2,3,2,,,,,,,,,0,"Harpham, Edward",,,,,,harpham,edward harpham
ED,4358,0W1,3,7,1,2,5,1,,2,,,1,,1,0,"Root, Alexey",,,,,,aroot,alexey root
ACCT,6344,SS1,,7,,9,7,,,,,,,,,0,"Dai, Zhonglan",,,,,,zxd051000,zhonglan dai
ACCT,6380,501,,9,1,4,6,2,,1,,,,,,0,"Mauriello, Joseph A","Truong, Timothy T",,,,,jam151430,joseph mauriello
BPS,6310,PS1,,4,2,3,8,4,1,1,,,,,,0,"Chasteen, Larry H",,,,,,chasteen,larry chasteen
ENTP,3320,001,,3,4,3,12,,1,,,,,,,0,"Wright, Robert G",,,,,,rgw091000,robert wright
FIN,6307,SS1,,5,9,6,1,2,,,,,,,,0,"Ma, Liping","El-Ashmawi, Amal H",,,,,lxm133730,liping ma
FIN,6318,SS1,,5,8,3,3,4,,,,,,,,0,"Xu, Yexiao","Kim, Sang Hyun",,,,,yexiaoxu,yexiao xu
FIN,6325,SS1,,10,5,5,,3,,,,,,,,0,"Wynne, Mark",,,,,,,mark wynne
IMS,6365,GW1,,5,4,5,7,1,,1,,,,,,0,"Katz, Lothar",,,,,,,lothar katz
MIS,6337,001,,8,8,3,2,2,,,,,,,,0,"Mauriello, Joseph A","Truong, Timothy T",,,,,jam151430,joseph mauriello
MKT,4332,001,1,9,3,2,6,1,,,1,,,,,0,"Dover, Howard F",,,,,,hfd021000,howard dover
OPRE,6366,501,,7,2,3,9,1,,1,,,,,,0,"Leach, Sonia E","Behl, Shubhangini",,,,,sel120030,sonia leach
BIOL,2281,301,4,8,3,2,2,3,,,,,,,,1,"Mehta, Iti","Xia, Jing",,,,,ixm121430,iti mehta
BIOL,2281,305,1,3,5,4,4,2,3,1,,,,,,0,"Lin, Wen J","Easterwood, Shayne",,,,,wenju,wen lin
BIOL,2281,306,6,3,2,6,2,,3,,,,1,,,0,"Lin, Wen J","Easterwood, Shayne",,,,,wenju,wen lin
BIOL,2281,308,2,4,7,1,2,1,2,1,,,,1,2,0,"Lin, Wen J","Do, Hung P",,,,,wenju,wen lin
BIOL,2281,309,2,2,4,3,3,3,2,1,1,,,,,2,"Mehta, Iti","Moore, Dalton E",,,,,ixm121430,iti mehta
BIOL,2281,310,5,3,4,5,1,1,1,1,2,,,,,0,"Mehta, Iti","Udhayakumar, Bhavatharini",,,,,ixm121430,iti mehta
BIOL,2281,312,3,5,9,1,1,1,,1,,2,,,,0,"Mehta, Iti","Xia, Jing",,,,,ixm121430,iti mehta
BIOL,2281,314,4,,5,5,1,4,,2,1,1,,,,0,"Mehta, Iti","Udhayakumar, Bhavatharini",,,,,ixm121430,iti mehta
CHEM,1111,103,,9,3,1,2,1,,2,,,1,2,2,0,"Dissanayake, Dushanthi S","Nguyen, Trang",,,,,dxd122030,dushanthi dissanayake
CHEM,2123,124,13,5,2,,1,1,,,,,,,,1,"Tran, Daniel N","Wijesundara, Yalini H",,,,,dnt019000,daniel tran
MATH,1326,001,8,1,2,1,,,2,2,1,1,1,,2,2,"Guo, Huizhen",,,,,,hxg190020,huizhen guo
MATH,5301,501,,16,1,3,1,,,,,,,,,2,"Makarenkov, Oleg","Murza, Adrian C",,,,,oxm130230,oleg makarenkov
MATH,6319,501,,18,4,1,,,,,,,,,,0,"Ramakrishna, Viswanath",,,,,,vish,viswanath ramakrishna
UNIV,1100,001,3,6,2,4,3,2,3,,,,,,,0,"Welgehausen, Eric C",,,,,,ericw,eric welgehausen
COMM,1311,001,,,7,5,3,2,1,1,3,1,,,,1,"Baker, Barbara L",,,,,,blb140430,barbara baker
COMM,1311,005,7,6,2,4,2,,1,,1,1,,,,0,"Arnold, Bob",,,,,,bxa161430,bob arnold
COMM,1311,006,5,9,2,4,2,2,,,,,,,,0,"Totusek, Patricia F",,,,,,pft140030,patricia totusek
COMM,1311,007,15,5,,,3,1,,,,,,,,0,"Davis, Letitia",,,,,,,letitia davis
COMM,1311,008,18,5,1,,,,,,,,,,,0,"Hanson, Jocyln Y",,,,,,jyh140230,jocyln hanson
COMM,1311,010,14,3,3,1,,3,,,,,,,,0,"Hanson, Jocyln Y",,,,,,jyh140230,jocyln hanson
COMM,1311,012,7,5,4,3,2,1,,,,1,,,,1,"Krishnaswamy, Nandini",,,,,,nxk176230,nandini krishnaswamy
COMM,1311,013,20,2,1,,,,,,,,,,1,0,"Davis, Letitia",,,,,,,letitia davis
COMM,1311,014,15,3,2,1,1,1,,1,,,,,,0,"Hanson, Jocyln Y",,,,,,jyh140230,jocyln hanson
COMM,1311,016,19,2,,1,1,1,,,,,,,,0,"Tanner, Lari J",,,,,,ljt130130,lari tanner
COMM,1311,017,3,4,6,4,1,1,,2,,,,,2,1,"Templeton, Allison A",,,,,,aam141730,allison templeton
COMM,1311,018,8,4,6,2,2,1,,,,,,,,1,"Templeton, Allison A",,,,,,aam141730,allison templeton
COMM,1311,019,7,5,3,4,3,2,,,,,,,,0,"Moss, Daniel J",,,,,,djm161130,daniel moss
COMM,1311,020,4,6,7,2,3,,,,,,,,2,0,"Moss, Daniel J",,,,,,djm161130,daniel moss
COMM,1311,021,7,7,2,2,,1,,,,,,,5,0,"Vazzi, Lisa",,,,,,lxv160630,lisa vazzi
COMM,1311,025,4,4,5,1,2,,1,2,1,1,,,3,0,"Aranda, Johnson",,,,,,jxa190020,johnson aranda
COMM,1311,0W7,11,6,5,,,,,,,,,,1,1,"Tanner, Lari J",,,,,,ljt130130,lari tanner
COMM,1311,501,9,8,2,2,,1,1,,,,1,,,0,"Cannon, Charles",,,,,,cxc190014,charles cannon
COMM,1311,507,9,6,4,,3,,,2,,,,,,0,"Cannon, Charles",,,,,,cxc190014,charles cannon
COMM,1311,508,11,9,1,2,,1,,,,,,,,0,"Cannon, Charles",,,,,,cxc190014,charles cannon
COMM,1311,5W2,14,7,,2,,,,1,,,,,,0,"Gregory, Mona Y",,,,,,myg140030,mona gregory
COMM,1311,5W4,9,6,1,1,,1,2,,,1,,,3,0,"Gregory, Mona Y",,,,,,myg140030,mona gregory
COMM,1315,0H1,15,3,,1,,,,,,1,,,2,2,"Saenz, Michael A",,,,,,mas130030,michael saenz
COMM,1315,0H2,21,2,1,,,,,,,,,,,0,"Saenz, Michael A",,,,,,mas130030,michael saenz
COMM,1315,0W4,2,7,6,2,1,2,1,1,,,,,1,1,"Baynham, Karen M",,,,,,contemp,karen baynham
COMM,1315,5H2,11,2,1,1,2,2,2,,,,,,,3,"Skiles, Bradley W",,,,,,bws150030,bradley skiles
DANC,2332,001,14,4,,1,,,,3,,,1,,1,0,"Johnson, Melissa A",,,,,,maj140430,melissa johnson
HIST,3301,001,,1,2,2,2,4,2,3,1,,,,5,2,"Farmer, J Michael",,,,,,jmf073000,j michael farmer
HUMA,1301,HN1,1,15,7,1,,,,,,,,,,0,"Wilson, Michael",,,,,,mwilson,michael wilson
JAPN,2311,001,1,5,6,2,1,1,1,1,1,,2,,2,1,"Kroska, Nami",,,,,,nxk167330,nami kroska
THEA,1351,001,2,13,4,2,,2,,,,,,,1,0,"Hibbs, Shelby A",,,,,,sah140730,shelby hibbs
THEA,3323,001,1,12,3,3,2,1,1,,,,,,1,0,"Hibbs, Shelby A",,,,,,sah140730,shelby hibbs
ATCM,1100,002,1,1,2,3,2,1,2,3,,1,3,1,4,0,"Nielsen, Christina R","Wilson, David N","Monjoree, Uttamasha",,,,crn022000,christina nielsen
ATCM,2345,003,2,4,4,5,5,,,,2,,1,,1,0,"Fitzgerald, Harold E",,,,,,hxf170830,harold fitzgerald
ATCM,4397,001,7,6,2,4,3,,,1,1,,,,,0,"Nielsen, Christina R",,,,,,crn022000,christina nielsen
ATCM,4397,004,4,6,,1,,2,3,3,3,1,1,,,0,"Caldwell, Bryon A",,,,,,bac190003,bryon caldwell
CLDP,3394,001,,18,,,6,,,,,,,,,0,"Grant, Meridith G",,,,,,mga061000,meridith grant
CLDP,4344,001,8,8,6,1,,,1,,,,,,,0,"Ward, Felicia",,,,,,few160030,felicia ward
COMD,6240,001,,24,,,,,,,,,,,,0,"Touchstone, Emily W",,,,,,exw010200,emily touchstone
NSC,4351,001,15,6,,1,,,,1,,,,,1,0,"Miller, Van S",,,,,,vxm077000,van miller
PSY,3322,001,,19,,,5,,,,,,,,,0,"Small, Trillion N",,,,,,txs174730,trillion small
PSY,3393,005,5,8,5,3,1,1,,,,,,,1,0,"Schwark, Gayle","Hudson, Rachael N",,,,,gxs180015,gayle schwark
BMEN,3120,101,5,11,3,3,,,1,,,,,,,1,"Ali, Tariq M","Amarneh, Bushra B",,,,,tma051000,tariq ali
BMEN,3120,102,3,7,5,4,2,,2,,,,,,1,0,"Ali, Tariq M","Dolui, Swapnil",,,,,tma051000,tariq ali
BMEN,3120,105,4,8,7,1,2,2,,,,,,,,0,"Winter, Patrick M","Amarneh, Bushra B","Dolui, Swapnil","Ramasamy, Mohanraj",,,pxw151030,patrick winter
BMEN,3325,001,16,5,3,,,,,,,,,,,0,"Taha, Abraham M","Mir, Ali",,,,,mxt108120,abraham taha
BMEN,4110,104,8,9,1,1,,1,2,,,,1,1,,0,"Ardestani Khoubrouy, Soudeh","Abraham, Alejandro","Raut, Saurabh Vikas",,,,sxa074200,soudeh ardestani khoubrouy
BMEN,6374,001,,10,6,7,1,,,,,,,,,0,"Bleris, Leonidas",,,,,,lxb092000,leonidas bleris
CS,1134,602,14,3,,2,,,,1,,,,,2,2,"Doore, Karen L",,,,,,kld054000,karen doore
CS,2305,006,1,3,2,2,4,1,1,2,,,,,6,2,"Dhoked, Sahil",,,,,,,sahil dhoked
EERF,6395,001,,7,2,6,3,2,1,3,,,,,,0,"Lehmann, Randall E","Fang, Lei",,,,,rel041000,randall lehmann
MECH,2120,101,3,6,5,5,2,2,,,,,,,1,0,"Minary-Jolandan, Majid","Feng, Cheng",,,,,mxm124631,majid minary jolandan
MECH,2120,102,2,9,6,3,2,,1,,,,,,,1,"Minary-Jolandan, Majid","Feng, Cheng",,,,,mxm124631,majid minary jolandan
MECH,2120,103,8,10,3,1,2,,,,,,,,,0,"Minary-Jolandan, Majid","Bian, Ning",,,,,mxm124631,majid minary jolandan
MECH,2120,105,,8,9,5,,,,,,,,,2,0,"Minary-Jolandan, Majid","Cao, Dongyang",,,,,mxm124631,majid minary jolandan
MECH,3115,102,,8,9,4,1,,1,,,,,,1,0,"Ouyang, Hui","Rana, Santosh K",,,,,hxo150330,hui ouyang
MECH,3115,103,,16,4,,4,,,,,,,,,0,"Ouyang, Hui","Rana, Santosh K",,,,,hxo150330,hui ouyang
MECH,3115,105,,15,8,,,,,,,,,,,1,"Ouyang, Hui","Lee, Sanghun",,,,,hxo150330,hui ouyang
MECH,3120,101,17,4,2,1,,,,,,,,,,0,"Hassanipour, Fatemeh","Azarnoosh, Jamasp",,,,,fxh091000,fatemeh hassanipour
MECH,3120,102,17,7,,,,,,,,,,,,0,"Hassanipour, Fatemeh","Zaherisarabi, Shadi",,,,,fxh091000,fatemeh hassanipour
MECH,3120,103,21,3,,,,,,,,,,,,0,"Hassanipour, Fatemeh","Jiang, Lin",,,,,fxh091000,fatemeh hassanipour
MECH,3120,104,10,5,2,4,3,,,,,,,,,0,"Hassanipour, Fatemeh","Rukhsar, Aqsa",,,,,fxh091000,fatemeh hassanipour
MECH,3120,106,21,2,,1,,,,,,,,,,0,"Hassanipour, Fatemeh","Zaherisarabi, Shadi",,,,,fxh091000,fatemeh hassanipour
MECH,3120,107,19,3,1,1,,,,,,,,,,0,"Hassanipour, Fatemeh","Azarnoosh, Jamasp",,,,,fxh091000,fatemeh hassanipour
MECH,4110,104,2,5,1,4,8,2,,2,,,,,,0,"Koeln, Justin P","Madera, Jonathan",,,,,jpk170130,justin koeln
MECH,4110,106,1,5,,6,8,3,,,1,,,,,0,"Koeln, Justin P","Li, Changyuan",,,,,jpk170130,justin koeln
CRIM,4396,001,,19,,,1,,,4,,,,,,0,"Wheeler, Andrew",,,,,,axw161530,andrew wheeler
ECON,4334,501,4,7,4,4,1,2,,,1,,,,,1,"Ahmadi, Maryam",,,,,,mxa143930,maryam ahmadi
GEOG,3377,501,3,6,5,2,3,1,2,,1,1,,,,0,"Vakulenko, Irina","Chen, Meifang",,,,,iav081000,irina vakulenko
GOVT,2306,HN1,4,4,7,4,4,,,,,,,,,1,"Dow, Douglas C",,,,,,dougdow,douglas dow
PA,3306,001,,10,7,5,2,,,,,,,,,0,"Abraham, Romeo",,,,,,,romeo abraham
SOC,2300,001,,3,1,5,6,5,1,1,,,,,2,0,"Smith, Erin",,,,,,erins,erin smith
SOC,3379,001,4,18,2,,,,,,,,,,,0,"Zvobgo, Varaidzo",,,,,,,varaidzo zvobgo
ED,3380,501,9,3,8,3,,,,,,,,,,1,"Hart, Nicola",,,,,,nxh171730,nicola hart
ED,4361,501,1,15,7,,,,,,,,,,,1,"Pollock, Laurie L",,,,,,lly062000,laurie pollock
BCOM,3310,014,3,4,7,1,3,2,,3,,,,,1,0,"Ahlberg, Mehrzad","Tanabe, Takuma",,,,,,mehrzad ahlberg
ENTP,4330,001,6,6,4,2,5,1,,,,,,,,0,"Welbourne Eleazar, Miranda J",,,,,,mjw160530,miranda welbourne eleazar
ENTP,6375,0W1,,6,5,4,2,3,,1,,,,,2,1,"Bochsler, Daniel C",,,,,,dcb091000,daniel bochsler
FIN,6350,501,,10,2,1,4,2,1,2,,,,,,2,"Baranchuk, Nina",,,,,,nxb043000,nina baranchuk
IMS,6204,555,,9,,,15,,,,,,,,,0,"Peng, Mike","Neumannova, Anita",,,,,mxp059000,mike peng
IMS,6310,501,,2,11,7,3,1,,,,,,,,0,"Lee, Seunghyun","Kim, Dong Shin",,,,,sxl029100,seunghyun lee
MECO,7312,001,,7,5,3,5,4,,,,,,,,0,"Chiong, Khai X",,,,,,kxc173030,khai chiong
MIS,6309,0W1,,6,4,7,2,5,,,,,,,,0,"Bradbury, Judd D","Singh, Ayush K","Shah, Bhavin A",,,,jdb101000,judd bradbury
MIS,6330,501,,9,10,4,1,,,,,,,,,0,"Lahiri, Atanu","Kapadia, Hemanshu M",,,,,axl144730,atanu lahiri
MIS,6356,0W1,,10,1,5,3,2,,,,,,,,3,"Parker, Jason A","Rajendran, Adityan",,,,,jap090020,jason parker
MKT,6341,501,,10,2,3,8,1,,,,,,,,0,"Edsel, Alexander D","Subramanian, Thyagarajan",,,,,ade012000,alexander edsel
OPRE,6302,CW1,,8,7,6,3,,,,,,,,,0,"Hassanzadeh, Nozar",,,,,,nozarh,nozar hassanzadeh
OPRE,6332,501,,9,7,4,1,1,,,,,,,2,0,"Ramanathan, Kannan","Ramakrishnan, Jaishree","Li, Changpei",,,,kxr087000,kannan ramanathan
BIOL,2281,303,3,2,5,3,3,3,1,1,3,,,,,0,"Lin, Wen J","Ratevosyan, Richard",,,,,wenju,wen lin
BIOL,3520,301,4,11,4,4,,1,,,,,,,,0,"Palmer, Kelli L","Avadhanam, Nymisha","Dahl, Haley C","Marco, Belle","Ebrahimzadeh Pirshahid, Tahmineh",,klp120030,kelli palmer
CHEM,1111,142,2,12,7,,,,1,,,,,,2,0,"Jaggi, Neelam","Parker, Dynasty M","Firouzi, Hamid Reza",,,,nxj190013,neelam jaggi
CHEM,1111,151,7,10,1,1,1,1,,1,,1,,,1,0,"Anka, Fadwa H","Kannangara, Dona Prashansa B",,,,,fha041000,fadwa anka
MATH,2420,HN1,11,9,1,1,1,1,,,,,,,,0,"Dabkowski, Mieczyslaw K","Sechkin, Georgii",,,,,mkd034000,mieczyslaw dabkowski
PHYS,4352,001,,7,4,1,7,1,1,1,,1,1,,,0,"Shi, Xiaoyan","Kakani, Vivek M",,,,,xxs151730,xiaoyan shi
STAT,4382,001,1,9,1,2,3,2,3,1,,,,,2,0,"Koshevnik, Yuly","Thompson, Patrick A",,,,,yxk055000,yuly koshevnik
STAT,6337,001,,4,4,3,3,3,1,3,,,,,2,1,"Biswas, Swati","Wu, Jiaju",,,,,sxb125731,swati biswas
UNIV,1100,002,9,9,2,1,1,1,1,,,,,,,0,"Welgehausen, Eric C",,,,,,ericw,eric welgehausen
PSY,3336,001,,10,,,6,2,,4,,,2,,,0,"Vanbeveren, Jacoba G",,,,,,,jacoba vanbeveren
EE,3320,001,4,3,3,1,5,2,,1,,2,1,,1,1,"Cogan, Diana L","Wang, Zi","Wang, Yifan",,,,dcc095020,diana cogan
ECON,3311,002,,4,1,2,3,3,1,2,1,,3,,4,0,"Dumas, Lloyd","Petosa, Jeremy M",,,,,ljdumas,lloyd dumas
HMGT,6321,CH2,,23,,1,,,,,,,,,,0,"Ferrante, Anne M",,,,,,,anne ferrante
ARTS,1301,HN1,4,14,3,3,,,,,,,,,1,0,"Riccio, Thomas P",,,,,,txr033000,thomas riccio
COMM,1315,5H1,11,4,5,2,,1,,1,,,1,,,0,"Skiles, Bradley W",,,,,,bws150030,bradley skiles
DANC,2321,001,23,1,,,,,,,1,,,,,0,"Owens, Misty",,,,,,mxo122530,misty owens
ATCM,1100,001,2,7,5,,2,1,1,1,,1,,2,3,0,"Nielsen, Christina R","Wilson, David N","Monjoree, Uttamasha",,,,crn022000,christina nielsen
ATCM,2301,002,,9,6,4,2,1,1,1,,,,1,,0,"Veras de Souza, Christine","Enam, Victor J",,,,,,christine veras de souza
ATCM,2301,003,6,12,3,1,1,,,,1,,,,1,0,"Boyd, Elizabeth",,,,,,esp041000,elizabeth boyd
ATCM,2301,004,1,6,8,3,3,1,1,,,,,,1,1,"Veras de Souza, Christine","Enam, Victor J","Bagherzadeh, Elmira",,,,,christine veras de souza
ATCM,3365,002,,7,8,1,7,,,2,,,,,,0,"Christopher, Timothy V",,,,,,khimbar,timothy christopher
NSC,4364,001,2,19,1,,1,,,1,,,,,1,0,"Miller, Van S",,,,,,vxm077000,van miller
PSY,2301,HN1,4,20,1,,,,,,,,,,,0,"Gentsch, Joanna K",,,,,,jgentsch,joanna gentsch
PSY,2301,HN2,14,8,3,,,,,,,,,,,0,"Devdas, Neetha R",,,,,,nrd120030,neetha devdas
PSY,2317,501,1,5,5,,3,,,2,,,,1,6,2,"Pacheco, Daniel F","Moraglia, Luke E",,,,,pdaniel,daniel pacheco
PSY,4324,001,1,8,4,3,,,2,2,,,,,3,2,"Brody, Salena M",,,,,,smb051000,salena brody
CS,1334,003,3,2,5,3,2,2,,1,,1,,1,3,2,"Narayanasami, Priya",,,,,,pxn173330,priya narayanasami
CS,4398,001,3,6,,6,4,1,1,1,3,,,,,0,"Gupta, Neeraj K",,,,,,nkg140130,neeraj gupta
ECS,2361,HN1,3,14,4,2,,1,1,,,,,,,0,"Dow, Douglas C",,,,,,dougdow,douglas dow
EECT,6325,002,,4,5,5,4,3,,,,,,,1,3,"Sechen, Carl","Hu, Bo","Salimath, Vibhav Kumarswami",,,,cms057000,carl sechen
EEOP,6310,001,,13,12,,,,,,,,,,,0,"Tamil, Lakshman","Kalidas, Vignesh",,,,,laxman,lakshman tamil
ECON,2301,HN1,,6,4,1,10,,2,,,,1,,,1,"Grover, William C",,,,,,wcg071000,william grover
ECON,6305,501,,14,2,4,4,1,,,,,,,,0,"O'Brien, Daniel M",,,,,,obri,daniel obrien
GEOG,2303,001,1,8,3,2,3,2,,2,,2,1,,,1,"Vakulenko, Irina","Chen, Meifang",,,,,iav081000,irina vakulenko
GOVT,2306,HN3,,21,3,,1,,,,,,,,,0,"Elliott, Euel W","Johnson, Sara K","Latiolais, Jasmine R","Medhi, Kashmiri",,,eelliott,euel elliott
SOC,1301,HN1,12,10,3,,,,,,,,,,,0,"Skaggs, Sheryl L",,,,,,slskaggs,sheryl skaggs
BIS,1100,001,,22,1,1,,,,,,,,,1,0,"Werhnyak, Larissa",,,,,,lxw163630,larissa werhnyak
BIS,1100,004,17,5,,,2,,,,,,,,1,0,"Wissinger, Tonja",,,,,,twissin,tonja wissinger
ED,4372,5H1,13,7,3,1,1,,,,,,,,,0,"Mahmoud, Ramy A",,,,,,mahmoudr,ramy mahmoud
ACCT,3350,PP1,3,2,9,8,2,,,,,,,,1,0,"Solcher, Steven J",,,,,,sjs107020,steven solcher
BPS,4305,001,1,3,,5,6,4,1,1,1,1,1,,,1,"Chasteen, Larry H","Teschner, Ryan S",,,,,chasteen,larry chasteen
BPS,6256,XS1,,13,2,7,2,,1,,,,,,,0,"Solomon, Lawrence N",,,,,,,lawrence solomon
BPS,6310,XS1,,13,,,12,,,,,,,,,0,"Peng, Mike",,,,,,mxp059000,mike peng
FIN,6253,XS1,,18,2,3,1,,1,,,,,,,0,"Reichert, Carolyn A",,,,,,carolyn,carolyn reichert
