Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,NF,CR,I,NC,P,W,instructor_id,instructor_name_normalized
"Howard Cuadros, Esther W",,,,,,RHET,1302,003,,13,2,2,1,,,,,1,,,,,,,,,0,exh022000,
"Wright, Adam M",,,,,,RHET,1302,004,4,1,5,2,3,,1,,1,,,,2,,,,,,0,amw140430,adam wright
"Ocasio-Russe, Lizbette",,,,,,RHET,1302,005,1,2,4,1,2,2,2,,,,,,3,,,,,,2,lxo160130,lizbette ocasio russe
"Riley, Kristin N",,,,,,RHET,1302,006,1,6,3,1,2,4,,1,,,,,1,,,,,,0,knr091000,kristin riley
"King, Alana",,,,,,RHET,1302,007,3,5,3,2,1,1,,1,1,,1,,1,,,,,,0,axk173530,alana king
"Bell, Joycelyn M",,,,,,RHET,1302,008,2,9,3,2,1,1,,,,,,1,,,,,,,0,jxb120631,
"Jett, Merry A",,,,,,RHET,1302,009,5,5,5,,1,,,1,1,,,,1,,,,,,0,mxj120530,merry jett
"Berry, Tracey R",,,,,,RHET,1302,010,1,10,3,,2,,2,1,,,,,,,,,,,0,txb112130,tracey berry
"Bell, Joycelyn M",,,,,,RHET,1302,011,4,10,2,,1,,,,,1,,,1,,,,,,0,jxb120631,
"Jett, Merry A",,,,,,RHET,1302,012,2,3,5,1,,1,,1,3,,1,,1,,,,,,1,mxj120530,merry jett
"Berry, Tracey R",,,,,,RHET,1302,013,1,9,1,4,1,1,,,1,,,,1,,,,,,0,txb112130,tracey berry
"Bovda, Alisa Y",,,,,,RHET,1302,014,,6,5,2,,1,1,,,,,,2,,,,,,1,ayb091020,alisa bovda
"Lyons, David L",,,,,,RHET,1302,015,1,4,9,1,1,,,,,1,,,1,,,,,,1,dll101020,david lyons
"Field, Amanda C",,,,,,RHET,1302,016,4,5,5,,3,1,,,,1,,,,,,,,,0,axl151930,amanda field
"Sinckler, Robin",,,,,,RHET,1302,017,,,,3,1,1,1,3,1,1,,1,3,,,,,,4,rxs150131,robin sinckler
"Lyons, David L",,,,,,RHET,1302,018,1,7,4,1,3,,,,,1,,1,1,,,,,,0,dll101020,david lyons
"Sinckler, Robin",,,,,,RHET,1302,019,,,,3,1,1,3,1,,,1,,5,,,,,,4,rxs150131,robin sinckler
"Field, Amanda C",,,,,,RHET,1302,020,3,6,3,2,3,1,,,,,,,1,,,,,,0,axl151930,amanda field
"Tehan, Terin J",,,,,,RHET,1302,021,,13,5,,,,,,,,,,,,,,,,0,txt125430,terin tehan
"Stout, Patricia J",,,,,,RHET,1302,022,,9,1,4,2,1,,1,,,,,1,,,,,,0,pjs140230,
"Keeth, Sara L","King, Carie S",,,,,RHET,1302,023,2,1,6,2,2,,1,,1,,,,2,,,,,,2,slk041000,sara keeth
"Riley, Kristin N",,,,,,RHET,1302,024,3,7,3,2,,,1,1,,,,,1,,,,,,0,knr091000,kristin riley
"Al-Habashneh, Eman Bahjat",,,,,,RHET,1302,025,,2,4,4,4,1,,,,,,2,2,,,,,,0,eba130130,eman al habashneh
"Keeth, Sara L",,,,,,RHET,1302,026,,2,8,1,1,1,3,1,,,,,2,,,,,,0,slk041000,sara keeth
"Stout, Patricia J",,,,,,RHET,1302,027,,6,4,4,1,,,,,,,,3,,,,,,1,pjs140230,
"Al-Habashneh, Eman Bahjat",,,,,,RHET,1302,028,,,4,5,2,2,2,2,1,,,,1,,,,,,0,eba130130,eman al habashneh
"Keeth, Sara L",,,,,,RHET,1302,029,1,6,,2,5,,,,,1,,,4,,,,,,0,slk041000,sara keeth
"Riley, Kristin N",,,,,,RHET,1302,030,3,6,7,,,,,1,1,,,,1,,,,,,0,knr091000,kristin riley
"Crawford, Rachel",,,,,,RHET,1302,031,3,4,3,1,1,1,,1,1,,,,2,,,,,,0,rxc161430,rachel crawford
"Binkowski, Alex",,,,,,SPAN,1311,001,1,8,7,4,1,1,,,,,,,,,1,,,,0,axb172531,
"Leverone, Julia",,,,,,SPAN,1312,001,1,11,5,4,1,,1,1,,,,,,,,,,,0,jxl162631,julia leverone
"Camacho-Guardado, Lorena",,,,,,SPAN,2311,001,5,3,6,,,1,,,,,,1,1,,,,,,1,lxc163230,amalia lorena camacho guardardo
"Tady, Lorraine T",,,,,,ARTS,3369,001,1,11,,,2,1,,,,,,,,,,,,,0,ltt042000,lorraine tady
"Widomski, Chris",,,,,,MUSI,1306,001,2,8,15,7,7,1,,1,,,,1,4,,,,,,1,cxw164530,chris widomski
"Widomski, Chris",,,,,,MUSI,1306,002,3,20,11,5,2,3,,,,,,,2,,,,,,0,cxw164530,chris widomski
"Hodan, Daniel M",,,,,,MUSI,2315,001,,17,,,,,,,,,,,,,,,,,1,dmh017000,daniel hodan
"Healy, John E",,,,,,MUSI,2315,002,5,7,1,,,1,,,,,,,,,,,,,1,jxh048000,
"Medrick, Mary A",,,,,,MUSI,2317,001,,15,2,,,1,,,,,,,1,,,,,,0,mam017200,mary medrick
"Medrick, Mary A",,,,,,MUSI,2317,002,2,9,,2,,2,,,,,1,,1,,,,,,2,mam017200,mary medrick
"Durbin, Kelly",,,,,,MUSI,2319,001,2,10,5,,1,,,,,,,,,,,,,,0,kpdurbin,kelly durbin
"Hughes, William K",,,,,,MUSI,2325,001,5,6,,,,1,,,,,,,1,,,,,,2,wkh150030,william hughes
"Mcvay, Michael",,,,,,MUSI,2328,001,1,6,,2,,3,,,1,,,,,,,,,,1,mjm031000,michael mcvay
"Evans, Kathryn C",,,,,,MUSI,3385,001,,14,,,4,,,,,,,,,,,,,,0,kcevans,kathryn evans
"Leek, Patricia A",,,,,,LIT,3315,001,,13,,1,1,3,,,3,,,,1,,,,,,1,santine,patricia leek
"Leek, Patricia A",,,,,,LIT,3315,501,,9,5,1,2,1,1,1,1,,,,,,,,,,0,santine,patricia leek
"Leek, Patricia A",,,,,,LIT,3315,002,,8,5,,1,1,,,,,,,1,,,,,,0,santine,patricia leek
"Gerard, Lori A",,,,,,MUSI,2113,501,5,8,2,,,,,1,,,,,,,,,,,0,lag091020,lori gerard
"Miranda, Jeffrey",,,,,,ARTS,3366,501,8,8,2,,,,,,,,,,,,,,,,0,jxm069000,jeffrey miranda
"Brown-Pearn, Spencer S",,,,,,ARTS,3373,001,3,11,,,,,,,1,,,,,,,,,,0,ssb062000,spencer brown pearn
"Channell, David",,,,,,HIST,3337,001,1,15,6,11,21,13,6,12,2,,1,,1,,,,,,1,channell,david channell
"McCullough, Shellie K","Snyder, Sarah E",,,,,HUMA,1301,007,2,42,8,2,3,2,1,1,,1,,,1,,,,,,2,skm022000,shellie mccullough
"McCullough, Shellie K","Alhashmi, Rawad Y",,,,,HUMA,1301,008,,46,8,3,4,1,3,1,,1,1,,2,,,,,,0,skm022000,shellie mccullough
"Allred, Michael K",,,,,,JAPN,1311,001,15,7,4,1,,1,,,,1,,,,,,,,,0,mka170830,michael allred
"Kroska, Nami",,,,,,JAPN,2311,001,4,4,7,4,2,,1,,,1,,,,,,,,,0,nxk167330,nami kroska
"Saar Hambazaza, Terje",,,,,,LIT,2331,003,7,5,5,,,,,,1,,,,1,,,,,,0,txs018600,terje saar hambazaza
