Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,NF,CR,I,NC,P,W,instructor_id,instructor_name_normalized
"Lee, Gil S","Bo, Yu",,,,,CE,3111,102,,4,2,,3,,,2,,,,,,,,,,,0,gslee,gill lee
"Lee, Gil S","Choi, Ye I",,,,,EE,3111,101,2,8,1,1,1,,3,1,,1,,,,,,,,,0,gslee,gill lee
Kenneth,"Chen, Lei",,,,,CE,3311,001,1,,1,1,,5,,,7,,,,1,,,,,,0,kxo091000,kenneth
"Pourkamali, Siavash",,,,,,CE,3311,501,3,2,1,,1,1,1,,,,2,,,,,,,,0,sxp124631,siavash pourkamali
Kenneth,"Chen, Lei",,,,,EE,3311,001,,4,4,3,4,7,2,3,3,1,,,,,,,,,0,kxo091000,kenneth
"Pourkamali, Siavash",,,,,,EE,3311,501,1,3,1,,,2,,1,1,,,,1,,,,,,1,sxp124631,siavash pourkamali
"Ma, Dongsheng","Chen, Lei",,,,,EE,4340,001,1,8,1,5,8,4,1,,2,,1,,1,,,,,,2,dxm101000,dongsheng ma
"Panahi, Issa","Karadagur Ananda Reddy, Chandan",,,,,EE,4361,001,2,,1,2,8,,5,2,3,1,4,,,,,,,,1,imp015000,issa panahi
"Lee, Jung S","Bangar, Esha",,,,,ENGR,3300,502,,7,1,1,7,,,14,4,1,9,1,2,,,,,,1,jls032000,jung lee
"Lee, Jeong-Bong",,,,,,CE,3310,001,3,3,,4,7,,4,3,3,,,,,,,,,,0,jblee,jeong bong lee
"Lee, Jeong-Bong",,,,,,EE,3310,001,1,2,,2,4,,4,4,2,,,,4,,,,,,0,jblee,jeong bong lee
"Coleman, Ann C","Paul, Banaful",,,,,EE,4301,501,2,4,3,8,6,4,5,3,2,,6,,1,,,,,,1,acc130630,ann coleman
"Saad, Ricardo E","Byreddy, Pranith Reddy",,,,,EERF,6355,001,,15,10,7,4,,,,,,,,,,,,,,0,rsaad,ricardo saad
"Karrah, Shyam S",,,,,,CS,1336,012,8,20,,3,2,2,2,2,2,1,4,1,3,,,,,,2,skarrah,shyam karrah
"Whalen, Tristan G","Coleman, Zachary W",,,,,CS,3341,001,6,8,6,3,5,5,5,4,5,2,4,1,11,,,,,,4,tgw100020,tristan whalen
"Whalen, Tristan G","Roy, Akash",,,,,CS,3341,501,18,16,11,14,13,6,,8,2,3,2,,7,,,,,,1,tgw100020,tristan whalen
"Yuruk, Nurcan","Skorupa Parolin, Erick",,,,,CS,6360,002,,27,10,10,11,1,,,,,,,,,,,,,2,nxy140530,nurcan yuruk
"Ryu, III",,,,,,MECH,2320,001,1,3,7,5,2,2,2,2,,,,,,,,,,,0,ixr161130,
"Fadda, Dani Z","Hamidi, Armita",,,,,MECH,3305,002,4,15,5,5,8,2,4,1,2,,,,,,,,,,1,dzf091000,dani fadda
"Iungo, Giacomo Valerio","Debnath, Mithu",,,,,MECH,3315,002,12,15,7,10,9,10,2,,3,1,1,,5,,,,,,0,ixg140830,giacomo iungo
"Lu, Hongbing","Wang, Xuemin",,,,,MECH,2120,101,2,12,6,2,,,,,,,,,,,,,,,0,hxl101000,hongbing lu
"Rios, Oziel","Sadeh, Sepehr",,,,,MECH,3105,101,,10,3,1,4,2,1,5,7,,,,3,,,,,,1,oxr106020,oziel rios
"Rios, Oziel","Sadeh, Sepehr",,,,,MECH,3105,102,,1,4,,7,5,2,4,3,,,,2,,,,,,1,oxr106020,oziel rios
"Park, Wooram","Lin, Jianping",,,,,MECH,3150,101,1,18,5,3,11,2,,1,,,1,,,,,,,,1,wxp103020,wooram park
"Ruths, Justin","Hashemi, Navid",,,,,MECH,4310,001,,4,4,4,3,,,9,3,,3,,6,,,,,,1,jxr163730,justin ruths
"Belkoura, Mohamed Amine",,,,,,CS,1337,501,,11,,,7,,,7,,,2,,1,,,,,,1,mxb135330,mohamed amine belkoura
"Smith, Jason W",,,,,,CS,1337,002,9,3,4,1,6,2,2,3,1,1,,1,25,,,,,,10,jws130830,jason smith
"Smith, Jason W",,,,,,CS,1337,001,6,7,1,1,2,,2,2,,,,,,,,,,,0,jws130830,jason smith
"Farage, Timothy P",,,,,,CE,2305,001,4,1,,3,1,1,,1,,,,,,,,,,,1,tfarage,timothy farage
"Farage, Timothy P",,,,,,CE,2305,002,9,2,3,,,,,1,,,,,,,,,,,0,tfarage,timothy farage
"Farage, Timothy P",,,,,,CS,2305,001,4,7,,,1,2,3,4,5,2,1,3,,,,,,,0,tfarage,timothy farage
"Farage, Timothy P",,,,,,CS,2305,002,18,15,4,5,4,,1,7,2,1,,1,5,,,,,,1,tfarage,timothy farage
"Willson, James K",,,,,,CS,2305,501,3,15,4,4,3,5,2,3,,,1,,,,,,,,0,jkw053000,james willson
"Semper, William J",,,,,,CS,2305,502,1,12,2,5,5,5,4,4,,,,,1,,,,,,1,wjs130130,william semper
"Nouroz Borazjany, Mehra",,,,,,CE,2336,001,5,,,1,,,2,2,,,,,2,,,,,,0,mxn143230,mehra borazjany
"Nouroz Borazjany, Mehra",,,,,,CS,2336,001,10,5,10,6,3,2,4,2,5,,4,1,7,,,,,,3,mxn143230,mehra borazjany
"Khan, Ziaullah",,,,,,CS,2336,502,9,3,8,17,10,2,4,,,,,2,,,,,,,2,kkhan,ziaullah khan
"Feng, Ranran",,,,,,CS,2336,005,3,4,6,19,7,8,6,3,2,,1,,3,,,,,,2,rxf090020,ranran feng
"Ozbirn, Greg A","Wang, Zhuoyi","Zhu, Yuankun",,,,CE,3345,002,,2,2,,,4,1,,1,,,,,,,,,,0,ozbirn,greg ozbirn
"Chida, Anjum","Lagrone, Travis C","Hu, Xinyu",,,,CS,3345,001,7,11,7,2,1,1,,1,,,1,,1,,,,,,0,axc157030,anjum chida
"Ozbirn, Greg A","Wang, Zhuoyi","Zhu, Yuankun",,,,CS,3345,002,3,9,18,12,6,7,4,3,1,1,,2,5,,,,,,1,ozbirn,greg ozbirn
"Page, Ivor","Gokhale, Shreyas S",,,,,CS,3345,HON,4,12,6,9,1,,1,1,,,,,1,,,,,,0,ivor,ivor page
"Cankaya, Ebru C","Chen, Lingchao",,,,,CS,3354,001,4,24,11,7,7,3,1,3,,1,1,,2,,,,,,0,exc067000,ebru cankaya
"Paulk, Mark C","Tian, Zijing","Wang, Haoliang",,,,CS,3354,002,2,18,12,10,12,7,10,7,3,,,1,,,,,,,0,mcp130030,mark paulk
"Cankaya, Ebru C","Mao, Dongyu",,,,,CS,3354,003,3,12,3,2,9,,2,1,,,,,1,,,,,,1,exc067000,ebru cankaya
"Goodrum, Richard A","Zhu, Yuankun",,,,,CE,4348,501,,8,,,13,,,5,,,1,,,,,,,,0,rag150330,richard goodrum
"Ozbirn, Greg A","Ahn, Sung Soo",,,,,CS,4348,001,,1,3,6,5,9,3,7,4,2,4,4,7,,,,,,1,ozbirn,greg ozbirn
"Ozbirn, Greg A","Bista, Himlun B",,,,,CS,4348,501,,5,4,5,5,4,5,6,7,1,,1,1,,,,,,2,ozbirn,greg ozbirn
"Ozbirn, Greg A","Bista, Himlun B",,,,,SE,4348,501,,,1,4,2,1,3,2,,1,,,1,,,,,,2,ozbirn,greg ozbirn
"Friedman, Joseph S","Jha, Sumit","Chen, Jianfei","Nahar, Lubaba M",,,EE,3101,101,1,4,3,2,,2,,,,,,,,,,,,,0,jsf160330,joseph friedman
"Friedman, Joseph S","Chen, Jianfei","Nahar, Lubaba M",,,,EE,3101,103,,7,2,2,3,,,,,,,,1,,,,,,0,jsf160330,joseph friedman
"Friedman, Joseph S","Nahar, Lubaba M",,,,,EE,3101,104,,9,2,1,,,,1,1,,,,1,,,,,,0,jsf160330,joseph friedman
"Friedman, Joseph S","Bo, Yu","Chen, Jianfei","Nahar, Lubaba M",,,EE,3101,102,,3,2,2,1,1,,1,,,,,,,,,,,1,jsf160330,joseph friedman
"Kehtarnavaz, Nasser","Dawar, Neha",,,,,CE,3102,101,2,2,1,1,1,2,,,,,,,,,,,,,1,nxk019000,nasser kehtarnavaz
"Kehtarnavaz, Nasser","Taghizadeh Alamdari, Nasim","Dawar, Neha",,,,EE,3102,102,5,1,2,1,1,1,2,,,,,,,,,,,,0,nxk019000,nasser kehtarnavaz
"Helms, Robert","Luo, Ziyang",,,,,CE,3301,001,,1,,,3,2,1,2,2,1,1,,2,,,,,,0,rxh033000,
"Helms, Robert","Luo, Ziyang",,,,,EE,3301,001,,4,5,1,3,1,5,8,4,1,2,,2,,,,,,0,rxh033000,
"Fumagalli, Andrea",,,,,,CE,3302,001,,1,,3,,2,6,3,1,,1,,1,,,,,,0,andreaf,andrea fumagalli
"Fumagalli, Andrea",,,,,,EE,3302,001,,9,,3,5,3,6,4,5,,3,,3,,,,,,1,andreaf,andrea fumagalli
"Tacca, Marco",,,,,,CE,4388,501,,10,4,,,,,,,,,,,,,,,,0,mtacca,marco tacca
"Tacca, Marco",,,,,,CE,4388,502,,7,4,1,,,,,,,,,,,,,,,0,mtacca,marco tacca
"Tacca, Marco",,,,,,EE,4388,501,,13,13,1,1,,,,,,,,,,,,,,0,mtacca,marco tacca
"Tacca, Marco",,,,,,EE,4388,502,,11,11,2,2,,3,,,,,,,,,,,,0,mtacca,marco tacca
"Tacca, Marco",,,,,,EE,4389,501,1,10,4,3,3,,,1,,,,,,,,,,,0,mtacca,marco tacca
"Nguyen, Nhut","Desai, Takshak",,,,,CS,4390,001,2,9,8,10,10,4,,4,3,,3,,1,,,,,,0,nhutnn,nhut nguyen
"Nguyen, Nhut","Desai, Takshak",,,,,CE,4390,001,,2,3,5,,3,,,,,1,,,,,,,,0,nhutnn,nhut nguyen
"Tadesse, Yonas T","Wu, Lianjun",,,,,MECH,6303,501,,21,7,3,6,1,,,,,,,,,,,,,0,ytt110030,yonas tadesse
"Dow, Douglas C",,,,,,ECS,3361,HN1,5,6,10,2,1,,,,,,,,,,,,,,1,dougdow,douglas dow
"Vogel, Don G",,,,,,CS,1136,106,28,8,,2,1,,,3,,,6,,1,,,,,,2,dgv130030,don vogel
"Chung, Lawrence","Kolluri, Kirthy",,,,,SE,6362,001,,4,4,2,4,,,,,,,,,,,,,,0,chung,lawrence chung
"Zhang, Lingming","Mao, Dongyu",,,,,CS,6367,501,,12,8,1,,,1,,,,,,1,,,,,,0,lxz144130,lingming zhang
"Mezenner, Rabah",,,,,,ECS,3361,003,4,19,22,19,20,8,3,4,,,,,,,,,,,1,rxm129730,rabah mezenner
"Zhou, Dian","Xiong, Jiu",,,,,EE,3120,105,,9,,,2,,,,,,,,,,,,,,0,zhoud,dian zhou
"Lee, Gil S","Cheng, Qi",,,,,EE,3111,104,,9,1,,2,,,,1,,,,,,,,,,1,gslee,gill lee
"Vogel, Don G",,,,,,CS,1136,104,23,8,4,1,3,,,1,,,1,,6,,,,,,3,dgv130030,don vogel
"Vogel, Don G",,,,,,CS,1136,103,30,8,2,6,3,,1,,,,1,,2,,,,,,0,dgv130030,don vogel
"Vogel, Don G",,,,,,CS,1136,107,14,9,2,7,3,2,1,3,1,,2,,4,,,,,,1,dgv130030,don vogel
"Vogel, Don G",,,,,,CS,1136,108,27,8,2,,1,2,2,,,,,,3,,,,,,0,dgv130030,don vogel
"Vogel, Don G",,,,,,CS,1136,109,25,2,3,2,2,1,,3,1,,2,,4,,,,,,4,dgv130030,don vogel
"Shields, Charles O",,,,,,CS,1336,016,2,3,5,6,8,4,10,3,1,1,2,1,4,,,,,,2,cshields,charles shields
"Nouroz Borazjany, Mehra","Melendez, Matthew J",,,,,CS,6359,001,,11,12,8,3,,,1,,,,,,,,,,,0,mxn143230,mehra borazjany
"Davis, Chris I",,,,,,CS,6360,501,,36,18,7,1,3,,,,,,,,,,,,,2,cid021000,chris davis
"Vogel, Don G",,,,,,CS,1136,110,18,8,6,3,5,2,,2,2,,1,,5,,,,,,0,dgv130030,don vogel
"Ali, Mohammed Z","Helal, Noha",,,,,ENGR,2300,503,1,16,,3,3,2,1,1,,,,,2,,,,,,1,mohammed,ali mohammed
"Al-Dhahir, Naofal M","Marzban, Mohamed F",,,,,ENGR,2300,002,6,6,6,8,3,3,,2,1,1,,2,6,,,,,,0,nxa028000,naofal al dhahir
"Khoobroo, Amir",,,,,,ENGR,2300,501,5,5,2,3,4,6,1,3,7,,2,2,7,,,,,,2,axk144831,amir khoobroo
"Zhang, Kang","Wang, Xiaoyu",,,,,CS,6366,001,,27,10,8,1,1,,2,,,,,2,,,,,,0,kzhang,kang zhang
"Feng, Ranran","Patel, Vatsalkumar R","Li, Changbin",,,,CS,3360,001,2,3,6,8,5,1,5,2,,1,,1,3,,,,,,0,rxf090020,ranran feng
"Hernandez-Katz, Melissa M",,,,,,ECS,3390,0H4,,12,3,2,1,1,,,,,,,,,,,,,0,mhkatz,melissa hernandez katz
"Namgoong, Won","Abdelgelil, Mahmoud E",,,,,EESC,6349,001,,1,1,2,1,1,1,,,,,,,,,,,,2,wxn062000,won namgoong
"Cogan, Diana L","Zhu, Zhiqi","Banik, Jyotirmoy",,,,CE,1202,001,3,1,6,3,4,2,1,,9,1,,2,5,,,,,,1,dcc095020,diana cogan
"Cogan, Diana L","Zhu, Zhiqi","Banik, Jyotirmoy",,,,EE,1202,001,5,9,8,8,9,8,4,,14,2,1,,8,,,,,,0,dcc095020,diana cogan
"Makris, Georgios","Zaman, Monir M",,,,,EEDG,6304,001,,6,5,3,1,1,,,,,,,,,,,,,0,gxm112130,yiorgos makris
"Makris, Georgios","Zaman, Monir M",,,,,CE,6304,001,,3,4,3,,,,,,,,,1,,,,,,0,gxm112130,yiorgos makris
"Liu, Jin","Ren, Jiajun",,,,,EECT,6326,001,,13,10,5,11,4,,1,,,,,,,,,,,0,jinliu,jin liu
"Park, Wooram","Daryadel, Seyed Soheil",,,,,MECH,4340,001,2,6,8,4,9,6,3,1,3,,,,2,,,,,,0,wxp103020,wooram park
"Thamban, P.L.Stephan","Chang, Chih-Lun",,,,,MECH,2310,001,2,5,6,9,6,2,3,3,2,,1,1,3,,,,,,0,stephan,p l stephan thamban
"Hilkert, James M","Sunny, Sumair F",,,,,MECH,3350,001,5,11,12,9,12,5,12,5,3,1,,,3,,,,,,1,jmh011500,james hilkert
"Gans, Nicholas R","Li, Yingmao","Hosseini Jafari, Bashir","Eslami Manoochehri, Hafez","Iqbal, Asif",,EE,4310,001,5,11,2,6,17,2,3,8,2,,1,,,,,,,,0,nrg092000,nicholas gans
"Kirtzic, John S","Jin, Rong",,,,,CS,4332,501,34,9,6,2,1,1,1,2,1,,2,1,5,,,,,,1,jsk061000,john kirtzic
"Fischetti, Massimo V",,,,,,ENGR,3300,501,2,5,4,3,5,5,3,2,2,3,1,,6,,,,,,3,mvf100020,massimo fischetti
"Deignan, Paul B","He, Jiacong",,,,,ENGR,3341,502,3,5,7,3,2,7,3,5,,,5,,3,,,,,,1,pbd130130,paul deignan
"Swartz, William P","Shahshahani, Masoud",,,,,EE,4304,501,4,4,10,5,1,2,1,,,,,,3,,,,,,1,wps100020,william swartz
"Swartz, William P","Shahshahani, Masoud",,,,,CE,4304,501,6,8,9,4,6,,,,,,,,,,,,,,0,wps100020,william swartz
"Sechen, Carl","Hu, Bo",,,,,EECT,6325,002,,8,13,11,13,3,,,,,,,,,,,,,0,cms057000,carl sechen
"Cankaya, Ebru C","Taghavi Nasrabadi, Afshin",,,,,CS,4389,001,2,8,6,4,9,3,4,3,1,1,,,1,,,,,,0,exc067000,ebru cankaya
"Anderson, William C","Wang, Chao",,,,,MECH,6370,001,,6,3,4,2,3,2,,,,,,,,,,,,0,wca140030,william anderson
"Herrera, Nicolas S","Guo, Jinghui",,,,,CS,4352,501,11,15,10,4,3,6,5,3,2,,1,,,,,,,,1,nsh100020,
"Goodrum, Richard A","Nguyen Minh, Tan",,,,,CS,3340,002,,25,,,21,,,8,,,8,,6,,,,,,5,rag150330,richard goodrum
"Veerasamy, Jeyakesavan",,,,,,CS,1336,010,9,14,2,5,2,9,,4,1,1,,2,3,,,,,,0,veerasam,jeyakesavan veerasamy
"Cole, John","Skorupa Parolin, Erick",,,,,CS,6360,004,,5,,,13,3,,1,,,,,2,,,,,,0,jxc064000,john cole
"Wu, Wei L","Tong, Guangmo",,,,,CS,7301,001,,8,,,,,,,,,,,,,,,,,0,wxw020100,weili wu
"Moldovan, Dan I","Zhang, Linrui",,,,,CS,6320,001,,7,2,11,11,10,3,7,,,,,1,,,,,,0,moldovan,dan moldovan
"Nourani, Mehrdad","Kalidas, Vignesh","Bi, Zhaori",,,,EEDG,6301,001,,8,18,6,7,2,,1,,,,,,,,,,,1,nourani,mehrdad nourani
"Coleman, James J","Kirkpatrick, Brandi J","Chen, Jianfei",,,,EEMF,6320,001,,5,3,1,,,,,,,,,,,,,,,0,jjc130530,james coleman
"Coleman, James J","Kirkpatrick, Brandi J","Chen, Jianfei",,,,MSEN,6320,001,,7,1,,,,,,,,,,,,,,,,0,jjc130530,james coleman
"Swartz, William P","Birjandtalab Golkhatm, Javad","Wang, Xianan",,,,EEDG,6302,303,,6,6,5,1,2,,,,,,,,,,,,,0,wps100020,william swartz
"Choi, Wonjae","Santhanagopalan, Vignesh",,,,,MECH,3115,103,3,13,,,1,,,1,,,,,,,,,,,0,wxc111930,wonjae choi
"Hassanipour, Fatemeh","Jiang, Lin","Wang, Xiaomeng",,,,MECH,3120,101,3,13,2,,,,,,,,,,,,,,,,0,fxh091000,fatemeh hassanipour
"Hassanipour, Fatemeh","Jiang, Lin","Wang, Xiaomeng",,,,MECH,3120,102,5,10,3,,,,,,,,,,,,,,,,0,fxh091000,fatemeh hassanipour
"Hilkert, James M","Sunny, Sumair F",,,,,MECH,3350,501,5,12,7,5,9,8,8,6,4,,,1,,,,,,,1,jmh011500,james hilkert
"Qian, Dong","Baan, Marzieh",,,,,MECH,3351,001,,13,25,17,8,8,3,1,,,,,,,,,,,2,dxq120430,dong qian
"Crowder, Wade A",,,,,,ECS,3390,504,,2,6,8,2,1,,,,,,,,,,,,,0,wac010100,wade crowder
"Paulk, Mark C","Wang, Haoliang",,,,,SE,4367,001,6,9,8,4,9,3,3,5,4,3,3,,4,,,,,,0,mcp130030,mark paulk
"Hamlen, Kevin",,,,,,CS,6301,002,,,7,1,,,,,,,,,,,,,,,0,kxh060100,kevin hamlen
"Alagar, Sridhar","Ozarslan, Omer F",,,,,CS,6378,001,,10,3,4,7,2,1,,,,,,2,,,,,,1,sxa173731,sridhar alagar
"Min, Richard K","Zhou, Husheng",,,,,CS,3377,0W1,6,4,5,9,7,2,8,5,2,,,1,3,,,,,,1,rkm010300,richard min
"Nagar, Anurag","Belavadi, Vibha Chandramouli",,,,,CS,6375,001,,22,20,21,2,,,,,,,,,,,,,,0,axn112530,anurag nagar
"Mittal, Neeraj","Dhoked, Sahil",,,,,CS,6301,001,,6,,2,,2,,,,,,,,,,,,,0,nxm020100,neeraj mittal
"Debroy, Vidroha",,,,,,CS,3162,551,47,4,2,1,,3,1,1,1,,,,1,,,,,,0,vxd024000,vidroha debroy
"Arnold, Gordon L",,,,,,CS,3162,052,9,17,4,,,,,1,,,,,,,,,,,2,gxa120930,gordon arnold
"Wilt, James C",,,,,,ECS,3361,501,,7,15,16,15,22,7,6,6,2,,,2,,,,,,1,jcw140130,james wilt
"Gohil, Ghanshyamsinh",,,,,,EEPE,6354,001,,6,8,4,2,1,2,,,,,,,,,,,,1,gxg172530,ghanshyamsinh gohil
"Ali, Tariq M","Abbott, Justin",,,,,BMEN,3320,001,6,6,7,9,7,8,4,2,2,,,,12,,,,,,0,tma051000,tariq ali
"Nam, Hyunjoo",,,,,,BMEN,6373,501,,8,10,2,6,2,,,,,,,,,,,,,0,hjn091000,hyun joo nam
"Bleris, Leonidas",,,,,,BMEN,6374,001,,20,15,4,2,,,,,,,,,,,,,,0,lxb092000,leonidas bleris
"Yurkovich, Stephen","Ramasubramanian, Suvrat",,,,,MECH,6300,001,,6,5,1,2,5,1,,,,,,,,,,,,0,sxy111430,stephen yurkovich
"Yurkovich, Stephen","Ramasubramanian, Suvrat",,,,,EECS,6331,001,,4,1,1,8,3,1,1,,,,,,,,,,,1,sxy111430,stephen yurkovich
"Soncodi, Adrian C",,,,,,CS,2305,504,4,8,2,8,2,1,3,2,,,2,,,,,,,,0,acs151130,adrian soncodi
"Akin, Bilal","Baruti, Kudra H","Mitra, Arkadeep",,,,ENGR,2300,004,2,5,3,3,6,4,3,7,4,,,,6,,,,,,0,bxa123330,bilal akin
"Thamban, P.L.Stephan","Garimella, Martand Mayukh",,,,,MECH,2330,001,1,7,4,3,10,5,7,7,4,3,5,1,1,,,,,,0,stephan,p l stephan thamban
"Le, Khiem V",,,,,,CS,1336,007,3,8,1,6,4,9,1,4,3,,2,2,8,,,,,,1,kvl140030,khiem le
"Chida, Anjum","Zhang, Shuai","Li, Xinyi",,,,CS,3345,003,9,7,9,8,7,5,2,2,,,,,3,,,,,,1,axc157030,anjum chida
"Gupta, Neeraj K","Gour, Riti",,,,,CS,5343,002,,38,3,8,11,,,2,,,,,2,,,,,,0,nkg140130,neeraj gupta
"Desmedt, Yvo G",,,,,,CS,5333,002,,25,6,4,10,12,10,6,,,,,6,,,,,,0,ygd120030,yvo desmedt
"Whalen, Tristan G","Soliman, Marwah M",,,,,CS,3341,002,12,11,4,4,11,7,4,6,4,1,2,7,19,,,,,,4,tgw100020,tristan whalen
"Whalen, Tristan G","Soliman, Marwah M",,,,,SE,3341,002,2,1,1,1,,1,1,1,1,,1,1,5,,,,,,1,tgw100020,tristan whalen
"Ryu, III","Aragon, Nicole K",,,,,MECH,4301,501,2,10,9,7,8,7,4,2,3,,,,1,,,,,,3,ixr161130,
"Choi, Wonjae","LeClear, Johnathon D",,,,,MECH,3115,102,5,12,,,,,,,,,,,,,,,,,0,wxc111930,wonjae choi
"Hassanipour, Fatemeh","Jiang, Lin","Wang, Xiaomeng",,,,MECH,3120,103,5,10,3,,,,,,,,,,,,,,,,0,fxh091000,fatemeh hassanipour
"Park, Wooram","Lin, Jianping",,,,,MECH,3150,102,1,13,7,8,7,4,,3,1,,,,,,,,,,0,wxp103020,wooram park
"Ali, Tariq M","Kazemimoghadam, Mahdieh",,,,,BMEN,3120,103,3,5,3,3,3,,1,,,,,,,,,,,,0,tma051000,tariq ali
"Pacheco, Joe","Sanchez, Camilo A","Tai, Haowei",,,,BMEN,4110,101,3,3,4,3,,2,,2,1,,,,1,,,,,,0,jxp142030,
"Bleris, Leonidas","Quarton, Tyler G",,,,,BMEN,4310,001,,30,11,8,4,4,1,,,,,,2,,,,,,0,lxb092000,leonidas bleris
"Pourkamali, Siavash","Mahdavi, Mohammad",,,,,CE,3310,002,3,1,1,2,1,5,2,,3,,1,,,,,,,,0,sxp124631,siavash pourkamali
"Polk, Todd W","Pacheco, Joe","Upasham, Sayali S",,,,BMEN,4388,001,,5,2,1,1,1,,,,,,,,,,,,,0,twp017000,todd polk
"Polk, Todd W","Pacheco, Joe","Upasham, Sayali S",,,,BMEN,4388,002,1,3,2,3,,,1,,,,,,,,,,,,0,twp017000,todd polk
"Case, Allison B","Shimizu, Eileen N",,,,,BMEN,2320,001,4,4,2,1,2,4,2,,1,,,,3,,,,,,1,abc130530,allison case
"Rodrigues, Danieli B","Soltantabar, Pooneh",,,,,BMEN,4360,001,1,12,3,1,5,6,1,1,,2,1,1,2,,,,,,0,dxb127430,danieli b c rodrigues
"Polk, Todd W","Mishra, Aditya K",,,,,BMEN,3370,001,3,4,3,,8,2,3,1,,,,,,,,,,,0,twp017000,todd polk
"Prasad, Shalini",,,,,,BMEN,6351,001,,12,8,,1,,,,,,,,,,,,,,0,sxp118230,shalini prasad
"Winter, Patrick M","Chung, Yu-Yen","Kazemimoghadam, Mahdieh","Chakraborty, Somdutta","Honari, Arvin",,BMEN,3120,101,,5,3,1,4,1,1,,,,,,1,,,,,,0,pxw151030,patrick winter
"Winter, Patrick M","Chung, Yu-Yen","Kazemimoghadam, Mahdieh","Chakraborty, Somdutta","Honari, Arvin",,BMEN,3120,102,1,4,2,2,3,,1,,,,,1,,,,,,,0,pxw151030,patrick winter
"Young, Chadwin D","Liu, Jinbo",,,,,EE,4330,001,3,10,14,6,1,2,,,3,,,,,,,,,,0,cdy120030,chadwin young
"Swartz, William P","Broadfoot, Thomas J",,,,,EEDG,5325,501,,39,9,1,,,,,,,,,,,,,,,1,wps100020,william swartz
"Zhou, Dian","Wang, Xianan",,,,,EEDG,6306,001,,48,5,2,4,2,,,,,,,,,,,,,0,zhoud,dian zhou
"Pourkamali, Siavash","Mahdavi, Mohammad",,,,,EE,3310,002,5,3,6,3,4,1,1,6,2,,2,,,,,,,,0,sxp124631,siavash pourkamali
"Case, Allison B","Stevenson, Hunter",,,,,BMEN,2320,002,4,5,5,4,3,4,2,3,,,1,,2,,,,,,0,abc130530,allison case
"Guo, Xiaohu","Ni, Saifeng",,,,,CS,4392,001,4,4,,1,6,,1,2,3,1,,1,5,,,,,,8,xxg061000,xiaohu guo
"Li, Yaoyu","Wu, Zhongyou","Xiao, Yan",,,,MECH,4110,101,,10,,,2,1,3,,,,,,,,,,,,0,yxl115230,yaoyu li
"Li, Yaoyu","Wu, Zhongyou","Xiao, Yan",,,,MECH,4110,102,1,10,4,2,2,1,,,,,,,,,,,,,0,yxl115230,yaoyu li
"Li, Yaoyu","Wu, Zhongyou","Xiao, Yan",,,,MECH,4110,103,,15,3,3,,,,,,,,,,,,,,,0,yxl115230,yaoyu li
"Swartz, William P","Birjandtalab Golkhatm, Javad","Wang, Xianan",,,,EEDG,6302,302,,9,7,3,1,,,,,,,,,,,,,,0,wps100020,william swartz
"Liu, Cong",,,,,,EEDG,6308,001,,6,,,1,,,,,,,,,,,,,,0,cxl137330,cong liu
"Libby, Lee L",,,,,,ECS,3390,5H2,,6,4,2,4,1,1,,,,1,,,,,,,,0,llibby,lee libby
"Glauser, Janece B",,,,,,ECS,3390,0H6,,11,3,3,1,,,,,,,,,,,,,,1,jbg130030,janece glauser
"Rios, Oziel","Hamidi, Armita",,,,,MECH,3305,001,1,3,6,3,8,7,7,4,,1,1,,3,,,,,,1,oxr106020,oziel rios
"Natarajan, Sriraam","Patel, Vatsalkumar R",,,,,CS,6364,002,,16,18,20,10,,,,,,,,,,,,,,1,sxn177430,sriraam natarajan
"Minden, Alixandre R","Eslamijam, Mona",,,,,MECH,6337,001,,,2,6,4,1,,,,,,,,,,,,,0,arm130430,minden alixandre
"Saquib, Mohammad",,,,,,EE,4365,001,2,20,5,3,4,2,,,,,,,,,,,,,0,saquib,mohammad saquib
"Yen, I-Ling","Solanki, Nidhiben M",,,,,CS,6343,001,,7,8,9,6,,,,,,,,,,,,,,1,ilyen,yen i ling
"Feng, Ranran",,,,,,CS,1324,001,2,4,3,7,4,4,5,2,5,,1,1,1,,,,,,0,rxf090020,ranran feng
"Veerasamy, Jeyakesavan",,,,,,CS,1334,001,2,8,2,2,7,3,,2,2,2,,,2,,,,,,2,veerasam,jeyakesavan veerasamy
"Thamban, P.L.Stephan","Chang, Chih-Lun",,,,,MECH,2310,002,2,16,7,5,8,4,3,3,2,1,2,2,1,,,,,,2,stephan,p l stephan thamban
"Arnold, Gordon L",,,,,,CS,1334,501,9,9,10,7,4,7,5,2,4,1,1,,2,,,,,,0,gxa120930,gordon arnold
"Doore, Karen L",,,,,,CS,1134,602,24,15,6,4,4,1,,1,1,,1,,4,,,,,,0,kld054000,karen doore
"Doore, Karen L",,,,,,CS,1134,601,25,14,3,3,4,3,3,4,,,,,1,,,,,,3,kld054000,karen doore
"Desmedt, Yvo G",,,,,,CS,6377,001,,3,4,1,,1,2,1,,,,,1,,,,,,0,ygd120030,yvo desmedt
