Subject,Catalog Number,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,CR,NC,I,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized
ACCT,2301,001,12,4,7,4,3,7,3,1,1,,1,,6,,,,,4,"Holstead, Cameron",,,,,,,cameron holstead
ACCT,2301,002,13,9,6,5,6,4,1,7,2,,2,2,4,,,,,3,"He, Jiapeng",,,,,,jxh176930,jiapeng he
ACCT,2301,003,9,7,,8,6,7,2,12,,1,2,,4,,,,,7,"Song, Dongye",,,,,,dxs153330,dongye song
ACCT,2301,004,,18,,2,3,6,9,6,,2,2,,5,,,,,12,"Nathan, Brad",,,,,,,brad nathan
ACCT,2301,005,13,8,3,5,1,8,11,4,4,6,2,,3,,,,,1,"Files, Rebecca L","Medina, Monica E",,,,,rlf092000,rebecca files
ACCT,2301,006,6,5,5,8,4,3,9,5,3,4,2,3,2,,,,,6,"Files, Rebecca L","Medina, Monica E",,,,,rlf092000,rebecca files
ACCT,2301,007,1,2,2,10,15,12,7,2,2,1,1,,5,,,,,2,"Butcher, Ammon",,,,,,,ammon butcher
ACCT,2301,009,6,7,6,13,10,1,8,3,3,1,,,4,,,,,3,"Zhou, Yibin","Manoj Vasudha Shivaani, Fnu",,,,,yxz066000,yibin zhou
ACCT,2301,010,2,9,8,6,16,10,5,5,,,,1,,,,,,3,"Huang, Ying","Zhang, Yang",,,,,yxh124430,ying huang
ACCT,2301,011,3,5,4,7,12,10,4,5,2,,1,1,1,,,,,5,"Huang, Ying","Zhang, Yang",,,,,yxh124430,ying huang
ACCT,2301,501,,3,10,7,18,6,5,3,3,2,2,,3,,,,,3,"Huang, Ying","Zhang, Yang",,,,,yxh124430,ying huang
ACCT,2301,HON,15,9,11,8,1,4,5,4,1,2,,,2,,,,,1,"Files, Rebecca L","Medina, Monica E",,,,,rlf092000,rebecca files
ACCT,2302,001,4,4,2,2,12,7,7,6,3,,6,,5,,,,,6,"Zolton, Kathy","Fang, Shelley M",,,,,kxz121730,kathy zolton
ACCT,2302,002,4,12,2,4,12,6,2,10,,1,5,,1,,,,,5,"Zolton, Kathy","Fang, Shelley M",,,,,kxz121730,kathy zolton
ACCT,2302,003,11,7,4,8,9,3,6,2,4,1,2,1,3,,,,,4,"Copat, Rafael","Clemens, Austin J",,,,,rxc190027,rafael copat
ACCT,2302,004,10,10,3,3,11,4,5,4,1,2,1,,6,,,,,5,"Copat, Rafael","Clemens, Austin J",,,,,rxc190027,rafael copat
ACCT,2302,005,12,9,2,6,9,8,5,3,3,2,,1,,,,,,5,"Copat, Rafael","Clemens, Austin J",,,,,rxc190027,rafael copat
ACCT,2302,501,,8,,3,9,2,4,10,2,,2,,3,,,,,1,"Dai, Zhonglan","Zhang, Yang",,,,,zxd051000,zhonglan dai
ACCT,3322,001,6,18,,6,8,,1,3,,,,,1,,,,,2,"Goodrich, Mary Beth W","Udolisa, Odera R",,,,,goodrich,mary beth goodrich
ACCT,3331,001,,16,,,15,,,15,2,,2,,5,,,,,5,"Zhang, Yuan","Chen, Hangu",,,,,yxz122931,yuan zhang
ACCT,3331,002,,16,,,12,,,16,2,,4,,6,,,,,4,"Zhang, Yuan","Chen, Hangu",,,,,yxz122931,yuan zhang
ACCT,3331,003,6,2,,1,2,6,1,9,1,,,1,3,,,,,3,"Zhou, Yibin","Manoj Vasudha Shivaani, Fnu",,,,,yxz066000,yibin zhou
ACCT,3331,501,,7,,,8,,3,5,3,,2,,7,,,,,2,"Zhang, Yuan","Chen, Hangu",,,,,yxz122931,yuan zhang
ACCT,3332,001,1,8,1,4,8,1,3,9,2,2,9,6,1,,,,,12,"Bortz, Tiffany A","Tosto, Juliet J","Stone, Bailey K",,,,tabortz,tiffany bortz
ACCT,3332,501,2,4,2,4,2,1,4,4,,,6,4,1,,,,,8,"Bortz, Tiffany A","Tosto, Juliet J","Stone, Bailey K",,,,tabortz,tiffany bortz
ACCT,3332,PPA,8,14,3,2,14,7,6,7,1,2,10,1,1,,,,,0,"Bortz, Tiffany A","Stone, Bailey K",,,,,tabortz,tiffany bortz
ACCT,3341,001,5,4,7,6,5,2,4,1,,,,,5,,,,,3,"Natarajan, Ramachandran","Deininger, Sarah A",,,,,nataraj,ramachandran natarajan
ACCT,3341,002,4,7,3,3,4,1,1,1,3,,,,4,,,,,6,"Goodrich, Mary Beth W","Udolisa, Odera R",,,,,goodrich,mary beth goodrich
ACCT,3341,501,1,3,2,3,3,3,3,6,4,,,1,3,,,,,4,"Goodrich, Mary Beth W","Udolisa, Odera R",,,,,goodrich,mary beth goodrich
ACCT,3350,001,1,10,7,12,16,7,1,1,,,1,,3,,,,,0,"Solcher, Steven J","Figueroa, Diego A",,,,,sjs107020,steven solcher
ACCT,3350,002,1,7,10,10,18,2,1,1,,,,,3,,,,,0,"Solcher, Steven J","Figueroa, Diego A",,,,,sjs107020,steven solcher
ACCT,4301,501,,2,3,1,1,2,1,3,1,1,,1,2,,,,,1,"Hagen, John C","Sharma, Nitika",,,,,jch013200,john hagen
ACCT,4302,PP1,,9,13,7,3,1,,,,,,,,,,,,0,"Markov, Stanimir","Gu, Dongdi",,,,,sxm079200,stanimir markov
ACCT,4302,PP2,3,18,5,6,3,3,1,,,,,,,,,,,0,"Markov, Stanimir","Gu, Dongdi",,,,,sxm079200,stanimir markov
ACCT,4334,001,,14,,,20,,,8,,,2,,1,,,,,4,"Linsteadt, Chris C",,,,,,ccl019000,chris linsteadt
ACCT,4334,501,,5,,,6,,,2,,,1,,,,,,,0,"Linsteadt, Chris C",,,,,,ccl019000,chris linsteadt
ACCT,4334,PPA,,24,,,36,,,12,,,2,,2,,,,,0,"Linsteadt, Chris C",,,,,,ccl019000,chris linsteadt
ACCT,4336,001,2,5,3,3,2,3,1,3,,,,,,,,,,1,"Bowen, Richard M","Udolisa, Odera R",,,,,rxb073100,richard bowen
ACCT,4337,501,,1,3,2,,3,1,8,1,,,,1,,,,,0,"Ballew, Gregory E","Stone, Bailey K",,,,,geb011100,gregory ballew
ACCT,4340,001,13,10,5,3,4,3,2,1,1,1,,1,2,,,,,1,"Johnson, Jennifer","Clemens, Austin J",,,,,jxj091000,jennifer johnson
ACCT,4342,001,4,9,4,11,7,2,6,1,4,4,,1,1,,,,,3,"Johnson, Jennifer","Deininger, Sarah A",,,,,jxj091000,jennifer johnson
ACCT,4342,501,1,2,5,4,5,,2,1,1,1,1,,1,,,,,0,"Johnson, Jennifer","Deininger, Sarah A",,,,,jxj091000,jennifer johnson
ACCT,6193,SW1,,3,,5,5,,,1,,,,,,,,,,0,"Solcher, Steven J",,,,,,sjs107020,steven solcher
ACCT,6202,0W1,,14,14,10,13,6,1,,,,,,1,,,,,1,"Janakiraman, Surya","Liu, Ruichao",,,,,suryaj,surya janakiraman
ACCT,6202,CH1,,13,5,3,2,1,,1,,,,,1,,,,,0,"Sadka, Gil",,,,,,gxs143630,gil sadka
ACCT,6202,GW1,,10,8,4,,,1,,,,,,,,,,,0,"Sadka, Gil",,,,,,gxs143630,gil sadka
ACCT,6291,SW1,,3,,,8,,,3,,,,,1,,,,,0,"Zolton, Kathy",,,,,,kxz121730,kathy zolton
ACCT,6301,0W1,,21,11,5,9,8,2,1,,,,,1,,,,,2,"Ali, Ashiq","Liu, Ruichao",,,,,axa042200,ashiq ali
ACCT,6301,501,,4,19,16,13,2,4,2,,,,,1,,,,,8,"Ballew, Gregory E","Stone, Bailey K",,,,,geb011100,gregory ballew
ACCT,6301,GW1,,32,,,1,,,,,,,,2,,,,,0,"Barden, John P",,,,,,jpb063000,john barden
ACCT,6301,GW2,,12,,,1,,,,,,,,,,,,,0,"Barden, John P",,,,,,jpb063000,john barden
ACCT,6301,MBC,,24,19,7,3,1,,,,,,,,,,,,0,"Radhakrishnan, Suresh","Manoj Vasudha Shivaani, Fnu",,,,,sradhakr,suresh radhakrishnan
ACCT,6301,MBP,,15,11,4,2,1,,2,,,,,,,,,,0,"Radhakrishnan, Suresh","Manoj Vasudha Shivaani, Fnu",,,,,sradhakr,suresh radhakrishnan
ACCT,6301,PS1,,5,1,2,1,,,,,,,,,,,,,1,"Solcher, Steven J",,,,,,sjs107020,steven solcher
ACCT,6301,XS1,,5,7,5,2,,,,,,,,,,,,,1,"Ali, Ashiq","Holstead, Cameron",,,,,axa042200,ashiq ali
ACCT,6305,001,,17,9,20,5,7,4,1,,,,,1,,,,,1,"Li, Ningzhong","Ai, Lanru",,,,,nxl124130,ningzhong li
ACCT,6305,501,,10,6,13,3,4,2,1,,,,,,,,,,1,"Li, Ningzhong","Ai, Lanru",,,,,nxl124130,ningzhong li
ACCT,6305,502,,7,2,7,1,2,2,,,,,,,,,,,0,"Li, Ningzhong","Ai, Lanru",,,,,nxl124130,ningzhong li
ACCT,6313,001,,5,6,5,,,,,,,,,,,,,,0,"Lahiri, Atanu","Iyawe, Idahosa N",,,,,axl144730,atanu lahiri
ACCT,6313,501,,5,2,3,,,,,,,,,,,,,,0,"Lahiri, Atanu","Iyawe, Idahosa N",,,,,axl144730,atanu lahiri
