Subject,Catalog Number,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W Total,CR,I,NC,P,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized
MATH,2413,310,,,,,,,,,,,,,,0,,,,,"Martynova, Irina",,,,,,ixm140930,irina martynova
MATH,2414,320,,,,,,,,,,,,,,0,,,,,"Nguyen, Mylinh T",,,,,,mln018200,mylinh nguyen
MATH,2414,801,,,,,,,,,,,,,,0,,,,,"Lewis, David L","Helal, Md Abu",,,,,dlewis,david lewis
MATH,2414,319,,,,,,,,,,,,,,0,,,,,"Nguyen, Mylinh T",,,,,,mln018200,mylinh nguyen
MATH,2413,309,,,,,,,,,,,,,,0,,,,,"Martynova, Irina",,,,,,ixm140930,irina martynova
MATH,2413,302,,,,,,,,,,,,,,0,,,,,"Martynova, Irina",,,,,,ixm140930,irina martynova
MATH,2413,311,,,,,,,,,,,,,,0,,,,,"Martynova, Irina",,,,,,ixm140930,irina martynova
MATH,2414,313,,,,,,,,,,,,,,0,,,,,"Garrett, Bentley T",,,,,,btg032000,bentley garrett
MATH,2414,339,,,,,,,,,,,,,,0,,,,,"Westbury, Bruce W",,,,,,,bruce westbury
MATH,2413,307,,,,,,,,,,,,,,0,,,,,"Cao, Yan",,,,,,yxc069200,yan cao
MATH,2417,305,,,,,,,,,,,,,,0,,,,,"Makarenkov, Oleg",,,,,,oxm130230,oleg makarenkov
MATH,2413,313,,,,,,,,,,,,,,0,,,,,"Choi, Sl-ghi",,,,,,sxc173731,sl ghi choi
MATH,2413,314,,,,,,,,,,,,,,0,,,,,"Choi, Sl-ghi",,,,,,sxc173731,sl ghi choi
MATH,2414,802,,,,,,,,,,,,,,0,,,,,"Garrett, Bentley T",,,,,,btg032000,bentley garrett
MATH,2414,333,,,,,,,,,,,,,,0,,,,,"Rice, David",,,,,,dxr143630,david rice
MATH,2414,322,,,,,,,,,,,,,,0,,,,,"Alvarado, Iris",,,,,,ila180000,iris alvarado
MATH,2413,304,,,,,,,,,,,,,,0,,,,,"Ding, Hui",,,,,,hxd162130,hui ding
MATH,2417,303,,,,,,,,,,,,,,0,,,,,"Ahsan, Mohammad K",,,,,,mka120030,mohammad ahsan
MATH,2414,336,,,,,,,,,,,,,,0,,,,,"Rice, David",,,,,,dxr143630,david rice
MATH,2414,310,,,,,,,,,,,,,,0,,,,,"Garrett, Bentley T","Cao, Cong",,,,,btg032000,bentley garrett
MATH,2413,312,,,,,,,,,,,,,,0,,,,,"Martynova, Irina",,,,,,ixm140930,irina martynova
MATH,2413,322,,,,,,,,,,,,,,0,,,,,"Ding, Hui",,,,,,hxd162130,hui ding
MATH,2417,311,,,,,,,,,,,,,,0,,,,,"Ahsan, Mohammad K",,,,,,mka120030,mohammad ahsan
UNIV,2V96,001,,,,,,,,,,,,,,0,18,,1,,"Jackson, D'ric A",,,,,,,dric jackson
MATH,2414,325,,,,,,,,,,,,,,0,,,,,"Alvarado, Iris",,,,,,ila180000,iris alvarado
MATH,2413,305,,,,,,,,,,,,,,0,,,,,"Cao, Yan",,,,,,yxc069200,yan cao
MATH,2420,306,,,,,,,,,,,,,,0,,,,,"Krawcewicz, Wieslaw Z",,,,,,wzk091000,wieslaw krawcewicz
HUHI,6334,001,,14,1,,,,,,,,,,,0,,4,,,"Roemer, Nils H",,,,,,nhr061000,nils roemer
RHET,1302,027,,2,1,,2,2,,1,,3,,,4,3,,,,,"Sinckler, Robin",,,,,,rxs150131,robin sinckler
ATCM,4365,001,,3,2,4,6,1,,,,,,,,3,,,,,"Lewis, Timothy M",,,,,,tml062000,timothy lewis
ACN,6312,001,,4,2,1,1,2,1,4,,,,,1,3,,,,,"Juhn, Nancy H","Pongpipat, Ekarin E",,,,,njuhn,nancy juhn
SOC,2300,001,,3,1,4,2,2,1,1,1,,,,1,3,,,,,"Werhnyak, Larissa",,,,,,lxw163630,larissa werhnyak
ECS,3390,003,,2,6,6,2,,1,,,,,,,2,,,,,"Ryan, Christopher J",,,,,,cxr088000,christopher ryan
ECS,3390,0H2,1,2,3,2,2,1,3,,,,1,,2,2,,,,,"King, Carie S",,,,,,cxl085200,carie king
RHET,1302,502,,2,1,1,6,6,,,,,,,1,2,,,,,"Manes, Christopher L",,,,,,clm036000,christopher manes
ARTS,2350,002,,,10,6,1,,,,,,,,,2,,,,,"Palmer, Marcy A",,,,,,mxp070100,marcy palmer
THEA,3372,001,,14,,1,,,,1,1,,,,,2,,,,,"Lingo, Kathy A",,,,,,klingo,kathy lingo
LIT,4329,002,,14,2,1,,,,,,,,,,1,,,,,"Towner, Theresa",,,,,,tmtowner,theresa towner
ARTS,3372,001,1,6,4,1,1,,,1,,,,1,2,2,,,,,"Durant, Stephanie D",,,,,,ddm043000,stephanie durant
ARTS,1301,HN1,7,7,1,,2,,,,,,,,,2,,,,,"Waligore, Marilyn A",,,,,,waligore,marilyn waligore
ATCM,3310,001,3,7,1,1,,,1,1,1,1,,,1,2,,,,,"Kitagawa, Midori",,,,,,mxk047100,midori kitagawa
SPAN,2311,002,1,7,7,,,1,,,,,,,1,2,,,,,"Malouf, Maria",,,,,,mxm180084,maria malouf
CRWT,3307,001,4,11,1,,1,,,,,,,,,2,,,,,"Martinez, Manuel L",,,,,,mlm160630,manuel martinez
RHET,1302,012,,3,5,2,1,1,,1,1,,,,3,0,,2,,,"Balasa, Alexandra",,,,,,axb177630,alexandra balasa
EE,3102,102,3,5,1,4,2,1,,1,,,,,1,1,,,,,"Webb, Jennifer H","Shankar, Nikhil","Azarang, Arian",,,,jhw170130,jennifer webb
RHET,1302,0H2,,6,2,1,5,,,,1,,,1,2,1,,,,,"Hamilton, Cristen",,,,,,cch073000,cristen hamilton
ED,4351,501,9,6,3,,,,,,,,,,,0,,1,,,"Davis, Renee",,,,,,rrd160530,renee davis
ECS,3390,016,,13,,3,1,,,,,,,,1,1,,,,,"Glauser, Janece B",,,,,,jbg130030,janece glauser
RHET,1302,504,,14,1,2,,,1,,,,,,,0,,,,,"Kirk, Kristina E",,,,,,kek160430,kristina kirk
ECS,3390,5H2,,3,3,2,1,3,3,,1,1,1,,,1,,,,,"Libby, Lee L",,,,,,llibby,lee libby
ECS,3390,005,,,4,3,3,5,1,1,,,,,1,0,,,,,"Crowder, Wade A",,,,,,wac010100,wade crowder
ECS,3390,5H5,,10,1,,4,1,,2,,,,,,1,,,,,"Scally, Deborah A",,,,,,das,deborah scally
ECS,3390,0H9,,11,4,2,1,,,,,,,,,1,,,,,"Hernandez-Katz, Melissa M",,,,,,mhkatz,melissa hernandez katz
CS,4141,107,14,2,1,1,,,,,,,,,,1,,,,,"Becker, Eric W","Shah, Trusit Sandipbhai","Adebiyi, Abdulmateen A",,,,ewb160130,eric becker
RHET,1302,033,,13,,2,1,,,,,,,,2,0,,,,,"Kirk, Kristina E",,,,,,kek160430,kristina kirk
BUAN,6346,502,,7,3,5,2,1,,,,,,,,1,,,,,"Smashnov, Uri","Tripathi, Aarohi",,,,,uxs051000,uri smashnov
ECS,3390,0H5,4,2,4,2,2,1,1,,1,1,,,,1,,,,,"Schlobohm, Maribeth L",,,,,,mls077000,maribeth schlobohm
RHET,1302,001,2,2,4,2,1,2,2,1,1,,,,1,1,,,,,"Ocasio-Russe, Lizbette",,,,,,lxo160130,lizbette ocasio russe
RHET,1302,031,2,4,3,1,1,3,,,1,1,,,2,0,,,,,"Shierry, Addison",,,,,,axs084500,addison shierry
ATCM,3369,002,,18,,,,,,,,,,,,1,,,,,"Andreen, Michael T",,,,,,mta072000,michael andreen
THEA,4301,501,3,9,,2,2,,,,2,,,,,1,,,,,"Curchack, Fred",,,,,,curchack,fred curchack
MECH,6324,001,,5,1,4,1,,2,3,,,,,2,1,,,,,"Gregg, Robert D","Jafarzadeh, Mohsen",,,,,rdg130030,robert gregg
RHET,1302,003,4,2,5,3,1,,,,1,,,,2,1,,,,,"Field, Amanda C",,,,,,axl151930,amanda field
RHET,1302,004,,6,9,,,,1,,,,,,2,0,,,,,"Ma, Ying",,,,,,yxm171930,ying ma
RHET,1302,017,,8,3,3,3,,,1,,,,,,0,,1,,,"King, Alana",,,,,,axk173530,alana king
RHET,1302,032,,8,5,1,3,,,1,,,,,,1,,,,,"Johnson, Kevin W",,,,,,kwj170030,kevin johnson
RHET,1302,505,,,,1,2,2,1,3,,,,,9,1,,,,,"Jimenez, Jose",,,,,,,jose jimenez
AMS,3302,001,,3,4,5,3,,1,1,,,,,1,0,1,,,,"Werhnyak, Larissa",,,,,,lxw163630,larissa werhnyak
BPS,4305,502,,,2,4,3,5,2,1,1,,,,,1,,,,,"Levine, Sheen S","Liao, Xin",,,,,ssl140530,sheen levine
MUSI,2317,003,4,10,,,3,,,1,,,,,,1,,,,,"Parsoneault, Catherine",,,,,,cxp160030,catherine parsoneault
RHET,1302,037,4,,4,2,2,2,,1,,,,,3,1,,,,,"Derdeyn, LeeAnn",,,,,,lxd091000,leeann derdeyn
RHET,1302,023,2,5,2,2,2,2,1,,1,,,,1,1,,,,,"Bovda, Alisa Y",,,,,,ayb091020,alisa bovda
RHET,1302,018,2,5,,2,3,,4,,2,,,,,1,,,,,"King, Alana",,,,,,axk173530,alana king
ATCM,4397,007,,18,,,,,,,,,,,,1,,,,,"Andreen, Michael T",,,,,,mta072000,michael andreen
RHET,1302,025,6,7,2,,,,,2,1,,,,,0,,1,,,"Barber, Philip",,,,,,,philip barber
MIS,6346,001,,5,2,6,2,2,1,,,,,,,0,,,,,"Bradbury, Judd D","Kulkarni, Aniket S","Muntha, Sainath",,,,jdb101000,judd bradbury
ECS,3390,012,,11,1,2,1,,,1,,1,,,1,1,,,,,"Glauser, Janece B",,,,,,jbg130030,janece glauser
SYSM,6302,SS1,,11,5,,2,,,,,,,,,1,,,,,"Spong, Mark W",,,,,,mws081000,mark spong
ATCM,4376,001,,4,13,,,,,1,,,,,,1,,,,,"Chandler, Adam W",,,,,,awc051000,adam chandler
RHET,1302,0H6,,7,4,,4,1,,,,1,,,1,1,,,,,"Hamilton, Cristen",,,,,,cch073000,cristen hamilton
ED,4352,001,,7,2,1,4,,,1,1,,,1,1,1,,,,,"McNulty, Angela B",,,,,,mcnulty,angela mcnulty
COMM,1311,0W7,8,4,2,3,,,,,1,,,,,0,,,,,"Gregory, Mona Y",,,,,,myg140030,mona gregory
HMGT,4380,001,,5,5,2,3,,2,1,,,,,,1,,,,,"Berrett, Britt R","Kaplan, Marilyn R","Janakiraman, Sreenath",,,,brb051000,britt berrett
RHET,1302,503,,11,6,1,,,,,,,,,1,0,,,,,"Johnson, Kevin W",,,,,,kwj170030,kevin johnson
ECS,3390,011,,11,3,2,2,,,,1,,,,,0,,,,,"Mohsene, Laura L",,,,,,olive,laura mohsene
CS,6390,001,,4,3,2,5,5,,,,,,,,0,,,,,"Haas, Zygmunt J",,,,,,zjh130030,zygmunt haas
ARTS,3367,001,,8,,1,10,,,,,,,,,0,,,,,"Lacy, Mary E",,,,,,mel024000,mary lacy
ED,4361,501,,13,4,,1,1,,,,,,,,0,,,,,"Pollock, Laurie L",,,,,,lly062000,laurie pollock
EE,3150,102,,2,5,3,2,3,1,1,,,,,2,0,,,,,"Ahmed, Shaheen","Apalak, Merve",,,,,sxa176730,shaheen ahmed
ARTS,3340,001,4,15,,,,,,,,,,,,0,,,,,"Brown-Pearn, Spencer S",,,,,,ssb062000,spencer brown pearn
ECS,3390,001,1,5,1,4,3,3,,,1,1,,,,0,,,,,"Moore, Lindsay E",,,,,,lem150330,lindsay moore
ATCM,4316,001,,19,,,,,,,,,,,,0,,,,,"Hall, Phillip",,,,,,pxh151330,phillip hall
ECS,3390,013,,12,,2,1,1,2,1,,,,,,0,,,,,"Glauser, Janece B",,,,,,jbg130030,janece glauser
RHET,1302,016,1,6,2,2,1,1,,,1,,1,,4,0,,,,,"Wright, Adam M",,,,,,amw140430,adam wright
EEPE,6357,001,,5,11,3,,,,,,,,,,0,,,,,"Gohil, Ghanshyamsinh","Gandluru, Veerabharathchandrareddy",,,,,gxg172530,ghanshyamsinh gohil
SPAU,4393,001,,6,,2,4,1,5,1,,,,,,0,,,,,"Ulatowska, Hanna K",,,,,,hanna,hanna ulatowska
RHET,1302,021,,5,7,7,,,,,,,,,,0,,,,,"Aljararwa, Rasha",,,,,,rxa150230,rasha aljararwa
ECS,3390,5H6,,14,,,2,,,,,,1,1,1,0,,,,,"Scally, Deborah A",,,,,,das,deborah scally
MUSI,2315,002,14,1,1,,,,,,,,,,3,0,,,,,"Wilder, James E",,,,,,jew042000,james wilder
RHET,1302,015,1,9,4,3,1,,1,,,,,,,0,,,,,"Berry, Tracey R",,,,,,txb112130,tracey berry
OB,6340,GW1,,4,3,5,7,,,,,,,,,0,,,,,"Solomon, Lawrence N",,,,,,,lawrence solomon
RHET,1302,008,,5,4,3,,1,1,1,,,,,4,0,,,,,"Snyder, Sarah E",,,,,,sxs162031,sarah snyder
CS,4141,108,12,4,,2,,,,,,,,,1,0,,,,,"Becker, Eric W","Adebiyi, Abdulmateen A","Shah, Trusit Sandipbhai",,,,ewb160130,eric becker
MECH,6373,001,,3,5,6,3,1,,1,,,,,,0,,,,,"You, Seung M",,,,,,smy130030,seung you
RHET,1302,028,9,4,1,,,1,1,,,,,,3,0,,,,,"Barber, Philip",,,,,,,philip barber
ECS,3390,502,,14,4,,1,,,,,,,,,0,,,,,"Coppersmith, Syd",,,,,,sxc123831,syd coppersmith
ARTS,3363,001,1,3,9,,1,1,,2,,,,,2,0,,,,,"Tady, Lorraine T",,,,,,ltt042000,lorraine tady
MECH,6314,001,,9,9,1,,,,,,,,,,0,,,,,"Kapoor, Bhanu",,,,,,bxk101000,bhanu kapoor
CS,4141,102,12,7,,,,,,,,,,,,0,,,,,"Becker, Eric W","Shah, Trusit Sandipbhai","Adebiyi, Abdulmateen A",,,,ewb160130,eric becker
RHET,1302,034,1,6,3,1,2,2,1,,,,,,3,0,,,,,"Lyons, David L",,,,,,dll101020,david lyons
ECS,3390,5H3,,11,2,,4,,,1,,,,,1,0,,,,,"Scally, Deborah A",,,,,,das,deborah scally
EE,3150,101,2,,1,3,4,1,5,,,1,1,1,,0,,,,,"Ahmed, Shaheen","Apalak, Merve",,,,,sxa176730,shaheen ahmed
BMEN,6342,001,,19,,,,,,,,,,,,0,,,,,"Rodrigues, Danieli B",,,,,,dxb127430,danieli rodrigues
ECS,3390,002,2,5,,4,2,3,1,1,,,1,,,0,,,,,"Moore, Lindsay E",,,,,,lem150330,lindsay moore
ECS,3390,HN1,1,14,3,1,,,,,,,,,,0,,,,,"Ryan, Christopher J",,,,,,cxr088000,christopher ryan
MUSI,2317,002,1,15,,1,1,,,,,,,,1,0,,,,,"Medrick, Mary A",,,,,,mam017200,mary medrick
ECS,3390,5H7,,5,6,2,2,,1,,1,1,,,1,0,,,,,"Coleman, Amanda R",,,,,,axc173630,amanda coleman
CS,4141,601,16,3,,,,,,,,,,,,0,,,,,"Becker, Eric W","Shah, Trusit Sandipbhai","Adebiyi, Abdulmateen A",,,,ewb160130,eric becker
RHET,1302,036,,,3,,2,1,3,,1,1,1,,7,0,,,,,"Jimenez, Jose",,,,,,,jose jimenez
CRIM,4323,0H1,,16,,,1,,,1,,,,,1,0,,,,,"Wheeler, Andrew",,,,,,axw161530,andrew wheeler
ECS,3390,004,3,8,2,5,,,,,,,,,1,0,,,,,"Moore, Lindsay E",,,,,,lem150330,lindsay moore
BIOL,6351,001,,5,1,2,10,,,1,,,,,,0,,,,,"Burr, John G",,,,,,burr,john burr
ARTS,3372,501,,5,10,1,1,,,,,,,,2,0,,,,,"Loving, Emily",,,,,,exl097120,emily loving
ECS,3390,0H1,1,8,3,2,1,1,1,2,,,,,,0,,,,,"Schlobohm, Maribeth L",,,,,,mls077000,maribeth schlobohm
MECH,6300,002,,3,9,1,1,3,,,,,,,2,0,,,,,"Moheimani, Seyed Omid Reza","Bing, Mallory A",,,,,sxm154130,seyed omid reza moheimani
RHET,1302,005,5,5,2,1,1,,,2,,,,2,1,0,,,,,"Saeidfar, Ghazal",,,,,,gxs153630,ghazal saeidfar
ARTS,1316,001,9,8,1,,1,,,,,,,,,0,,,,,"Min, Inki A",,,,,,iam140230,inki min
ECS,3390,006,,3,9,1,5,1,,,,,,,,0,,,,,"Ryan, Christopher J",,,,,,cxr088000,christopher ryan
MUSI,2315,501,,12,4,2,,1,,,,,,,,0,,,,,"Hodan, Daniel M",,,,,,dmh017000,daniel hodan
ENTP,6352,GW1,,12,7,,,,,,,,,,,0,,,,,"Ghosh, Jay K",,,,,,,jay ghosh
ECS,3390,504,4,7,4,,2,,,,,,1,,1,0,,,,,"Nichols, Allene R",,,,,,allenen,allene nichols
RHET,1302,011,,12,1,3,1,,1,,,,,,1,0,,,,,"Snyder, Sarah E",,,,,,sxs162031,sarah snyder
RHET,1302,035,3,11,2,1,,,,,,,,,2,0,,,,,"Sengupta, Karl",,,,,,kss140330,karl sengupta
BMEN,3130,103,,7,6,4,2,,,,,,,,,0,,,,,"Shihabeddin, Tarik","Atmaramani, Rahul",,,,,tzs170130,tarik shihabeddin
RHET,1302,014,4,2,2,4,3,1,,,,,,1,2,0,,,,,"Wright, Adam M",,,,,,amw140430,adam wright
ED,3382,501,3,6,6,3,,,,,,,,,1,0,,,,,"Schlosser, Polly",,,,,,pxs091000,polly schlosser
ECS,3390,0H6,,9,5,3,,,1,1,,,,,,0,,,,,"Hernandez-Katz, Melissa M",,,,,,mhkatz,melissa hernandez katz
ARTS,1316,003,6,4,2,2,,3,,,1,,,,1,0,,,,,"Booker, Rebecca M",,,,,,pdb041000,rebecca booker
ARTS,1316,004,,6,8,3,2,,,,,,,,,0,,,,,"Mazurek, Michael R",,,,,,mrm141130,michael mazurek
ATCM,4319,003,5,3,3,2,1,1,1,,,,2,1,,0,,,,,"Camacho, Christopher J",,,,,,cjc043000,christopher camacho
BMEN,6V87,002,,19,,,,,,,,,,,,0,,,,,"Porter, Benjamin A",,,,,,bap061000,benjamin porter
IMS,6V93,0S1,,19,,,,,,,,,,,,0,,,,,"Hefley, William E",,,,,,weh150130,william hefley
ECS,3390,5H1,,3,3,1,5,2,1,2,1,,,,1,0,,,,,"Libby, Lee L",,,,,,llibby,lee libby
BIOL,3320,001,6,1,2,2,3,4,,,,1,,,,0,,,,,"Hajeri, Vinita","Gallardo, Johnny","Dozier, Preston D",,,,vxh151030,vinita hajeri
ECS,3390,015,,13,3,1,,1,,,,,,,1,0,,,,,"Glauser, Janece B",,,,,,jbg130030,janece glauser
ECS,3390,007,,6,6,4,,2,,,,,,,1,0,,,,,"Moore, Lindsay E",,,,,,lem150330,lindsay moore
ECS,3390,505,,7,3,2,1,1,2,2,,,,1,,0,,,,,"Nichols, Allene R",,,,,,allenen,allene nichols
ECS,3390,010,,11,4,3,,1,,,,,,,,0,,,,,"Mohsene, Laura L",,,,,,olive,laura mohsene
RHET,1302,022,,10,6,1,,,,,,,,,2,0,,,,,"Aljararwa, Rasha",,,,,,rxa150230,rasha aljararwa
MUSI,2315,001,1,9,5,,,2,,,2,,,,,0,,,,,"Hodan, Daniel M",,,,,,dmh017000,daniel hodan
ECS,3390,008,,3,5,4,1,3,1,2,,,,,,0,,,,,"Crowder, Wade A",,,,,,wac010100,wade crowder
PHYS,5313,001,,9,6,4,,,,,,,,,,0,,,,,"Zhang, Fan","Cheung, Patrick K",,,,,fxz140930,fan zhang
EE,3101,101,,3,7,1,4,2,1,,,,,1,,0,,,,,"Gu, Qing","Li, Xi",,,,,qxg160030,qing gu
OPRE,6359,501,,7,5,5,2,,,,,,,,,0,,,,,"Brussolo, Monica E","Qu, Zihao",,,,,meb049000,monica brussolo
ECS,3390,0H8,,11,4,2,,,,1,1,,,,,0,,,,,"Hernandez-Katz, Melissa M",,,,,,mhkatz,melissa hernandez katz
ARTS,3341,001,,16,,,3,,,,,,,,,0,,,,,"Shi, Carle",,,,,,cxs174230,carle shi
OPRE,6250,GW1,,3,8,4,3,,,1,,,,,,0,,,,,"Hassanzadeh, Nozar",,,,,,nozarh,nozar hassanzadeh
ATCM,3369,001,,17,,,,,,1,,,1,,,0,,,,,"Andreen, Michael T",,,,,,mta072000,michael andreen
RHET,1302,006,2,6,1,2,3,1,,1,1,,1,,1,0,,,,,"Johnson, Ryan L",,,,,,rlj160230,ryan johnson
RHET,1302,026,1,6,2,1,3,1,2,1,1,,,1,,0,,,,,"Bovda, Alisa Y",,,,,,ayb091020,alisa bovda
BLAW,4310,HON,,11,1,1,3,1,2,,,,,,,0,,,,,"Polze, Matthew M",,,,,,mmp062000,matthew polze
RHET,1302,009,1,6,3,1,3,2,,1,2,,,,,0,,,,,"Johnson, Ryan L",,,,,,rlj160230,ryan johnson
ECS,3390,503,,15,3,,1,,,,,,,,,0,,,,,"Coppersmith, Syd",,,,,,sxc123831,syd coppersmith
MATH,1306,002,2,2,5,,2,1,3,2,1,1,,,,0,,,,,"Sutton, Julie",,,,,,jxs158030,julie sutton
ECS,3390,501,,7,5,2,1,1,,,1,1,,,1,0,,,,,"Mohsene, Laura L",,,,,,olive,laura mohsene
ARTS,3367,501,13,5,1,,,,,,,,,,,0,,,,,"Miranda, Jeffrey",,,,,,jxm069000,jeffrey miranda
COMD,7172,001,,,,,,,,,,,,,,0,,,,20,"Lougeay, Janice",,,,,,lougeay,janice lougeay
MATH,2414,328,,,,,,,,,,,,,,0,,,,,"Anderson, Bill",,,,,,,bill anderson
MATH,2414,317,,,,,,,,,,,,,,0,,,,,"Sauter, Alan D","Sapkota, Nirjal",,,,,ads014500,alan sauter
MATH,2414,311,,,,,,,,,,,,,,0,,,,,"Garrett, Bentley T",,,,,,btg032000,bentley garrett
MATH,2414,312,,,,,,,,,,,,,,0,,,,,"Garrett, Bentley T",,,,,,btg032000,bentley garrett
MATH,2420,310,,,,,,,,,,,,,,0,,,,,"Rachinskiy, Dmitry",,,,,,dxr124030,dmitry rachinskiy
MATH,2414,327,,,,,,,,,,,,,,0,,,,,"Anderson, Bill",,,,,,,bill anderson
MATH,2414,307,,,,,,,,,,,,,,0,,,,,"Duruoha, Adannah",,,,,,axd180037,adannah duruoha
MATH,2414,301,,,,,,,,,,,,,,0,,,,,"Lewis, David L","Alfaro, Jose F",,,,,dlewis,david lewis
MATH,2414,318,,,,,,,,,,,,,,0,,,,,"Nguyen, Mylinh T",,,,,,mln018200,mylinh nguyen
MATH,2414,321,,,,,,,,,,,,,,0,,,,,"Nguyen, Mylinh T",,,,,,mln018200,mylinh nguyen
MATH,2414,308,,,,,,,,,,,,,,0,,,,,"Duruoha, Adannah",,,,,,axd180037,adannah duruoha
MATH,2414,323,,,,,,,,,,,,,,0,,,,,"Alvarado, Iris",,,,,,ila180000,iris alvarado
MATH,2419,301,,,,,,,,,,,,,,0,,,,,"Miller, James W",,,,,,jwm170630,james miller
BIOL,3V84,PAC,,,,,,,,,,,,,,0,20,,,,"Gonzalez, Cristina M",,,,,,cxg042000,cristina gonzalez
MATH,2414,304,,,,,,,,,,,,,,0,,,,,"Lewis, David L","Caseria, Brendan J",,,,,dlewis,david lewis
MATH,2414,303,,,,,,,,,,,,,,0,,,,,"Lewis, David L","Ruberu, Thanthirige Lakshika M",,,,,dlewis,david lewis
MATH,2414,302,,,,,,,,,,,,,,0,,,,,"Lewis, David L","Annan, Augustine",,,,,dlewis,david lewis
CE,4370,302,,,,,,,,,,,,,,0,,,,,"Carrion Schaefer, Benjamin",,,,,,bxc162630,benjamin carrion schaefer
MATH,2414,324,,,,,,,,,,,,,,0,,,,,"Alvarado, Iris",,,,,,ila180000,iris alvarado
PSCI,4V66,501,5,10,,,1,,,,,,,,,1,,,,,"Seagroves, Tony A",,,,,,,tony seagroves
MATH,1316,001,1,3,,2,,1,,1,4,,,1,5,1,,1,,,"Sutton, Julie",,,,,,jxs158030,julie sutton
NSC,4367,001,3,,,1,1,3,4,3,,,,,3,1,,1,,,"Miller, Van S",,,,,,vxm077000,van miller
CHEM,2401,002,1,5,4,2,3,1,1,1,,,,,,2,,,,,"Pantano, Paul","Remy, Ashele K",,,,,pantano,paul pantano
IPEC,4309,001,10,2,3,3,1,,,,,,,,,1,,,,,"Bray, Timothy M",,,,,,tmb021000,timothy bray
SPAU,4342,001,1,9,4,,3,,,1,,,1,,,1,,,,,"Kaplan, Karen",,,,,,kkaplan,karen kaplan
CHEM,2401,004,3,3,1,2,5,2,2,1,,,,,,0,,1,,,"Pantano, Paul","Perera, Alahendra Arachchige Sachini .",,,,,pantano,paul pantano
THEA,1351,501,1,16,2,,,,,,,,,,,1,,,,,"Hennigan, Edward B",,,,,,ebh062000,edward hennigan
ATCM,4397,002,,16,,,3,,,,,,,,,0,,,,,"Salter, Monika",,,,,,mxs176131,monika salter
CS,4141,602,12,4,3,,,,,,,,,,,1,,,,,"Becker, Eric W","Adebiyi, Abdulmateen A","Shah, Trusit Sandipbhai",,,,ewb160130,eric becker
MECH,3115,102,12,1,2,3,,1,,,,,,,,1,,,,,"Ouyang, Hui","LeClear, Johnathon D",,,,,hxo150330,hui ouyang
HIST,2341,001,,1,3,2,3,1,3,2,2,1,,1,,1,,,,,"Farmer, J Michael","Dunham, Daniel C",,,,,jmf073000,j michael farmer
CS,4141,105,14,2,2,2,,,,,,,,,,0,,,,,"Becker, Eric W","Shah, Trusit Sandipbhai","Adebiyi, Abdulmateen A",,,,ewb160130,eric becker
REAL,3305,003,,6,,,4,2,,3,2,,2,,1,0,,,,,"Guttery, Randall",,,,,,rxg112530,randall guttery
BMEN,7342,001,,8,8,2,,,,1,,,,,1,0,,,,,"Case, Allison B",,,,,,abc130530,allison case
CHEM,2401,001,1,2,7,2,2,2,,2,,,,1,1,0,,,,,"Dissanayake, Dushanthi S","Tian, Yafen",,,,,dxd122030,dushanthi dissanayake
COMM,1311,0W9,9,8,1,1,1,,,,,,,,,0,,,,,"Vazzi, Lisa",,,,,,lxv160630,lisa vazzi
CHEM,2401,003,,3,3,4,1,2,1,2,,,1,,3,0,,,,,"Sra, Amandeep K","Karunaweera, Chamaal",,,,,aks057000,amandeep sra
CS,4141,101,18,2,,,,,,,,,,,,0,,,,,"Becker, Eric W","Shah, Trusit Sandipbhai","Adebiyi, Abdulmateen A",,,,ewb160130,eric becker
CE,4337,501,6,4,5,3,,,1,1,,,,,,0,,,,,"McMahan, Timothy","Desai, Takshak",,,,,txm173230,timothy mcmahan
ATCM,4397,005,3,4,1,3,4,3,,1,,,,,1,0,,,,,"Lewis, Timothy M",,,,,,tml062000,timothy lewis
ITSS,4330,501,,1,2,3,7,4,1,2,,,,,,0,,,,,"Islam, Naser","Srivastava, Smriti",,,,,nxi110630,naser islam
EE,3150,104,6,3,2,1,3,3,,,1,1,,,,0,,,,,"Ahmed, Shaheen","Taherkhani, Nima",,,,,sxa176730,shaheen ahmed
CS,6301,011,,13,4,2,1,,,,,,,,,0,,,,,"Wei, Shiyi",,,,,,sxw174630,shiyi wei
OB,6332,001,,14,,1,5,,,,,,,,,0,,,,,"Ziegler, Laurie","Wijewardana, Galuge Hansani M",,,,,ziegler,laurie ziegler
EE,3111,102,7,10,2,,,,,,,,1,,,0,,,,,"Lee, Hoi","Liang, Jingchen",,,,,hxl054000,hoi lee
COMM,1311,5W7,4,7,2,5,2,,,,,,,,,0,,,,,"Templeton, Allison A",,,,,,aam141730,allison templeton
AMS,2300,HN1,,6,2,4,2,4,,1,,,,,1,0,,,,,"Smith, Erin",,,,,,erins,erin smith
MECH,3115,105,11,9,,,,,,,,,,,,0,,,,,"Ouyang, Hui","LeClear, Sani","Nikfarjam, Hamed",,,,hxo150330,hui ouyang
