Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,CR,I,NC,W,P,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized
OPRE,6302,002,,8,15,15,10,1,,,,,,,,,,,,,"Wang, Guihua","Tahergandomabadi, Mohammadmahdi",,,,,sel120030,sonia leach
OPRE,6302,0W1,,10,5,5,10,4,,4,,,,,1,,,,2,,"Leach, Sonia E","Lohia, Varun",,,,,milind,milind dawande
OPRE,6302,501,,4,5,5,5,1,,,,,,,1,,,,,,"Mirzaeian, Neda","Marar, Abhijit",,,,,sel120030,sonia leach
OPRE,6302,AW1,,15,2,1,2,,,,,,,,,,,,,,"Leach, Sonia E",,,,,,sel120030,sonia leach
OPRE,6302,CW1,,14,6,1,3,,,,,,,,,,,,,,"Ladipo, Anna",,,,,,,anna ladipo
OPRE,6302,CW2,,18,7,1,2,1,,,,,,,,,,,,,"Ladipo, Anna",,,,,,,anna ladipo
OPRE,6302,GW1,,14,2,1,2,,,,,,,,1,,,,,,"Ladipo, Anna",,,,,,,anna ladipo
OPRE,6303,0W1,,16,4,6,13,3,1,3,,,,,2,,,,3,,"Sethi, Avanti P","Singh, Manjot",,,,,asethi,awanti sethi
OPRE,6304,001,,10,4,4,13,4,,,,,,,,,,,,,"Wang, Mengxin","Ghosal, Shayak",,,,,axs158032,ahmet simsek
OPRE,6325,501,,4,4,2,1,,,,,,,,,,,,,,"Wang, Guihua","Tahergandomabadi, Mohammadmahdi",,,,,tgs170130,timothy stephens
OPRE,6332,001,,9,3,7,2,1,1,4,,,,,,,,,,,"Ramanathan, Kannan","Chaparla, Grashma Srihita","Podugu, Kanakadurga",,,,kxr087000,kannan ramanathan
OPRE,6332,002,,10,11,12,9,1,,,,,,,1,,1,,2,,"Rios Uribe, Ignacio A","Ghosh, Pramit",,,,,asethi,awanti sethi
OPRE,6332,003,,6,1,,1,,,2,,,,,,,,,,,"Katok, Elena M","Chen, Qiuxia",,,,,asethi,awanti sethi
OPRE,6332,0W1,,5,2,,6,1,,1,,,,,,,,,,,"Ramanathan, Kannan","Chaparla, Grashma Srihita","Podugu, Kanakadurga",,,,kxr087000,kannan ramanathan
OPRE,6332,0W2,,6,7,3,3,6,,7,,,,,3,,,,3,,"Ramanathan, Kannan","Chaparla, Grashma Srihita","Podugu, Kanakadurga",,,,kxr087000,kannan ramanathan
OPRE,6332,501,,11,6,2,1,,,3,,,,,2,,,,1,,"Ramanathan, Kannan",,,,,,kxr087000,kannan ramanathan
OPRE,6341,0W1,,8,8,5,6,1,,,,,,,1,,,,,,"Honhon, Dorothee B","Chen, Qiuxia",,,,,dbh130130,dorothee honhon
OPRE,6359,001,,9,3,8,5,1,,,,,,,,,,,,,"Sethi, Avanti P","Singh, Manjot",,,,,meb049000,monica brussolo
OPRE,6359,002,,4,5,4,2,1,1,2,,,,,,,,,,,"Toptal, Aysegul","Sibam, Patnala",,,,,rxr145930,rasoul ramezani
OPRE,6359,003,,14,3,2,1,4,4,,,,,,1,,,,,,"Whalen, Tristan G","Mukhopadhyay, Avik",,,,,asethi,awanti sethi
OPRE,6359,005,,8,2,1,1,,2,,,,,,,,,,1,,"Whalen, Tristan G","Mukhopadhyay, Avik",,,,,rxr145930,rasoul ramezani
OPRE,6359,006,,1,3,,4,1,1,3,,,,,1,,,,,,"Toptal, Aysegul","Sibam, Patnala",,,,,axt083100,aysegul toptal
OPRE,6359,0W2,,14,6,1,2,3,,4,,,,,,,,,4,,"Ahadi, Khatereh","Saxena, Mani","Gatne, Sushmita Sunil",,,,kxa180010,khatereh ahadi
OPRE,6359,501,,3,,2,1,1,1,2,,,,,,,,,,,"Ramezani, Rasoul","Nguyen, Trung B",,,,,axt083100,aysegul toptal
OPRE,6362,001,,2,3,3,2,5,,1,,,,,,,,,,,"Kennedyd, Sarmann I","Bandyopadhyay, Ishani","Verma, Samarth",,,,sxa063000,shawn alborz
OPRE,6362,0W1,,16,12,4,2,2,,,,,,,,,,,,,"Alborz, Shawn",,,,,,sxa063000,shawn alborz
OPRE,6364,0W1,,6,2,3,2,,1,1,,,,,2,,,,,,"Ramanathan, Kannan","Chaparla, Grashma Srihita","Podugu, Kanakadurga",,,,kxr087000,kannan ramanathan
OPRE,6366,0W1,,6,3,2,3,4,1,5,,,,,4,,,,,,"Leach, Sonia E","Lohia, Varun",,,,,metin,metin cakanyildirim
OPRE,6366,501,,5,1,1,3,,,,,,,,,,,,,,"Leach, Sonia E","Lohia, Varun",,,,,sel120030,sonia leach
OPRE,6367,001,,24,,,,,,,,,,,,,,,,,"Parks, David",,,,,,dxp153830,david parks
OPRE,6369,0W1,,9,6,6,2,,,,,,,,,,,,,,"Subramoniam, Ramesh","Nassa, Hardik",,,,,gxd052000,eugene deluke
OPRE,6369,501,,13,9,8,3,,,2,,,,,1,,,,,,"Subramoniam, Ramesh","Nassa, Hardik",,,,,gxd052000,eugene deluke
OPRE,6370,501,,24,8,4,7,,,,,,,,2,,,,,,"Sabri, Ehap H","Nguyen, Trung B",,,,,exs055000,ehap sabri
OPRE,6371,001,,12,10,14,10,7,1,,,,,,,,,,,,"Hu, Bin","Wei, Jiarui",,,,,emk120030,elena katok
OPRE,6371,0W1,,2,4,3,1,1,,1,,,,,,,,,,,"Katok, Elena M","Chen, Qiuxia",,,,,emk120030,elena katok
OPRE,6372,PW1,,7,4,1,,,1,,,,,,,,,,,,"Cazares, Joseph",,,,,,,joseph cazares
OPRE,6373,PW1,,6,7,,,,,,,,,,,,,,,,"Cazares, Joseph",,,,,,,joseph cazares
OPRE,6378,001,,3,16,11,5,3,,,,,,,,,,,,,"Widdifield, David S",,,,,,oxo091000,david widdifield
OPRE,6378,0W1,,4,9,15,4,1,,,,,,,,,,,,,"Widdifield, David S",,,,,,dsw180001,david widdifield
OPRE,6379,501,,5,5,4,2,1,1,,,,,,1,,,,,,"Rajamani, Divakar","Tahergandomabadi, Mohammadmahdi",,,,,dxr020100,divakar rajamani
OPRE,6382,0W1,,35,1,1,,1,,1,,,,,1,,,,,,"Vicario, Joseph A","Divin, Diane T",,,,,jav170030,
