Subject,Catalog Number,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized
CS,1335,0U1,2,2,1,3,,1,,,1,,,1,,0,"Ghosh, Smita","Ocampo Diaz, Gerardo",,,,,,smita ghosh
CS,2336,0U2,2,1,,,1,2,2,1,,,,1,1,0,"Feng, Ranran","Li, Xiaodi",,,,,rxf090020,ranran feng
CS,4337,0U1,,4,,1,1,,1,1,,,1,,1,1,"Davis, Chris I","Li, Xia",,,,,cid021000,chris davis
CS,4347,0U2,2,1,2,1,,2,,1,,,,,2,0,"Christiansen, Michael G","Patel, Dhruvkumar R",,,,,mgc013000,michael christiansen
CS,4375,0U1,,2,2,2,,1,1,,1,,,1,1,0,"Mazidi, Karen J","Lin, Yu",,,,,kjm160430,karen mazidi
CS,4390,0U2,,4,1,1,2,1,,,2,,,,,0,"Nguyen, Nhut","Mi, Feng",,,,,nhutnn,nhut nguyen
CS,4393,0U1,,1,3,1,1,1,1,3,,,,,,0,"Nguyen, Nhut","Chen, Simin",,,,,nhutnn,nhut nguyen
CS,5375,0W1,,9,1,1,,,,,,,,,,0,"Min, Richard K","Lee, Yi-Hui",,,,,rkm010300,richard min
ECS,3390,0U1,4,3,1,,1,1,,,,1,,,,0,"King, Carie S",,,,,,cxl085200,carie king
EE,3111,1U2,2,6,1,1,,,,,,,1,,,0,"Lee, Hoi","Liang, Jingchen",,,,,hxl054000,hoi lee
EE,3320,0U2,,2,3,,4,1,1,,,,,,,0,"Shakhakarmi, Niraj","Wang, Yifan",,,,,,niraj shakhakarmi
MECH,7393,0U1,,5,4,1,,1,,,,,,,,0,"Thamban, P.L.Stephan",,,,,,stephan,p l stephan thamban
SE,4352,0U1,1,,3,1,,2,1,,1,1,,,,1,"Chung, Lawrence",,,,,,chung,lawrence chung
FIN,3350,0U1,,5,,,2,,3,,,,,,,1,"Richards, James R",,,,,,jrr013500,james richards
FIN,3380,0U1,,5,,2,2,,2,,,,,,,0,"Richards, James R",,,,,,jrr013500,james richards
MIS,6323,5U1,,3,,,6,,,1,,,,,1,0,"Thomas, Sunela","Tunc, Murat M",,,,,sxt167730,sunela thomas
OPRE,6398,5U2,,7,1,,1,,,2,,,,,,0,"Alimirzaei, Athena","Ho, Yi-Ju",,,,,axa134231,athena alimirzaei
BIOL,4366,5U1,1,3,1,3,1,1,,,1,,,,,0,"Burr, John G",,,,,,burr,john burr
CHEM,2401,1U1,1,1,3,3,1,,1,,,,1,,,0,"Dissanayake, Dushanthi S","Perera, Alahendra Arachchige Sachini .","Remy, Ashele K",,,,dxd122030,dushanthi dissanayake
MATH,1306,0U1,,2,2,2,2,1,1,1,,,,,,0,"Mussa, Derege",,,,,,dxm146130,derege mussa
ARTS,2316,0U1,,6,1,1,3,1,,,,,,,,0,"Tady, Lorraine T",,,,,,ltt042000,lorraine tady
ARTS,3379,591,,6,5,,,,,,,,,,1,0,"Loving, Emily",,,,,,exl097120,emily loving
FILM,1303,091,,3,3,2,,1,1,,,,,,2,0,"Al-Habashneh, Eman Bahjat",,,,,,eba130130,eman bahjat al habashneh
