Subject,Catalog Number,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized
MIS,6308,0W2,,1,6,3,7,2,,,,,,,,0,"Raghunathan, Srinivasan","Srivastava, Smriti","Xie, Si",,,,sraghu,srinivasan raghunathan
MATH,1326,0U2,3,1,2,,2,1,2,,,,,1,5,2,"Li, Changsong",,,,,,cxl109120,changsong li
CS,4301,0U1,6,3,2,,2,1,1,,1,,3,,1,0,"Karami, Gity","Dakshit, Sagnik",,,,,gxk180009,gity karami
HLTH,1301,0W1,1,2,3,3,2,5,1,,1,2,,,,0,"Baetge, Claire",,,,,,cxb170330,claire baetge
ACCT,6305,5U1,,9,4,4,1,2,,,,,,,,0,"Kromer, Jeffrey",,,,,,jrk013000,jeffrey kromer
FIN,3360,0U1,1,1,3,3,2,4,4,2,,,,,,0,"Murray, Jennifer R",,,,,,jrm160330,jennifer murray
FIN,4300,0U1,2,2,1,1,4,2,1,,3,,2,,1,1,"Kim, Sang Hyun",,,,,,,sang hyun kim
MIS,6356,5U2,,9,4,1,4,1,,,,,,,,1,"Parker, Jason A","Zhu, Wangsheng",,,,,jap090020,jason parker
MKT,6339,0W1,,2,4,3,11,,,,,,,,,0,"Rajaratnam, Daniel",,,,,,dxr143430,daniel rajaratnam
OB,6332,5U1,,13,5,2,,,,,,,,,,0,"Ritchey, Kemberly A",,,,,,kar014400,kemberly ritchey
BIOL,2281,1U2,1,1,5,2,4,4,1,1,1,,,,,0,"Lin, Wen J","Shashikanth Raj Urs, Karthik Urs Bangalore","Easterwood, Shayne","Do, Hung P","Gadhvi, Jashkaran G","Xia, Jing",wenju,wen lin
BIOL,3380,1U1,1,1,3,2,,3,4,3,2,,,1,,0,"Rippel, Scott A","Mazambani, Simbarashe",,,,,rippel,scott rippel
CHEM,1111,1U1,7,6,,1,1,,,3,,,,,1,1,"Sra, Amandeep K","Shahrivarkevishahi, Arezoo","Firouzi, Hamid Reza",,,,aks057000,amandeep sra
MATH,2419,0U1,1,1,1,2,4,1,,6,1,,,,1,2,"Eydelzon, Anatoly","Islambekov, Umar","Gudoshnikov, Ivan",,,,axe031000,anatoly eydelzon
OPRE,6362,5U1,,12,5,2,,,,,,,,,,0,"Janke, Scott M","Qu, Zihao",,,,,smj160830,scott janke
COMM,1311,0H2,10,8,2,1,,,,,,,,,,0,"Tanner, Lari J",,,,,,ljt130130,lari tanner
COMM,1311,0W1,8,4,3,4,,,,,,,1,,1,0,"Vazzi, Lisa",,,,,,lxv160630,lisa vazzi
COMM,1311,0W2,4,9,1,1,3,,,,,,,,1,2,"Gregory, Mona Y",,,,,,myg140030,mona gregory
ATCM,3305,0U1,,,2,,1,3,3,3,2,3,1,1,1,1,"Camacho, Christopher J",,,,,,cjc043000,christopher camacho
ATCM,3337,091,5,8,3,2,1,1,,,,,,,1,0,"Wood, Harold G",,,,,,hgw021000,harold wood
ATCM,3340,051,13,,4,1,1,1,,1,,,,,,0,"Veras de Souza, Christine",,,,,,,christine veras de souza
PSY,3342,0U1,4,4,7,2,3,,,1,,,,,,0,"Barfoot, John W","Peskova, Olga",,,,,jwb043000,john barfoot
CS,1337,0U2,5,4,1,1,4,1,1,,,,,,4,0,"DeGroot, Doug",,,,,,dxd180020,doug degroot
CS,3305,0U2,,5,2,3,1,3,1,1,,1,,1,2,1,"Ishigaki, Genya","Lee, Yi-Hui",,,,,gxi160230,genya ishigaki
CS,3354,0U2,5,8,6,2,,,,,,,,,,0,"Smith, Klyne","Tian, Zijing",,,,,kxs180052,klyne smith
CS,5343,0U1,,12,3,2,2,,,,,,,,2,0,"Gupta, Neeraj K","Samiei, Aliehsan",,,,,nkg140130,neeraj gupta
MECH,3105,0U1,2,7,4,6,1,,,1,,,,,,0,"Rios, Oziel","Sadeh, Sepehr",,,,,oxr106020,oziel rios
MECH,3305,0U1,1,4,1,1,3,4,1,3,,,1,,2,0,"Rios, Oziel","Sadeh, Sepehr",,,,,oxr106020,oziel rios
CRIM,3302,0W1,11,5,2,1,1,,,,,,,1,,0,"Polk, Elmer O",,,,,,peo091000,elmer polk
FIN,3340,0U1,5,3,5,3,3,1,,,,,,,,1,"Molina, Stephen",,,,,,sxm163630,stephen molina
FIN,6321,5U1,,8,,,8,2,,2,,,,,,1,"Guttery, Randall",,,,,,rxg112530,randall guttery
ITSS,3300,0U1,,4,7,,4,2,,2,,,,,1,1,"Owens, Dawn M","Bhansali, Akanksha",,,,,dmo130130,dawn owens
BIOL,3380,1U2,4,1,4,1,3,4,1,1,1,1,,,,0,"Pickett, Elizabeth A","Hulyalkar, Neha V",,,,,eaw016100,elizabeth pickett
PHYS,2126,1U2,12,6,1,,,,,,,,,,1,1,"Macalevey, Paul J","Parajuli, Santosh",,,,,paulmac,paul macalevey
ATCM,3306,0U1,1,1,5,2,1,5,,,2,,1,,4,0,"McCord, Peter A",,,,,,pam062000,peter mccord
ATCM,3368,0U1,2,2,4,,2,3,2,2,1,3,,,1,0,"Chandler, Adam W",,,,,,awc051000,adam chandler
ACN,6338,0U1,,13,,,8,,,1,,,,,,0,"Sultana, Rukhsana",,,,,,rxs170431,rukhsana sultana
ACN,6V81,0U1,,19,2,,,1,,,,,,,,0,"McWilliams, Steven P",,,,,,sxm127330,steven mcwilliams
BMEN,4388,0U1,,5,10,6,1,,,,,,,,,0,"Polk, Todd W",,,,,,twp017000,todd polk
CS,1337,0U1,1,1,2,1,7,3,1,1,,,,,2,3,"Shields, Charles O","Guo, Jianxiong",,,,,cshields,charles shields
CS,2336,5U1,6,11,2,,3,,,,,,,,,0,"Khan, Ziaullah","Li, Fang",,,,,kkhan,ziaullah khan
CS,3340,0U1,1,1,3,2,2,7,,3,2,,,,1,0,"Mazidi, Karen J","Mi, Feng",,,,,kjm160430,karen mazidi
CS,3345,0U1,2,4,2,,4,2,,3,3,,1,,,1,"Ozbirn, Greg A","Ahn, Sung Soo",,,,,ozbirn,greg ozbirn
PSCI,4396,0U1,,8,2,3,1,4,,1,3,,,,,0,"Gathman, Adrienne E",,,,,,,adrienne gathman
ACCT,6305,SS1,,7,6,2,2,4,1,,,,,,,0,"Zhang, Jieying",,,,,,jxz146230,jieying zhang
ACCT,6331,0W1,,8,,,6,,,5,,,,,,3,"Cready, William M","Gencer, Nur Pinar",,,,,wmc041000,william cready
BPS,7303,0U1,,22,,,,,,,,,,,,0,"Watson, John M",,,,,,,john watson
BUAN,6357,0U1,,12,5,4,1,,,,,,,,,0,"Chatterjee, Sourav","Mehta, Sameer",,,,,sxc180075,sourav chatterjee
FIN,6301,SS1,,8,2,3,6,3,,,,,,,,0,"Xu, Yexiao",,,,,,yexiaoxu,yexiao xu
FIN,6307,5U1,,6,8,,4,1,2,1,,,,,,0,"Ma, Liping",,,,,,lxm133730,liping ma
ITSS,4330,5U1,1,1,,3,7,2,4,2,,,,,1,1,"Islam, Naser","Bhansali, Akanksha",,,,,nxi110630,naser islam
ITSS,4V95,5U1,16,3,2,,,1,,,,,,,,0,"Khan, Taimur A","Mehta, Sameer",,,,,txk123530,taimur khan
MIS,6319,0W1,,9,,,12,,,,,,,,1,0,"Thompson, Luell O",,,,,,lot013000,luell thompson
CHEM,1112,1U2,,4,4,4,4,1,,2,2,,,1,,0,"Qin, Yanping","Mortensen, Marie L","Graham, Robert L",,,,yxq083000,yanping qin
MATH,2417,0U1,2,3,2,2,1,1,,1,,,,,7,3,"Ahsan, Mohammad K","Sitaula, Hari P","Helal, Md Abu","Milogorodskii, Aleksandr","Zimmer, Kevin C",,mka120030,mohammad ahsan
BIOL,3455,1U3,2,2,2,4,1,4,1,1,2,,1,,2,0,"Ramirez, Ruben D",,,,,,rdr092000,ruben ramirez
PSY,2317,0U1,2,2,3,1,5,2,,2,1,,,,1,4,"Pacheco, Daniel F","Carson, Kevin J",,,,,pdaniel,daniel pacheco
CE,3301,0U1,3,5,1,,1,1,,1,1,,3,,6,1,"Tacca, Marco","Mitra, Arkadeep","Zhang, Tianliang","Gandluru, Veerabharathchandrareddy","Gharajeh, Abouzar",,mtacca,marco tacca
CS,1336,0U1,2,3,3,1,,1,3,,,1,3,2,2,2,"Arnold, Gordon L","Ocampo Diaz, Gerardo",,,,,gxa120930,gordon arnold
CS,3340,0U2,5,5,2,1,1,2,3,2,1,,1,,,0,"Karami, Gity","Fang, Zhou",,,,,gxk180009,gity karami
ENGR,2300,0U1,6,4,2,1,3,,2,,2,,,,2,1,"Ahmed, Shaheen","Vankayalapati, Bhanu Teja","Wang, Jianda",,,,sxa176730,shaheen ahmed
MECH,3150,0U1,1,12,6,1,1,1,,,1,,,,,0,"Park, Wooram","Yu, Haoliang",,,,,wxp103020,wooram park
MECH,4381,0U2,,2,5,9,5,,1,,,,,,1,0,"Hart, Robert A","Upasham, Sayali S",,,,,rxh124630,robert hart
BUAN,6346,5U2,,23,,,,,,,,,,,,0,"Elkhodari, Gasan","Srivastava, Smriti",,,,,gxe051000,gasan elkhodari
FIN,6360,5U1,,5,5,4,2,2,2,3,,,,,,0,"Kaur, Dupinderjeet",,,,,,dxk110730,dupinderjeet kaur
ITSS,4352,0U1,3,1,1,1,3,1,1,3,3,2,1,1,2,0,"Bradbury, Judd D","Singh, Ayush K",,,,,jdb101000,judd bradbury
MIS,6309,5U1,,11,2,3,3,3,,,,,,,,1,"Islam, Naser","Bhansali, Akanksha",,,,,nxi110630,naser islam
MKT,3340,5U1,,5,3,3,6,1,3,1,,,,,1,0,"Rajaratnam, Daniel",,,,,,dxr143430,daniel rajaratnam
BIOL,2281,1U1,3,3,4,4,4,2,2,,,,,,1,0,"Lin, Wen J","Easterwood, Shayne","Shashikanth Raj Urs, Karthik Urs Bangalore","Do, Hung P","Gadhvi, Jashkaran G","Xia, Jing",wenju,wen lin
CHEM,3361,0U1,3,4,4,1,3,1,3,,3,,1,,,0,"Candas, Mehmet","McDill, Parker M","Krishnamohan, Aishwarya","Song, Ming","Ray, Ashvini","Dey, Sanchareeka",candas,mehmet candas
MATH,2451,0U1,,2,1,2,3,3,4,2,2,1,,,1,2,"Turi, Janos","Hervert Hernandez, Esau A","Albelo-Cortes, Josean",,,,turi,janos turi
PHYS,2125,1U2,5,14,1,1,,1,,,,,,,,1,"Sun, Kuei","Ali, Saif","Feizi, Wirya",,,,kxs147030,kuei sun
PHYS,2125,6U1,9,12,,2,,,,,,,,,,0,"Sun, Kuei","Sharon Felix, .","Dhale, Nikhil",,,,kxs147030,kuei sun
LIT,3327,051,5,9,2,2,2,3,,1,,,,,,0,"Ingrao, Peter J",,,,,,jingrao,peter ingrao
THEA,1310,051,,10,11,1,1,1,,,,,,,,0,"Hibbs, Shelby A",,,,,,sah140730,shelby hibbs
NSC,4354,0U1,3,,7,2,5,6,1,,,,,,,0,"Sultana, Rukhsana",,,,,,rxs170431,rukhsana sultana
CS,2305,0U1,3,7,3,1,5,1,1,1,,,,,2,0,"Feng, Ranran","Li, Xuelin",,,,,rxf090020,ranran feng
BIS,3320,0U1,3,9,4,3,2,,2,1,,,,,,0,"Wright, David A",,,,,,wright,david wright
BUAN,6312,SW1,,4,2,4,4,7,2,,,,,,,1,"Blueshtein, Moran","Lee, Pil-Seng",,,,,mxb135230,moran blueshtein
FIN,6308,0W1,,10,2,3,5,1,1,2,,,,,,0,"Lewin, Peter","Zhao, Yabo",,,,,plewin,peter lewin
FIN,6316,SU1,,10,3,3,7,1,,,,,,,,0,"Springate, David J",,,,,,spring8,david springate
FIN,6360,SU1,,8,2,2,11,1,,,,,,,,0,"Day, Theodore",,,,,,tday,theodore day
MKT,6336,0W1,,8,8,6,,2,,,,,,,,0,"Rao, Ram C","Saremi, Ehsan",,,,,rrao,ram rao
OB,6348,CW1,,22,,,,,,,,,,,1,1,"Plaisance Bryan, Suzette T",,,,,,,suzette plaisance bryan
OPRE,3333,5U1,7,1,3,,4,,1,7,,,,,1,0,"Ahadi, Khatereh","Chen, Yuhang",,,,,kxa180010,khatereh ahadi
OPRE,6302,PU1,,20,,,4,,,,,,,,,0,"Joiner, James C",,,,,,,james joiner
BIOL,3101,0U3,5,4,2,4,1,2,1,2,,,2,,1,0,"Srikanth, Uma",,,,,,ukrish,uma srikanth
BIOL,3455,1U1,,1,2,2,3,1,2,6,3,,,,3,1,"Ramirez, Ruben D",,,,,,rdr092000,ruben ramirez
BIOL,3520,3U1,4,5,8,4,1,1,1,,,,,,,0,"Mehta, Iti",,,,,,ixm121430,iti mehta
CHEM,2123,1U2,17,4,3,,,,,,,,,,,0,"Abeykoon, Nimali C","Tajik Asl, Masoumeh","Villones, Rhiza Lyne",,,,nxa124430,nimali abeykoon
MATH,1325,5U1,6,,1,3,2,1,1,1,1,1,2,2,2,1,"Dahal, Rabin","Iudaev, Sergei",,,,,rxd153030,rabin dahal
ARHM,3342,091,,9,2,,4,3,,1,2,,1,,2,1,"Goode, Dianne H",,,,,,dgoode,dianne goode
ATCM,3350,0U1,8,7,4,,3,1,,1,,,,,1,0,"Hewitt, Sharon",,,,,,sxh090220,sharon hewitt
COMD,7V68,0U1,,25,,,,,,,,,,,,0,"Sale, Felicity F",,,,,,ffs013000,felicity sale
CS,4347,0U1,4,7,3,2,2,1,1,4,,,,,1,0,"Cankaya, Ebru C","Zi, Yuxin",,,,,exc067000,ebru cankaya
CS,6301,0U3,,22,3,,,,,,,,,,,0,"Thuraisingham, Bhavani","Chen, Simin",,,,,bxt043000,bhavani thuraisingham
CS,6360,5U1,,6,5,8,2,3,,,,,,,1,0,"Davis, Chris I","Dakshit, Sagnik",,,,,cid021000,chris davis
ECS,3361,0U2,,12,4,5,,2,,,,,,,1,1,"Harrington, James","Johnson, Sara K",,,,,jxh134630,james harrington
EE,3310,5U1,,6,3,3,2,6,1,2,1,,1,,,0,"Pourkamali, Siavash","Palit, Prithviraj","Sheikhlari, Sepehr",,,,sxp124631,siavash pourkamali
PA,6369,5U1,,25,,,,,,,,,,,,0,"McCaskill, John R",,,,,,jrm094020,john mccaskill
BCOM,4350,5E1,,14,6,1,1,,1,,,,1,,1,0,"Watson, John M","Shirvin, Mahdi",,,,,,john watson
FIN,6301,XS1,,19,2,2,2,,,,,,,,,0,"Reichert, Carolyn A",,,,,,carolyn,carolyn reichert
HMGT,6320,CH1,,16,2,3,4,,,,,,,,,0,"Fleming, Forney F",,,,,,fwf081000,forney fleming
IMS,6204,XS1,,15,7,1,1,1,,,,,,,,0,"Kiser, Stephen L",,,,,,slk012100,stephen kiser
MKT,6301,XS1,,24,,,1,,,,,,,,,0,"Albrecht, Maria",,,,,,mxa180037,maria albrecht
BIOL,3102,0U1,3,3,2,4,,2,1,1,1,1,4,2,1,0,"Srikanth, Uma",,,,,,ukrish,uma srikanth
CHEM,2123,1U1,19,5,,,,,,,,,,,,1,"Abeykoon, Nimali C","Wang, Hanghang","Tian, Yafen",,,,nxa124430,nimali abeykoon
ECON,2301,0U1,1,8,3,5,3,3,,,,,,,1,1,"Chen, Zhengyang",,,,,,zxc151030,zhengyang chen
ACCT,2302,5U1,1,2,2,1,2,5,3,1,2,2,1,2,1,1,"Hes, Christopher A",,,,,,cah041000,christopher hes
ACCT,6301,CH1,,24,2,,,,,,,,,,,0,"Barden, John P",,,,,,jpb063000,john barden
IMS,6204,AW1,,12,,,12,,,,,,,,1,1,"Petrik, Peter","McCracken, John",,,,,,peter petrik
ITSS,4360,5U1,,2,8,3,6,4,2,1,,,,,,0,"Thirumalai, Nambi","Luo, Ning",,,,,ndt180001,nambi thirumalai
MECO,6303,5U1,,3,4,5,6,2,3,1,,,,,2,0,"Kiser, Stephen L",,,,,,slk012100,stephen kiser
MECO,6303,AW1,,17,3,3,,1,,,,,,,1,1,"Kiser, Stephen L",,,,,,slk012100,stephen kiser
MIS,6320,0W1,,6,7,7,2,1,3,,,,,,,0,"Cavusoglu, Huseyin","Tunc, Murat M",,,,,huseyin,huseyin cavusoglu
PHYS,2125,1U1,2,15,4,1,,,1,1,,1,,,1,0,"Sun, Kuei","Ferguson, Sarah W","Dhawan, Ruchika",,,,kxs147030,kuei sun
CRIM,3320,0U1,7,7,4,1,,4,,,,,,,1,2,"Huskey, Michael",,,,,,mxh160630,michael huskey
ATCM,3338,0U1,,4,8,2,3,2,1,1,3,1,,,1,1,"Chandler, Adam W",,,,,,awc051000,adam chandler
COMD,5340,0U1,,27,,,,,,,,,,,,0,"Aldridge, Michelle A",,,,,,aldridge,michelle aldridge
COMD,6320,0U1,,25,,,2,,,,,,,,,0,"Carter, Jessica A","Smith, Irma E",,,,,jar032000,jessica carter
CS,2336,0U1,2,3,7,7,7,1,,,,,,,,0,"Khan, Ziaullah","Dong, Zheng",,,,,kkhan,ziaullah khan
CS,6375,5U1,,15,4,3,2,1,,1,,,,,1,0,"Schweitzer, Haim","Wan, Guihong",,,,,haim,haim schweitzer
MECH,4381,0U1,,9,5,6,6,1,,,,,,,,0,"Hart, Robert A","Upasham, Sayali S",,,,,rxh124630,robert hart
BIS,3320,091,3,5,8,3,2,1,1,2,1,,,1,,0,"Hudson, Jennifer M",,,,,,jxh100220,jennifer hudson
FIN,6301,PU1,,15,9,,1,1,1,,,,,,,0,"Reichert, Carolyn A",,,,,,carolyn,carolyn reichert
MKT,4330,0W1,4,6,4,,3,5,2,1,1,,,,,1,"Edsel, Alexander D","Subramanian, Thyagarajan",,,,,ade012000,alexander edsel
OPRE,6390,0W1,,19,,,7,,,,,,,,,1,"Thompson, Luell O",,,,,,lot013000,luell thompson
BIOL,2111,0U2,,6,7,4,2,2,,1,1,1,1,2,,0,"Candas, Mehmet",,,,,,candas,mehmet candas
PHYS,2126,1U1,12,14,1,,,,,,,,,,,0,"Macalevey, Paul J","Stoikos, Evangelos","Fernando, Bharana A",,,,paulmac,paul macalevey
STAT,4351,0U1,3,3,4,3,6,1,,2,,,,,4,1,"Koshevnik, Yuly","Patwary, Mohammad S","Wu, Jiaju",,,,yxk055000,yuly koshevnik
CS,4348,0U1,2,5,4,4,3,1,2,,1,1,1,2,1,1,"Christiansen, Michael G","Shahbazi, Nima",,,,,mgc013000,michael christiansen
CS,6363,0U1,,17,2,2,4,2,1,,,,,,,0,"Chandrasekaran, Ramaswamy","Gour, Riti",,,,,chandra,ramaswamy chandrasekaran
SOC,1301,0W1,2,10,5,1,,2,2,,,,,1,4,1,"Simoni, Zachary",,,,,,zrs160030,zachary simoni
AMS,2341,0H2,,4,7,5,7,2,1,,2,,,,,0,"Naqvi, Syed K",,,,,,skn180000,syed naqvi
ACCT,2301,5U1,1,2,4,1,4,1,6,3,3,,,,2,1,"Swaim, Stephanie R",,,,,,srp065000,stephanie swaim
ACCT,6353,SW1,,8,18,,2,,,,,,,,,0,"Solcher, Steven J",,,,,,sjs107020,steven solcher
BIOL,2112,0U1,1,4,3,6,4,1,3,2,1,1,,2,,0,"Candas, Mehmet",,,,,,candas,mehmet candas
BIOL,3455,1U2,2,1,2,1,9,2,1,2,4,1,1,,2,0,"Ramirez, Ruben D",,,,,,rdr092000,ruben ramirez
CHEM,2125,1U2,8,17,1,1,,,,,,1,,,,0,"Tran, Daniel N","Tague, Daniel W","Wunch, Melissa A",,,,dnt019000,daniel tran
MATH,2414,0U1,3,2,1,5,2,5,2,1,4,1,,1,1,0,"Aman, Kelly",,,,,,kxa143530,kelly aman
ATCM,3301,5U1,1,10,5,2,1,3,,1,2,1,,1,2,0,"Rheams, David C",,,,,,dcr093020,david rheams
PSY,4343,0U1,,2,11,4,4,4,1,,,,,,3,0,"Kinney, Robert S","Adelson, Megan J",,,,,,robert kinney
CS,2305,5U1,6,7,4,1,3,1,1,,,,1,2,2,1,"Farage, Timothy P","Yu, Shimeng",,,,,tfarage,timothy farage
AMS,3316,0W1,11,5,6,2,1,,,1,1,,,,2,0,"Winstead, Elizabeth L",,,,,,lwm061000,elizabeth winstead
BIS,3190,0W1,10,8,2,,2,4,,1,,,1,,1,0,"Robinson, Katie L","Edwards, Christopher W",,,,,klr180002,katie robinson
ACCT,4334,5U1,,,5,4,4,3,3,3,2,2,1,,,2,"Hes, Christopher A",,,,,,cah041000,christopher hes
BUAN,6312,0W1,,2,8,9,5,1,3,1,,,,,,0,"Blueshtein, Moran","Lee, Pil-Seng",,,,,mxb135230,moran blueshtein
HMGT,6332,5U1,,18,5,1,3,2,,,,,,,,0,"Ramanathan, Kannan",,,,,,kxr087000,kannan ramanathan
MIS,6380,0W1,,5,3,9,6,3,,1,,,,,1,1,"Bradbury, Judd D","Singh, Ayush K",,,,,jdb101000,judd bradbury
OB,6352,CW1,,18,6,2,2,1,,,,,,,,0,"Plaisance Bryan, Suzette T",,,,,,,suzette plaisance bryan
OPRE,6302,CW1,,15,14,,,,,,,,,,,0,"Hassanzadeh, Nozar",,,,,,nozarh,nozar hassanzadeh
DANC,1310,0H1,,11,4,1,2,1,,1,4,1,,,2,3,"Saba, Monica",,,,,,msaba,monica saba
ATCM,2335,5U1,,21,,2,1,,1,1,,,,,3,1,"Stewart, Michael C",,,,,,mxs128231,michael stewart
ATCM,3301,0U1,,4,3,11,8,3,,,,,,,1,0,"Imaoka, Laura",,,,,,lxi170030,laura imaoka
NSC,4352,0U2,2,4,9,1,4,3,2,1,1,,,,2,1,"Raboune, Siham",,,,,,sxr180071,siham raboune
EE,3201,0U1,,9,10,4,3,1,1,,,1,,,,1,"Kiasaleh, Kamran",,,,,,kamran,kamran kiasaleh
ACCT,6301,0W1,,6,9,5,4,4,,1,,,,,,1,"Ali, Ashiq","Sandhu, Gurvinder",,,,,axa042200,ashiq ali
BCOM,3200,5U1,2,9,1,4,5,3,,4,,,1,,1,0,"Newcomb, Rebecca G",,,,,,rgn100020,rebecca newcomb
BCOM,3310,0U3,2,11,6,3,5,,1,,1,,,,1,0,"Walton, Michaella",,,,,,mrw170730,michaella walton
BPS,6310,0W1,,23,4,1,1,,,,,,,,,1,"Kaplan, Marilyn R",,,,,,mkaplan,marilyn kaplan
BUAN,6337,0W1,,3,6,6,5,4,4,2,,,,,,0,"Subramanian, Upender","Saremi, Ehsan",,,,,uxs092000,upender subramanian
IMS,3310,5U1,1,10,1,1,5,1,4,3,,,2,,2,0,"Henderson, Tom",,,,,,txh093000,tom henderson
MIS,6204,501,,24,5,,1,,,,,,,,,0,"Fuller, Tony F","Xie, Si",,,,,tff170130,tony fuller
OB,6331,CW1,,29,,1,,,,,,,,,,0,"Ferrante, Anne M",,,,,,,anne ferrante
OB,6344,CW1,,21,2,4,,,,,,,,,2,1,"Norton, Larry",,,,,,,larry norton
ATCM,2303,0U1,12,8,6,4,,1,,,,,,,,0,"Camacho, Christopher J",,,,,,cjc043000,christopher camacho
CS,1325,0U1,3,,5,3,5,8,2,1,2,,,,2,0,"Paulk, Mark C","Li, Changbin",,,,,mcp130030,mark paulk
CS,3360,5U1,6,1,3,4,3,2,4,,2,2,,1,2,1,"Arnold, Gordon L","Zhang, Chenxu",,,,,gxa120930,gordon arnold
CS,3377,0W1,4,3,,1,8,2,4,4,2,1,,,1,1,"Min, Richard K","Zeng, Wenxi",,,,,rkm010300,richard min
ENGR,3341,0U1,1,5,3,4,1,1,3,2,5,,,4,1,1,"Fonseka, John",,,,,,kjp,john fonseka
SE,4381,0U1,1,5,6,6,8,2,,2,1,,,,,0,"Paulk, Mark C","Sarwat, Maliha",,,,,mcp130030,mark paulk
PSCI,4341,0U1,4,7,5,4,7,2,,1,1,,,,,0,"Kingsolver, Austin W",,,,,,,austin kingsolver
ISIS,3335,091,6,7,6,3,5,2,1,,1,,,,,0,"Rosa, Jonathan",,,,,,jxr172530,jonathan rosa
ACCT,6338,0W1,,17,,3,9,,,2,,,,,,0,"Goodrich, Mary Beth W",,,,,,goodrich,mary beth goodrich
HUMA,1301,051,9,11,3,3,3,,,,,2,,,,1,"Amato, Lawrence A",,,,,,laa062000,lawrence amato
NSC,3361,0U2,7,1,3,1,3,2,5,2,2,,3,,3,0,"Taylor, Anna M","Zuppichini, Mark D",,,,,amt180004,anna taylor
CS,4332,0U1,16,9,1,2,,2,1,,,,,,1,0,"McMahan, Timothy","Wang, Yeqi",,,,,txm173230,timothy mcmahan
PA,8330,HN1,,21,7,,1,,,2,,,,,,1,"Shute, William H","Chin, Michelle L",,,,,whs170030,william shute
ACCT,6353,5U1,,17,2,4,2,3,2,,,,,,2,0,"Gamino, John P",,,,,,jpg140630,john gamino
BCOM,3310,5U1,4,13,4,3,4,2,1,,,,,,,1,"Walton, Michaella",,,,,,mrw170730,michaella walton
BUAN,6356,5U2,,16,6,2,5,1,,,,,,,,2,"Parker, Jason A","Zhu, Wangsheng",,,,,jap090020,jason parker
BUAN,6398,5U2,,20,2,4,6,,,,,,,,,0,"Alimirzaei, Athena","Ho, Yi-Ju",,,,,axa134231,athena alimirzaei
ENTP,3301,0U1,2,2,8,9,4,4,2,1,,,,,,0,"Nichols, Paul M",,,,,,pxn120030,paul nichols
ITSS,4351,5U1,,9,3,2,4,3,2,4,4,1,,,,0,"Shekhar, Gaurav","Singh, Ayush K",,,,,gxs150130,gaurav shekhar
BIOL,2112,0U2,4,9,3,2,6,3,1,1,,,1,1,1,0,"Candas, Mehmet",,,,,,candas,mehmet candas
BIOL,4353,5U1,1,1,3,1,6,5,1,5,5,1,3,,,0,"Burr, John G",,,,,,burr,john burr
PSY,3361,0U1,,2,5,4,4,6,3,4,,1,,1,2,1,"Meltzer, Mitchell A","Sudheesh, Athul",,,,,mam089100,mitchell meltzer
CS,4336,0U1,1,3,9,7,1,1,6,1,,,1,1,1,1,"Ozbirn, Greg A","Chappidi, Sruthi",,,,,ozbirn,greg ozbirn
CS,4384,0U1,1,4,1,5,2,3,1,3,3,,1,4,5,0,"Shields, Charles O","Gu, Shuyang",,,,,cshields,charles shields
MECH,4340,0U1,,6,6,5,7,,6,1,2,,,,,0,"Park, Wooram","Yu, Haoliang",,,,,wxp103020,wooram park
ACCT,4336,5U1,1,,3,3,2,2,2,1,4,7,,3,4,1,"Patino, Daniel I",,,,,,dip101020,daniel patino
BPS,4305,5U1,15,7,5,1,2,1,,,,,2,,,0,"Carraher, Shawn M",,,,,,smc130730,shawn carraher
ENTP,6370,0W1,,9,3,5,12,1,,2,,,,,,1,"Kimzey, Jackie","Wang, Congying",,,,,jxk092000,jackie kimzey
MKT,6309,0W1,,7,14,10,2,,,,,,,,,0,"Li, Xiaolin","Kasaian, Keyvan",,,,,xxl157230,xiaolin li
OB,6249,CW1,,25,,,7,,,,,,,,,1,"Hicks, Robert",,,,,,,robert hicks
OB,6351,CW1,,21,7,3,,,,1,,,,,,1,"Hicks, Robert",,,,,,,robert hicks
BIOL,3302,0U1,3,3,2,8,,2,2,2,2,1,4,3,1,0,"Srikanth, Uma","Bhat, Vandita D","Tandon, Neha Ramesh","Smith, Patrick R",,,ukrish,uma srikanth
MATH,2413,0U1,3,3,3,8,1,,2,4,,,1,,6,2,"Akbar, Mohammad M",,,,,,mma110020,mohammad akbar
CS,3305,0U1,10,6,1,3,4,,,6,,,,3,,1,"Farage, Timothy P","Mousavi, Pooneh",,,,,tfarage,timothy farage
CS,6366,0U1,,16,12,4,1,1,,,,,,,,0,"Zhang, Kang","Fan, Zhenbao",,,,,kzhang,kang zhang
BUAN,6341,0U1,,8,21,3,2,,,,,,,,,0,"Sohaee, Nassim","Mehta, Sameer",,,,,nxs045000,nassim sohaee
FIN,3320,0U2,1,5,4,2,8,2,3,6,,,,,3,0,"Peabody, Stephen D",,,,,,sdp093020,stephen peabody
IMS,3310,0U1,,7,2,4,10,1,2,5,2,,,,1,0,"Henderson, Tom",,,,,,txh093000,tom henderson
OBHR,4352,5U1,3,9,4,8,3,3,1,,2,,1,,,0,"Ritchey, Kemberly A",,,,,,kar014400,kemberly ritchey
