Subject,Catalog Number,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized
MECO,6312,002,,2,3,1,4,,,,,,,,,,"Zentner, Alejandro","Rupp, Anin D",,,,,axz051000,alejandro zentner
MECO,6352,0W1,,7,,3,,,,,,,,,,,"Ziegler, Laurie","Lu, Xi",,,,,ziegler,laurie ziegler
OPRE,6390,501,,10,,,,,,,,,,,,,"Thompson, Luell O","Pearam, Swetha S",,,,,lot013000,luell thompson
REAL,3305,001,,1,,,2,1,,3,,,2,,1,,"Guttery, Randall","Zhao, Yabo",,,,,rxg112530,randall guttery
GEOS,3304,001,1,3,1,,1,,1,2,,,,,1,,"Shah, Muna",,,,,,,muna shah
MATH,6325,501,,5,2,3,,,,,,,,,,,"Krawcewicz, Wieslaw Z",,,,,,wzk091000,wieslaw krawcewicz
MILS,180,101,,10,,,,,,,,,,,,,,,,,,,,
COMD,7V82,001,,8,,2,,,,,,,,,,,"Goffman, Lisa A",,,,,,lag160930,lisa goffman
PHYS,4V11,001,,7,2,,1,,,,,,,,,,"Zhang, Chuanwei",,,,,,cxz124830,chuanwei zhang
ATCM,3320,001,2,1,1,2,1,2,1,,,,,,,,"Llamas Rodriguez, Juan A",,,,,,jal171330,juan llamas rodriguez
COMD,7336,001,,10,,,,,,,,,,,,,"Rollins, Pamela R",,,,,,rollins,pamela rollins
PA,7305,001,,4,5,1,,,,,,,,,,,"Kiel, Lowell D",,,,,,dkiel,lowell kiel
OPRE,6301,CW1,,3,4,1,,2,,,,,,,,,"Kim, Dohyeong",,,,,,dxk132530,dohyeong kim
HDCD,6315,002,,7,4,,,,,,,,,,,,"Ewing, Donna M",,,,,,dme061000,donna ewing
PSY,3362,001,,3,1,1,2,1,,1,,,1,,1,,"Mills, Candice M","Zhao, Yuguang",,,,,cxm056000,candice mills
CS,6367,001,,4,5,2,,,,,,,,,,,"Wong, Weichen E",,,,,,wew021000,weichen wong
EE,3110,101,3,6,,1,,,,,1,,,,,,"Lee, Jeong-Bong","Liu, Jinbo",,,,,jblee,jeong bong lee
EE,3110,103,3,3,,,1,,1,1,2,,,,,,"Lee, Jeong-Bong","Choi, Ye I",,,,,jblee,jeong bong lee
EPCS,3100,001,,4,1,1,4,,,,,,1,,,,"Gans, Nicholas R",,,,,,nrg092000,nicholas gans
MSEN,5300,501,,5,3,1,1,1,,,,,,,,,"Kim, Jiyoung",,,,,,jxk041000,jiyoung kim
SE,3340,002,,1,,,5,,,1,,,,,4,,"Goodrum, Richard A","Tran, Trung Hieu","Shahbazi, Nima",,,,rag150330,richard goodrum
SE,3341,001,2,1,1,2,,,,,2,1,,1,1,,"Whalen, Tristan G","Thompson, Patrick A",,,,,tgw100020,tristan whalen
AMS,4305,501,,3,,4,2,2,,,,,,,,,"Cotton, Scott C",,,,,,sxc024200,scott cotton
MATH,3305,501,,9,1,,1,,,,,,,,,,"Andreescu, Titu",,,,,,,titu andreescu
CS,6301,008,,6,5,,,,,,,,,,,,"Hao, Shuang",,,,,,sxh178730,shuang hao
SE,3340,001,,1,,3,1,3,2,,,,,,1,,"Nguyen, Nhut",,,,,,nhutnn,nhut nguyen
ECON,6332,001,,7,1,2,1,,,,,,,,,,"Andrews, Rodney J",,,,,,rja091000,rodney andrews
ED,4359,0W1,1,4,1,1,1,,,,,,1,,2,,"Root, Alexey",,,,,,aroot,alexey root
RMIS,3370,001,2,3,2,1,,2,,,1,,,,,,"Richardson, Debra L",,,,,,dlr150330,debra richardson
HUMA,6300,501,,3,6,,2,,,,,,,,,,"Rodriguez, Robert X",,,,,,rxr014610,robert rodriguez
HONS,3199,HN4,,7,3,1,,,,,,,,,,,"Wickberg, Daniel",,,,,,wickberg,daniel wickberg
BCOM,3310,008,4,3,1,,1,1,1,,,,,,,,"Marchant, Joe T",,,,,,jtm014200,joe marchant
ENTP,6315,501,,2,5,2,1,1,,,,,,,,,"Pedigo, Madison F",,,,,,mfp013000,madison pedigo
FIN,4334,501,,1,1,1,1,2,,1,1,,,1,2,,"Kaplan, Larry S",,,,,,lsk140130,larry kaplan
OPRE,6398,002,,5,,,6,,,,,,,,,,"Alimirzaei, Athena","Armaghan, Milad",,,,,axa134231,athena alimirzaei
ARTS,2316,501,2,5,4,,,,,,,,,,,,"Egan, Trey T",,,,,,tte150130,trey egan
OPRE,6382,0W1,,10,,1,,,,,,,,,,,"Vicario, Joe","Divin, Diane",,,,,jav170030,joe vicario
THEA,3310,501,2,8,1,,,,,,,,,,,,"Hibbs, Shelby A",,,,,,sah140730,shelby hibbs
CE,3102,101,,9,,,2,,,,,,,,,,"Hu, Yang","Bo, Yu","Wei, Haoran","Azarang, Arian",,,yxh177430,yang hu
CE,3110,101,2,1,,2,,,3,1,1,,1,,,,"Lee, Jeong-Bong","Liu, Jinbo",,,,,jblee,jeong bong lee
CE,3110,105,4,3,,3,1,,,,,,,,,,"Lee, Jeong-Bong","Choi, Ye I",,,,,jblee,jeong bong lee
EE,3111,103,1,9,,,,1,,,,,,,,,"Lee, Gil S","Chen, Chen",,,,,gslee,gil lee
EE,3120,105,,10,,,,,,,,,,,1,,"Zhou, Dian","Wang, Yifan",,,,,zhoud,dian zhou
PSCI,6350,001,,5,2,1,2,,,,,,,,1,,"Brandt, Patrick",,,,,,pxb054000,patrick brandt
