Subject,Catalog Number,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized
BIOL,3380,302,2,3,2,5,4,2,,1,1,,,1,1,,"Rippel, Scott A","Hulyalkar, Neha V",,,,,rippel,scott rippel
BIOL,3380,306,4,3,6,3,2,,2,1,1,,,,,,"Pan, Jing","Tiruchendurai Suryan, Saai Anugraha",,,,,jxp134330,jing pan
CHEM,1111,102,7,7,4,,2,,,,,,,,2,,"Hashami, Zohreh","Mills, Kira R",,,,,zxh088000,zohreh hashami
RHET,1302,018,,17,3,2,,,,,,,,,,,"Al-Rashid, Entidhar H",,,,,,eha170000,entidhar al rashid
RHET,1302,025,4,14,1,3,,,,,,,,,,,"Sengupta, Karl",,,,,,kss140330,karl sengupta
RHET,1302,0H1,3,5,2,3,2,2,1,2,,,,,2,,"Keeth, Sara L","Riley, Kristin N",,,,,slk041000,sara keeth
RHET,1302,0H2,5,,5,2,4,3,2,1,,,,,,,"Riley, Kristin N",,,,,,knr091000,kristin riley
RHET,1302,0H5,4,6,2,2,1,1,1,1,,,,1,3,,"Keeth, Sara L",,,,,,slk041000,sara keeth
EESC,6366,001,,6,2,1,11,2,,,,,,,,,"Hansen, John","Chandra Shekar, Ram Charan M",,,,,jxh052100,john hansen
PA,4370,001,,4,5,,4,4,,5,,,,,,,"Kiel, Lowell D",,,,,,dkiel,lowell kiel
SYSM,6320,SS1,,7,,,8,,,7,,,,,,,"Dess, Gregory","Kim, Dong Shin",,,,,ggd021000,gregory dess
BIOL,2281,301,4,10,6,,1,1,,,,,,,,,"Mehta, Iti","Ratevosyan, Richard",,,,,ixm121430,iti mehta
CHEM,3472,002,1,3,1,3,3,2,3,,3,,1,,2,,"Goux, Warren J","Castro, Fabian","Zhou, Qinhan","Morakabi, Katayoun","Li, Siqing",,wgoux,warren goux
RHET,1302,019,,7,4,7,,1,,1,,1,1,,,,"Balasa, Alexandra",,,,,,axb177630,alexandra balasa
RHET,1302,503,1,7,5,5,1,,1,1,,,,,1,,"Manes, Christopher L",,,,,,clm036000,christopher manes
CS,6375,001,,8,9,4,1,,,,,,,,,,"Kunapuli, Gautam","Yan, Siwen",,,,,,gautam kunapuli
BIOL,2281,314,1,2,3,5,3,6,,,1,1,,,,,"Mehta, Iti","Easterwood, Shayne",,,,,ixm121430,iti mehta
RHET,1302,501,,4,4,5,7,2,,,,,,,,,"Hamilton, Cristen",,,,,,cch073000,cristen hamilton
CRIM,2317,501,1,2,3,3,2,2,3,3,2,,,,1,,"McKay, Brian",,,,,,bxm131530,brian mckay
COMM,1311,0W7,8,6,4,1,1,,,,,,,,2,,"Gregory, Mona Y",,,,,,myg140030,mona gregory
RHET,1302,009,6,4,5,3,1,2,,,,,,1,,,"Ocasio-Russe, Lizbette",,,,,,lxo160130,lizbette ocasio russe
RHET,1302,020,15,1,1,,2,1,,,1,,,,1,,"Ali, Shazia",,,,,,shazia,shazia ali
RHET,1302,021,17,4,,,,,,,,,,,1,,"Ali, Shazia",,,,,,shazia,shazia ali
RHET,1302,0H6,3,9,3,2,1,1,,,,,1,,2,,"Riley, Kristin N",,,,,,knr091000,kristin riley
ATCM,4326,002,,2,5,4,9,1,1,,,,,,,,"Imaoka, Laura","Barr, Ivey B",,,,,lxi170030,laura imaoka
CS,2336,008,1,6,6,2,4,,,1,,,1,,1,,"Khan, Ziaullah",,,,,,kkhan,ziaullah khan
EE,3110,106,3,7,,5,4,,,1,1,,,,1,,"Lee, Jeong-Bong",,,,,,jblee,jeong bong lee
GOVT,2306,HN2,1,15,3,1,1,1,,,,,,,,,"Harpham, Edward",,,,,,harpham,edward harpham
BIOL,3380,303,,7,5,6,1,2,,,1,,,,,,"Rippel, Scott A","Groover, Isaac A",,,,,rippel,scott rippel
BIOL,6193,001,,,,,,,,,,,,,,,"Xuan, Zhenyu",,,,,,zxx091000,zhenyu xuan
NSC,4350,001,4,2,,,10,1,2,1,,,1,,1,,"Taylor, Anna M",,,,,,amt180004,anna taylor
SYSM,6305,001,,12,6,3,2,,,,,,,,,,"Spong, Mark W","Morton, Ryan E",,,,,mws081000,mark spong
HMGT,6407,AS1,,23,,,,,,,,,,,,,"McCracken, John",,,,,,,john mccracken
BIOL,2281,307,3,5,9,2,,3,1,,,,,,,,"Lin, Wen J","Saini, Ankur",,,,,wenju,wen lin
BIOL,2281,310,4,6,7,5,1,,,,,,,,,,"Mehta, Iti","Saini, Ankur",,,,,ixm121430,iti mehta
BIOL,2281,311,5,6,4,2,3,1,,1,1,,,,,,"Pickett, Elizabeth A","Shashikanth Raj Urs, Karthik Urs Bangalore",,,,,eaw016100,elizabeth pickett
COMM,3342,0W1,1,5,1,2,3,1,2,4,2,,2,,,,"Baker, Barbara L",,,,,,blb140430,barbara baker
THEA,1310,HN1,8,12,3,,,,,,,,,,,,"Lingo, Kathy A",,,,,,klingo,kathy lingo
BMEN,3325,001,5,2,2,2,5,3,,1,1,,,,2,,"Wang, Jun",,,,,,jxw130130,jun wang
EEGR,6316,001,,5,4,5,6,2,,1,,,,,,,"Gu, Qing","Gharajeh, Abouzar",,,,,qxg160030,qing gu
MECH,4110,103,2,7,6,2,4,1,,1,,,,,,,"Li, Yaoyu","Wu, Zhongyou","Liu, Chang","Li, Changyuan",,,yxl115230,yaoyu li
MECH,6V29,002,,11,7,2,1,1,1,,,,,,,,"Summers, Tyler H",,,,,,ths150130,tyler summers
BIOL,2281,302,5,4,3,1,4,5,,1,,,,,,,"Lin, Wen J","Do, Hung P",,,,,wenju,wen lin
BIOL,3162,003,2,1,,6,3,2,1,,1,2,1,2,2,,"Candas, Mehmet",,,,,,candas,mehmet candas
PHYS,2125,603,12,9,1,1,,,,,,,,,,,"Sun, Kuei","Mishra, Aditya K",,,,,kxs147030,kuei sun
NSC,4V90,003,4,6,3,4,4,,,1,,,1,,,,"Krawczyk, Daniel C",,,,,,dck061000,daniel krawczyk
EEPE,7354,501,,9,9,5,,,,,,,,,,,"Gohil, Ghanshyamsinh","Nguyen, Van Thuan",,,,,gxg172530,ghanshyamsinh gohil
ACCT,6331,501,,13,,4,2,4,,,,,,,,,"Natarajan, Ramachandran","He, Jiapeng",,,,,nataraj,ramachandran natarajan
MKT,6309,001,,12,3,7,,,,1,,,,,,,"Rajaratnam, Daniel",,,,,,dxr143430,daniel rajaratnam
BIOL,2281,313,2,3,7,3,2,2,1,,3,,,,,,"Mehta, Iti","Shashikanth Raj Urs, Karthik Urs Bangalore",,,,,ixm121430,iti mehta
FIN,6325,001,,7,3,7,1,3,2,,,,,,,,"Rivera Mesias, Alejandro","Zhu, Yifan",,,,,axr150331,alejandro rivera mesias
ITSS,4360,002,,1,7,2,6,7,,,,,,,,,"Thirumalai, Nambi","Shah, Ansh A",,,,,ndt180001,nambi thirumalai
COMM,1311,5W6,7,4,1,3,5,,,1,1,,1,,,,"Totusek, Patricia F",,,,,,pft140030,patricia totusek
ACCT,6388,501,,10,8,3,2,,,,,,,,,,"Goodrich, Mary Beth W","Koonce, Katherine",,,,,goodrich,mary beth goodrich
CS,3162,094,,15,2,1,,2,2,,,,,,1,,"Smith, Klyne",,,,,,kxs180052,klyne smith
EE,3310,001,2,1,,4,3,,3,5,3,,,,2,,"Lee, Jeong-Bong","Chen, Ziyu",,,,,jblee,jeong bong lee
ITSS,4330,002,12,9,1,1,,,,,,,,,,,"Khan, Taimur A","Zhu, Wangsheng",,,,,txk123530,taimur khan
BIOL,2281,303,5,7,5,3,,1,1,1,,,,,,,"Lin, Wen J","Xia, Jing","Do, Hung P",,,,wenju,wen lin
BIOL,2281,305,2,5,8,3,1,2,1,,1,,,,,,"Lin, Wen J","Chen, Hao",,,,,wenju,wen lin
BIOL,2281,306,3,4,9,4,1,,1,1,,,,,,,"Lin, Wen J","Easterwood, Shayne",,,,,wenju,wen lin
BIOL,2281,308,1,8,3,2,2,2,2,,3,,,,,,"Lin, Wen J","Buyukkahraman, Gozde",,,,,wenju,wen lin
BIOL,3380,301,1,4,5,1,1,6,1,1,1,2,,,,,"Pan, Jing","Hulyalkar, Neha V",,,,,jxp134330,jing pan
BIOL,3380,305,,,6,1,4,2,2,3,3,,,1,1,,"Pan, Jing","Mazambani, Simbarashe",,,,,jxp134330,jing pan
BIOL,3162,006,1,2,1,1,3,2,3,4,1,2,2,,1,,"Candas, Mehmet",,,,,,candas,mehmet candas
PSY,3393,002,6,8,3,3,1,1,,,,,1,,,,"Raman, Rachna","Mizener, Brendon J",,,,,rxr076000,rachna raman
FILM,2332,HN1,8,4,6,6,,,,,,,,,,,"McLean, Adrienne L",,,,,,amclean,adrienne mclean
LIT,2331,003,,10,8,4,,,,,1,,,,1,,"Siddiqui, Farah",,,,,,fxs121830,farah siddiqui
EPCS,2100,002,,12,1,2,5,,,1,,,3,,,,"Bennett, Terrell R",,,,,,trb052000,terrell bennett
MECH,4110,102,,9,9,2,2,2,,,,,,,,,"Li, Yaoyu","Wu, Zhongyou","Liu, Chang","Li, Changyuan",,,yxl115230,yaoyu li
MECH,4110,104,,7,8,4,2,1,1,1,,,,,,,"Li, Yaoyu","Wu, Zhongyou","Liu, Chang","Li, Changyuan",,,yxl115230,yaoyu li
ECON,2301,HN1,,8,7,4,5,,,,,,,,,,"Grover, William C","Han, Minyu",,,,,wcg071000,william grover
SOC,1301,HN1,11,13,,,,,,,,,,,,,"Skaggs, Sheryl L",,,,,,slskaggs,sheryl skaggs
SOC,4372,HN1,15,8,1,,,,,,,,,,,,"Scotch, Richard",,,,,,scotch,richard scotch
MATH,6301,501,,6,8,2,4,3,,,,,,,1,,"Balanov, Zalman",,,,,,zxb105020,zalman balanov
NSC,4383,501,,22,,,2,,,,,,,,,,"Vanneste, Sven",,,,,,,sven vanneste
BMEN,3370,001,2,9,2,1,3,3,2,1,,,,,1,,"Polk, Todd W","Ozdemir, Ipek",,,,,twp017000,todd polk
MECH,2120,101,5,9,3,1,,2,1,,,,2,,1,,"Lu, Hongbing","Cao, Dongyang",,,,,hxl101000,hongbing lu
MECH,2120,105,6,6,8,1,1,1,,,1,,,,,,"Lu, Hongbing","Zhang, Runyu",,,,,hxl101000,hongbing lu
MECH,4110,101,2,5,8,4,3,2,,,,,,,,,"Li, Yaoyu","Wu, Zhongyou","Liu, Chang","Li, Changyuan",,,yxl115230,yaoyu li
BIS,1100,007,,16,4,,,,,2,2,,,,,,"Naqvi, Syed K",,,,,,skn180000,syed naqvi
UNIV,4174,004,20,1,1,,1,,1,,,,,,,,"Lane, Shelley D",,,,,,sdl063000,shelley lane
EEDG,6301,001,,5,10,4,2,,1,,,,,,2,,"Nourani, Mehrdad","Si, Qilin",,,,,nourani,mehrdad nourani
THEA,2372,001,14,6,3,,,,,,,,,,1,,"Lingo, Kathy A",,,,,,klingo,kathy lingo
ATCM,2345,001,8,2,3,,1,4,2,1,,,1,,2,,"Fitzgerald, Harold E",,,,,,hxf170830,harold fitzgerald
CRIM,4322,0H1,,3,4,2,5,4,,1,2,2,,,1,,"Vieraitis, Lynne M","Riddell, Jordan R",,,,,lmv071000,lynne vieraitis
ED,4372,0W2,11,3,4,,3,1,1,1,,,,,,,"Christensen, Rhonda",,,,,,rxc180023,rhonda christensen
ACCT,6344,SS1,,9,,5,9,1,,,,,,,,,"Dai, Zhonglan",,,,,,zxd051000,zhonglan dai
FIN,6301,SS1,,4,5,6,5,4,,,,,,,,,"Xu, Yexiao","Kim, Sang Hyun",,,,,yexiaoxu,yexiao xu
FIN,6307,SS1,,10,,,12,,,2,,,,,,,"El-Ashmawi, Amal H","Ma, Liping",,,,,ahe013000,amal el ashmawi
FIN,6325,SS1,,4,7,3,8,1,1,,,,,,,,"Wynne, Mark",,,,,,,mark wynne
MIS,6204,PS1,,11,1,1,8,,2,,,,,,1,,"Hefley, William E",,,,,,weh150130,william hefley
OB,6332,CH1,,22,1,,,1,,,,,,,,,"Behrendt, William",,,,,,,william behrendt
MATH,2420,HN1,6,14,2,,,1,,,,,,,1,,"Dabkowski, Mieczyslaw K","Helal, Md Abu",,,,,mkd034000,mieczyslaw dabkowski
PHYS,4352,001,2,6,3,7,3,3,,,,,,,,,"Shi, Xiaoyan","Pedersen, Eske M",,,,,xxs151730,xiaoyan shi
PSCI,4V66,501,12,10,,,1,,,,,,,,,,"Seagroves, Tony A",,,,,,,tony seagroves
ITSS,4381,501,,3,6,3,2,4,1,,2,1,,1,1,,"Narayanasami, Priya","Malpani, Surajkumar Pavankumar",,,,,pxn173330,priya narayanasami
ARTS,1301,HN1,,19,2,3,1,,,,,,,,,,"Riccio, Thomas P",,,,,,txr033000,thomas riccio
ECS,3390,5H5,,14,3,4,3,,,,,,,,1,,"Coleman, Amanda R",,,,,,axc173630,amanda coleman
EE,4388,001,,18,6,1,,,,,,,,,,,"Tacca, Marco",,,,,,mtacca,marco tacca
CRIM,3302,001,,21,,,2,,,1,,,,,1,,"Wheeler, Andrew","Sanford, Stephanie M",,,,,axw161530,andrew wheeler
GOVT,2306,HN1,3,9,8,4,1,,,,,,,,,,"Dow, Douglas C",,,,,,dougdow,douglas dow
GOVT,2306,HN3,,23,2,,,,,,,,,,,,"Elliott, Euel W","Latiolais, Jasmine R","Johnson, Sara K",,,,eelliott,euel elliott
AMS,2341,HN1,3,10,4,2,4,,1,,,,,,1,,"Smith, Erin",,,,,,erins,erin smith
ENTP,3301,502,,11,,,14,,,,,,,,,,"Guengerich, Steven","Aziz, Fasahat",,,,,sxg172931,steven guengerich
CHEM,6389,001,,18,2,,4,,,1,,,,,,,"Chan, Julia Y",,,,,,jyc130130,julia chan
NATS,2333,HN1,12,13,,,,,,,,,,,,,"Taylor, Stephanie M",,,,,,smt031000,stephanie taylor
STAT,6348,001,,24,1,,,,,,,,,,,,"Gel, Yulia","Ofori-Boateng, Dorcas",,,,,yxg142030,yulia gel
UNIV,1100,004,1,14,3,3,,1,1,1,1,,,,,,"Welgehausen, Eric C",,,,,,ericw,eric welgehausen
CS,6382,001,,16,1,5,3,,,,,,,,,,"Du, Ding Z","Yuan, Jing","Gu, Shuyang",,,,dxd056000,ding du
MECH,2120,102,4,14,4,2,,1,,,,,,,,,"Lu, Hongbing","Chen, Huiluo",,,,,hxl101000,hongbing lu
BCOM,3310,014,,6,10,2,2,2,2,,,1,,,,,"Moore, Sarah E","Tanabe, Takuma",,,,,sem054000,sarah moore
STAT,3360,001,2,8,3,1,2,2,3,1,1,,,,2,,"Koshevnik, Yuly","Langford, John","Lutz, Kevin C",,,,yxk055000,yuly koshevnik
COMM,1311,0W8,13,6,2,2,,,,,1,,,,1,,"Gregory, Mona Y",,,,,,myg140030,mona gregory
ED,3314,001,15,5,3,,1,,,,1,,,,,,"Fagg, Sharon",,,,,,sxf044000,sharon fagg
COMM,1311,5W5,10,8,2,1,,,1,,,1,,,2,,"Vazzi, Lisa",,,,,,lxv160630,lisa vazzi
BIOL,3455,803,,3,1,1,1,2,2,1,5,4,1,,4,,"Sarcar, Subha N","Ramirez, Ruben D",,,,,sns064000,subha sarcar
BA,1320,001,,4,2,2,3,5,3,2,1,,,,3,,"Blueshtein, Moran","Oyima-Antseleve, Ndackyssa",,,,,mxb135230,moran blueshtein
MIS,6324,004,,8,7,6,4,,,,,,,,,,"Zhang, Zhe","Wagh, Yash",,,,,zxz145430,zhe zhang
BUAN,6398,0W1,,3,6,5,5,1,,2,,,,,3,,"Kuo, Ching-Chung","Liu, Yueming",,,,,cxk162830,ching chung kuo
ARHM,1100,301,3,13,1,2,1,1,1,,1,,,,2,,"Gray, Megan L",,,,,,mlg105020,megan gray
LIT,2331,001,3,4,9,,2,3,1,1,,,,,2,,"Hunt, Shamim",,,,,,sxh034100,shamim hunt
LIT,2331,002,12,8,2,,,,,,1,,,,2,,"Boyer, Kent L",,,,,,klb140030,kent boyer
PSY,2301,HN2,15,9,,,1,,,,,,,,,,"Devdas, Neetha R",,,,,,nrd120030,neetha devdas
ECS,3361,HN1,,11,9,5,,,,,,,,,,,"Dow, Douglas C",,,,,,dougdow,douglas dow
EE,3311,501,4,4,4,2,3,2,1,1,2,,1,1,,,"Pourkamali, Siavash","Qaradaghi, Vahid",,,,,sxp124631,siavash pourkamali
EE,4388,002,,17,4,2,1,,,1,,,,,,,"Tacca, Marco",,,,,,mtacca,marco tacca
MECH,2120,104,10,5,2,3,1,1,1,,1,,,,1,,"Lu, Hongbing","Bian, Ning",,,,,hxl101000,hongbing lu
GISC,3304,001,7,5,3,3,2,,1,,1,1,1,,1,,"Shah, Muna",,,,,,,muna shah
ACCT,3350,PP2,3,13,2,5,2,,,,,,,,,,"Solcher, Steven J","Keogh, Reagan D",,,,,sjs107020,steven solcher
ACCT,6301,PS1,,15,6,2,2,,,,,,,,,,"Solcher, Steven J",,,,,,sjs107020,steven solcher
OB,6352,CW1,,15,4,4,,1,,,,,,,1,,"Plaisance Bryan, Suzette T",,,,,,,suzette plaisance bryan
OPRE,6301,PS1,,10,4,4,5,2,,,,,,,,,"Wiorkowski, John",,,,,,wiorkow,john wiorkowski
BIOL,3102,006,,2,,5,3,10,1,3,,,1,,,,"Kim, Jung-Whan",,,,,,jxk132330,jung whan kim
MATH,1316,003,,,3,2,3,3,5,1,4,1,,,3,,"Shen, Sijie",,,,,,sxs143631,sijie shen
NSC,4363,HN1,4,11,6,1,3,,,,,,,,,,"LaDow, Eva S",,,,,,esl130130,eva ladow
ACCT,6301,X01,,8,6,5,2,3,,,,,,,1,,"Ali, Ashiq","Sandhu, Gurvinder",,,,,axa042200,ashiq ali
HIST,2330,HN1,8,11,3,,1,,,1,,,,,2,,"Stewart, Whitney",,,,,,wxs160630,whitney stewart
ATCM,1100,004,,7,10,4,3,2,,,,,,,,,"Schich, Maximilian",,,,,,,maximilian schich
NSC,4352,003,,2,5,2,6,5,,3,2,1,,,,,"Raboune, Siham",,,,,,sxr180071,siham raboune
PSY,3324,001,3,7,4,4,2,1,3,,,,,,2,,"Prager, Karen","Spence, Melanie","Holub, Shayla C",,,,kprager,karen prager
SOC,3305,001,6,6,5,1,1,3,,,,1,,,3,,"Rejepov, Vepa",,,,,,,vepa rejepov
FIN,3380,001,2,4,7,5,3,3,,,,,,,2,,"Gurun, Ayfer","Wen, Yaxin",,,,,axg119030,ayfer gurun
MIS,6204,591,,17,5,4,,,,,,,,,,,"Mookerjee, Vijay","Srivastava, Smriti",,,,,vijaym,vijay mookerjee
MATH,2417,009,3,,3,3,1,,2,,4,2,,,8,,"Makhijani, Neha",,,,,,nxm165130,neha makhijani
UNIV,1100,002,3,10,3,3,2,,,1,2,,1,,1,,"Welgehausen, Eric C",,,,,,ericw,eric welgehausen
UNIV,4174,001,16,5,3,,,,,2,,,,,,,"Lane, Shelley D",,,,,,sdl063000,shelley lane
COMM,1311,5W7,5,8,7,3,2,,,1,,,,,,,"Totusek, Patricia F",,,,,,pft140030,patricia totusek
PA,2325,001,,10,2,3,7,,,3,,,,,1,,"Goodman, Doug","Yadav, Chaitanya","Park, Yong Jun",,,,dxg101000,doug goodman
COMM,1311,5W2,3,7,4,4,5,1,,1,,,,,1,,"Carlson, Eric B",,,,,,ebc051000,eric carlson
MIS,6324,501,,11,3,5,7,,,,,,,,,,"Zhang, Zhe","Wagh, Yash",,,,,zxz145430,zhe zhang
ATCM,3395,001,,9,,,9,,,6,,,2,,,,"Lester, Paul","Mejia, Paulina M",,,,,pxl152030,paul lester
CE,3310,002,1,4,2,2,4,9,,3,1,,,,,,"Pourkamali, Siavash","Abousaba, Mohammad F",,,,,sxp124631,siavash pourkamali
ACCT,6202,PS1,,16,,,9,1,,,,,,,,,"Zolton, Kathy",,,,,,kxz121730,kathy zolton
ACCT,6287,X01,,21,5,,,,,,,,,,,,"McNulty, Diane S",,,,,,dmcnulty,diane mcnulty
OB,6301,X01,,11,13,1,1,,,,,,,,,,"Hicks, Jeffrey N",,,,,,jnh061000,jeffrey hicks
OPRE,6301,X01,,13,6,3,2,1,,,,,,,1,,"Bush, Rhonda L","Wang, Shouqiang",,,,,,rhonda bush
PHYS,5322,001,,8,8,2,5,2,,,,,,,1,,"Heelis, Roderick A","Zewdie, Gebreabkidanu",,,,,heelis,roderick heelis
HMGT,6334,501,,11,6,5,2,2,,,,,,,,,"Ayvaci, Mehmet U","Tunc, Murat M",,,,,mua120030,mehmet ayvaci
COMM,1311,5W1,6,5,3,3,3,1,,,,,1,1,3,,"Krishnaswamy, Nandini",,,,,,nxk176230,nandini krishnaswamy
COMM,1311,005,16,5,2,3,1,,,,,,,,,,"Arnold, Bob",,,,,,bxa161430,bob arnold
CS,4348,HON,1,5,4,7,4,2,3,1,,,,,,,"Prakash, Ravi","Samiei, Aliehsan",,,,,ravip,ravi prakash
BPS,4305,004,4,5,5,6,3,1,2,,1,,,,,,"Welbourne Eleazar, Miranda J",,,,,,mjw160530,miranda welbourne eleazar
BPS,6310,501,,10,,,13,,,3,,,,,1,,"Dess, Gregory","Kim, Dong Shin",,,,,ggd021000,gregory dess
SYSM,6303,SS1,,15,4,3,,1,3,1,,,,,,,"Sethi, Awanti",,,,,,asethi,awanti sethi
UNIV,1100,001,3,16,4,1,2,,,,,,1,,,,"Welgehausen, Eric C",,,,,,ericw,eric welgehausen
COMM,1311,011,8,8,2,1,3,2,1,1,1,,,,,,"Templeton, Allison A","Tanner, Lari J",,,,,aam141730,allison templeton
COMM,1311,0W4,13,8,2,1,3,,,,,,,,,,"Tanner, Lari J",,,,,,ljt130130,lari tanner
COMM,1311,0W9,8,7,2,2,,1,,,1,,,1,5,,"Krishnaswamy, Nandini",,,,,,nxk176230,nandini krishnaswamy
COMM,1311,502,4,8,4,,4,4,,,,,,,3,,"Juarez, Veronica",,,,,,vxj161430,veronica juarez
NSC,3361,HN1,7,13,4,2,1,,,,,,,,,,"LaDow, Eva S",,,,,,esl130130,eva ladow
CS,4390,501,2,3,2,3,3,,2,2,2,1,2,3,2,,"Cobb, Jorge","Dakle, Parag Pravin",,,,,jcobb,jorge cobb
FIN,3305,003,4,3,1,3,3,5,2,1,,1,2,1,1,,"DeCourcy, George A",,,,,,gad075000,george decourcy
OPRE,6366,001,,7,6,8,2,2,1,1,,,,,,,"Leach, Sonia E","Zhang, Wen",,,,,sel120030,sonia leach
OPRE,6393,501,,8,8,4,4,1,,1,,,,,1,,"Cavusoglu, Huseyin","Pham, Trang T",,,,,huseyin,huseyin cavusoglu
BIOL,3162,001,1,,2,,7,1,9,5,1,,,,1,,"Dejong, Jeff L",,,,,,dejong,jeff dejong
ATCM,4364,001,3,8,3,7,2,1,1,1,,,1,,,,"Schich, Maximilian",,,,,,,maximilian schich
CS,4348,503,2,4,2,4,,,2,7,,,2,,4,,"Alagar, Sridhar","Wang, Huaduo",,,,,sxa173731,sridhar alagar
EECT,7326,001,,12,9,2,3,,1,,,,,,,,"Lee, Hoi","Xiong, Jiu",,,,,hxl054000,hoi lee
MIS,6V99,003,,2,12,9,3,1,,,,,,,,,"Sohaee, Nassim","Patel, Mehul G",,,,,nxs045000,nassim sohaee
BIOL,3102,005,,9,,4,9,2,2,,1,,,,,,"Delk, Nikki A",,,,,,nad140230,nikki delk
BIOL,3456,305,,3,5,3,5,2,,1,3,2,1,2,,,"Hill, Brenna R","Daescu, Kelly J","Yu, Wen H",,,,brh140230,brenna hill
CHEM,2125,105,8,16,3,,,,,,,,,,,,"Wijenayake, Sumudu N","Tague, Daniel W",,,,,snw081000,sumudu wijenayake
PHYS,2125,601,8,13,2,,,,1,,,,,,3,,"Sun, Kuei","Liu, Xun",,,,,kxs147030,kuei sun
COMM,1311,0W1,5,5,1,4,5,2,,2,,1,1,,1,,"Baynham, Karen M",,,,,,contemp,karen baynham
BIS,1100,004,22,,,,3,,,,,,1,,1,,"Wissinger, Tonja",,,,,,twissin,tonja wissinger
MIS,6334,001,,7,5,8,4,3,,,,,,,,,"Menon, Syam","Bansal, Swati",,,,,sxm021300,syam menon
BIOL,3162,002,1,3,4,3,3,3,3,3,1,2,1,,,,"Candas, Mehmet",,,,,,candas,mehmet candas
CHEM,2123,106,7,14,5,1,,,,,,,,,,,"Shah, Shailesh N","Wang, Hanghang",,,,,sns170230,shailesh shah
ACCT,6388,001,,23,3,,,1,,,,,,,,,"Goodrich, Mary Beth W","Koonce, Katherine",,,,,goodrich,mary beth goodrich
MECH,6354,001,,6,12,8,1,,,,,,,,,,"Bernal Montoya, Rodrigo A","Malakooti, Sadeq",,,,,rab160530,rodrigo bernal montoya
MKT,6352,001,,9,4,6,8,,,,,,,,,,"Tirone, Guido",,,,,,gxt170001,guido tirone
PHYS,2126,604,4,17,3,1,1,,,,,,,,1,,"Sun, Kuei","Koirala, Pawan",,,,,kxs147030,kuei sun
COMM,1311,501,10,10,3,1,1,,,,1,,,,1,,"Skiles, Bradley W",,,,,,bws150030,bradley skiles
ATCM,3346,001,1,13,8,4,1,,,,,,,,,,"Marks, David E",,,,,,dem160430,david marks
BBSU,1100,012,18,2,3,2,,,,,,,1,,1,,"Boeshans, Lindsey E",,,,,,leb140130,lindsey boeshans
BMEN,4389,001,,8,3,11,2,3,,,,,,,,,"Polk, Todd W","Upasham, Sayali S",,,,,twp017000,todd polk
PA,3306,001,,12,11,,2,,2,,,,,,,,"Abraham, Romeo",,,,,,,romeo abraham
OPRE,6301,CH1,,16,3,4,3,1,,,,,,,,,"Kim, Dohyeong",,,,,,dxk132530,dohyeong kim
AUD,6113,001,,,,,,,,,,,,,,,"Roeser, Ross J",,,,,,roeser,ross roeser
MIS,6330,001,,9,11,3,4,,,,,,,,,,"Lahiri, Atanu","Sandilya, Nimish K",,,,,axl144730,atanu lahiri
COMM,1311,007,25,,1,,2,,,,,,,,,,"Davis, Letitia",,,,,,,letitia davis
COMM,1311,014,19,6,3,,,,,,,,,,,,"Tanner, Lari J",,,,,,ljt130130,lari tanner
COMM,1311,015,,19,4,1,1,,1,,,,,,2,,"Glauser, Janece B",,,,,,jbg130030,janece glauser
COMM,1311,016,,12,4,5,3,1,1,,1,,1,,,,"Glauser, Janece B",,,,,,jbg130030,janece glauser
COMM,1311,0W3,4,14,4,3,2,,,,,1,,,,,"Templeton, Allison A","Tanner, Lari J",,,,,aam141730,allison templeton
ATCM,2302,004,4,6,9,3,1,,2,1,,1,,,1,,"Salter, Monika","Nazir, Cassini","Brtis, Chelsea L",,,,mxs176131,monika salter
ATCM,4350,001,6,7,2,2,1,3,2,,,,1,,4,,"Hewitt, Sharon","Remington, William A",,,,,sxh090220,sharon hewitt
EE,4361,001,1,3,5,2,7,2,2,1,1,2,1,,1,,"Panahi, Issa","Shreedhar Bhat, Gautam",,,,,imp015000,issa panahi
ED,4352,001,,8,12,2,3,1,1,1,,,,,,,"McNulty, Angela B",,,,,,mcnulty,angela mcnulty
FIN,4340,001,3,5,2,,5,6,,4,2,,1,,,,"Xiao, Wenjing",,,,,,swx170030,wenjing xiao
COMM,1311,004,7,5,8,,2,2,,2,,1,,,1,,"Arnold, Bob",,,,,,bxa161430,bob arnold
COMM,1311,008,19,4,3,,,,,,,,,1,1,,"Hanson, Jocyln Y",,,,,,jyh140230,jocyln hanson
COMM,1311,009,16,,2,2,2,,1,,,,,,5,,"Vazzi, Lisa",,,,,,lxv160630,lisa vazzi
COMM,1311,010,21,,4,,3,,,,,,,,,,"Hanson, Jocyln Y",,,,,,jyh140230,jocyln hanson
COMM,1311,013,22,1,2,,,1,,,1,,,,1,,"Davis, Letitia",,,,,,,letitia davis
LIT,3322,501,,6,,,12,,,9,,,1,,,,"Walsh, Dennis P",,,,,,dpw031000,dennis walsh
CS,6301,006,,28,,,,,,,,,,,,,"Cardenas, Alvaro","Lozano Carrillo, Juan Camilo",,,,,axc127431,alvaro cardenas
