Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,CR,I,NC,W,P,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized
ATCM,4326,0W1,8,4,1,2,,,1,,1,,,,1,,,,,,"Heaslip, Audra","Cole, Abby",,,,,axh027000,audra heaslip
ATCM,4330,0W1,,3,3,2,1,,,1,,1,1,,1,,,,,,"Nielsen, Christina R","Amartey, Belinda",,,,,crn022000,christina nielsen
ATCM,4350,0W1,2,1,2,2,1,1,1,,1,,,,2,,,,,,"Hewitt, Sharon A",,,,,,sxh090220,sharon hewitt
ATCM,4384,551,4,12,,,,,,,,,,,,,,,,,"Sen Gupta, Karl S",,,,,,dcr093020,david rheams
AUD,6216,0U1,,10,3,1,1,,,,,,,,,,,,,,"Cokely, Carol G",,,,,,cgc016200,
AUD,6352,0U1,,27,,,2,,,,,,,,,,,,,,"Clark, Jackie L","Crow, Sarah E",,,,,jclark,jackie clark
AUD,7240,5U1,,3,3,4,3,,,,,,,,,,,,,,"Griffiths, Scott K",,,,,,skg180000,
AUD,7280,064,,,,,,,,,,,,,,,,,,15,"Fowler-Brookman, Stephanie L","Mosley, Cornetta",,,,,cgc016200,
AUD,7280,070,,,,,,,,,,,,,,,,,,14,"Clark, Jackie L",,,,,,jclark,jackie clark
AUD,7325,5U1,,14,,,,,,,,,,,,,,,,,"Thibodeau, Linda K","Mosley, Cornetta","Qi, Shuang",,,,thib,linda thibodeau
AUD,8V97,064,,,,,,,,,,,,,,,,,,14,"Cokely, Carol G",,,,,,cgc016200,carol cokely
BA,1320,0U1,2,3,3,2,3,2,,,,,,,,,,,,,"Blueshtein, Moran","Zhang, Qiyan",,,,,mxb135230,moran blueshtein
BA,4090,091,,,,,,,,,,,,,,35,,,,,"Henderson, Thomas C",,,,,,txh093000,tom henderson
BA,4090,092,,,,,,,,,,,,,,23,,,,,"Gamino, John P",,,,,,jpg140630,john gamino
BA,4090,0U1,,,,,,,,,,,,,,24,,1,,,"Henderson, Thomas C",,,,,,,thomas henderson
BA,4090,0U2,,,,,,,,,,,,,,19,,2,1,,"Gamino, John P",,,,,,jpg140630,john gamino
BA,4095,0W1,,,,,,,,,,,,,,37,,,,,"Owens, Dawn M",,,,,,sxa063000,shawn alborz
BA,4095,0W2,,,,,,,,,,,,,,10,,,,,"Owens, Dawn M",,,,,,dmo130130,dawn owens
BA,4V90,0U3,,,,,,,,,,,,,,28,,,,,"Henderson, Thomas C",,,,,,,thomas henderson
BA,4V90,593,,,,,,,,,,,,,,20,,,,,"Henderson, Thomas C",,,,,,,thomas henderson
BCOM,3300,051,1,6,12,3,8,3,,1,1,,,,3,,,,,,"Ali, Shazia",,,,,,shazia,ali shazia
BCOM,4300,0U2,,2,6,3,5,2,,1,1,,,,,,,,,,"Fry, Jennifer L",,,,,,meg012400,margaret smallwood
BCOM,4300,0U4,1,,4,5,6,2,2,1,1,2,,,,,,,1,,"Harrison, Megan",,,,,,kxl164330,kathryn lookadoo
BCOM,4300,5U1,4,5,3,1,,,,,,,,,,,,,1,,"McCrady, Victoria D",,,,,,kxt200010,katrina tamez
BCOM,4300,5U2,2,8,9,8,4,5,1,,1,,,,,,,,,,"Moore, Sarah E",,,,,,sem054000,sarah moore
BIOL,2111,0U1,19,3,4,4,3,3,2,,,,,,1,,,,1,,"Sarcar, Subha",,,,,,candas,mehmet candas
BIOL,2112,0U1,13,11,3,,8,4,2,2,,1,1,1,6,,,,,,"Wu, Zhuoru","Xu, Linyi",,,,,candas,mehmet candas
BIOL,2281,3U1,3,4,5,2,,1,1,,,,,,,,,,1,,"Lin, Wen J","Briggs, Alyssa A","Dalvi, Hrishikesh H","Liu, Junyu","Liu, Yihan","Maity, Tuhina",wenju,wen ju lin
BIOL,2281,3U2,,3,,3,1,3,,,,,,,,,,,,,"Lin, Wen J","Briggs, Alyssa A","Liu, Junyu","Liu, Yihan","Maity, Tuhina","Basu, Ujjaini",wenju,wen ju lin
BIOL,2281,3U3,2,1,1,2,3,2,1,,2,,1,,1,,,,,,"Lin, Wen J","Briggs, Alyssa A","Dalvi, Hrishikesh H","Liu, Junyu","Liu, Yihan","Maity, Tuhina",wenju,wen ju lin
BIOL,2311,0U1,19,3,4,4,3,3,2,,,,,,1,,,,1,,"Sarcar, Subha","Camp, John M",,,,,candas,mehmet candas
BIOL,2312,0U1,13,11,3,,8,4,2,2,,1,1,1,6,,,,,,"Wu, Zhuoru","Tiwari, Suman","Thomas, Nathaniel","Xu, Linyi",,,candas,mehmet candas
BIOL,3101,0U1,49,37,18,43,22,16,11,9,4,2,1,3,1,,,,,,"Srikanth, Uma",,,,,,ixb053000,irina borovkov
BIOL,3102,0U1,2,1,1,2,4,2,1,,,,,,,,,,,,"Sarcar, Subha",,,,,,ukrish,uma srikanth
BIOL,3161,0U1,7,7,15,11,10,7,2,2,,2,,,1,,,,,,"Candas, Mehmet","Boyd, Stefanie D",,,,,candas,mehmet candas
BIOL,3162,0U1,,5,3,3,8,3,,1,1,,,,1,,,,,,"Candas, Mehmet","Boyd, Stefanie D",,,,,candas,mehmet candas
BIOL,3203,1U1,9,3,,,,,,,,,,,,,,,,,"Gomez, Amy Jo M","Bonde, Namrata Dinesh","Wickramasinghe, Piumi B",,,,cmb170830,
BIOL,3203,1U2,8,3,,,,,,,,,,,,,,,,,"Gomez, Amy Jo M","Wickramasinghe, Piumi B","Bonde, Namrata Dinesh",,,,amh240001,amy macbey gomez
BIOL,3301,0U1,49,37,18,43,22,16,11,9,4,2,1,3,1,,,,1,,"Srikanth, Uma","Afolami, Olufemi Ifeoluwa","Salaudeen, Ibrahim O","Maiti, Dibyo","Patel, Umar J","Maity, Subhajit",ixb053000,irina borovkov
BIOL,3302,0U1,2,1,1,2,4,2,1,,,,,,,,,,,,"Sarcar, Subha","Yamauchi, Stephanie A",,,,,ukrish,uma srikanth
BIOL,3303,0U1,,6,7,4,7,4,4,2,,1,,,,,,,,,"Boyd, Stefanie D",,,,,,sdb074000,stefanie boyd
BIOL,3318,0U1,15,16,9,1,,1,,1,,,,,,,,,,,"Gomez, Amy Jo M","Chacon Castro, Maria Del Carmen","Elhawary, Ezzeldin N",,,,unh130030,uyen henson
BIOL,3361,0U1,6,5,11,9,9,7,2,2,,2,,,1,,,,1,,"Boyd, Stefanie D","Candas, Mehmet",,,,,candas,mehmet candas
BIOL,3362,0U1,,4,1,3,8,3,,1,1,,,,1,,,,,,"Boyd, Stefanie D","Candas, Mehmet","Petter, Andrew T","Sunder Singh, Jacqulene Preethi",,,candas,mehmet candas
BIOL,3380,3U1,1,2,4,2,2,1,1,2,2,,,,2,,,,,,"Rippel, Scott A","Pickett, Elizabeth A","Shi, Zhan",,,,rippel,scott rippel
BIOL,3380,3U3,1,1,2,,3,,1,,1,1,2,1,1,,,,,,"Rippel, Scott A","Pickett, Elizabeth A","Zhi, Jiahe",,,,rippel,scott rippel
BIOL,3380,3U4,,1,4,2,1,1,,1,1,1,1,1,1,,,,,,"Pickett, Elizabeth A","Rippel, Scott A","Falah, Rafah M",,,,eaw016100,elizabeth pickett
BIOL,3455,3U1,,1,3,3,4,3,,4,3,2,1,1,,,,,2,,"Ramirez, Ruben D",,,,,,rdr092000,ruben ramirez
BIOL,3456,3U1,,2,1,1,3,3,3,,,,,,,,,,,,"Yu, Wen-Ho","Zhang, Nan",,,,,why061000,wen ho yu
BIOL,3V00,0W1,9,16,7,1,2,,,,,,,1,,,,,,,"Candas, Mehmet",,,,,,candas,mehmet candas
BIOL,4380,3U1,3,3,2,2,2,1,1,1,,,,,,,,,,,"Sadat, Eva L","Konakalla, Anisha Reddy","Joshi, Ketki","Shryock, Douglas G","Hari Prasad, Vineeth",,cmb170830,
BIS,2190,0W1,1,3,2,2,2,5,,,,,,,2,,,,,,"Dornback, Sarah",,,,,,cwe011000,christopher edwards
BIS,3320,0U1,3,5,2,1,1,3,,,,,,,,,,,,,"Wright, David A",,,,,,wright,david wright
BLAW,2301,5U1,,6,2,2,4,4,4,1,5,,2,,,,,,2,,"Betanzos, Christina L",,,,,,clb120030,christina betanzos
BMEN,3200,0U1,,18,1,2,1,1,,,1,,,,,,,,,,"Rivera, Christian","Kang, Gu Eon","Stout, Angeloh M",,,,cxr210008,christian rivera
BMEN,3302,051,1,2,,2,1,3,3,2,,,,,,,,,,,"Ali, Tariq M","Kian Pour, Bahareh",,,,,tma051000,tariq ali
BMEN,3320,051,1,2,2,2,,2,1,1,,,,,,,,,,,"Ali, Tariq M","Kian Pour, Bahareh",,,,,tma051000,tariq ali
BMEN,4388,0U1,,4,6,4,8,5,2,,1,,,,,,,,,,"Polk, Todd W",,,,,,twp017000,todd polk
BPS,4305,5U1,1,9,6,4,,,,,,,,,,,,,,,"Song, You-Xiang",,,,,,smc130730,shawn carraher
BPS,4395,5U1,5,35,,5,,,,,,,,,,,,,,,"Henderson, Thomas C",,,,,,txh093000,tom henderson
BPS,4395,5U2,32,10,5,,,,,,,,,,,,,,,,"Stogsdill, Robert",,,,,,jps210007,
BPS,6310,0W1,,17,1,1,1,,,1,,,,,,,,,,,"Kaplan, Marilyn R",,,,,,chasteen,larry chasteen
BPS,6310,GW1,,6,3,2,3,1,,,,,,,,,,,,,"Choi, Emily",,,,,,exc113230,emily choi
BPS,7303,0U1,,15,,,,,,,,,,,,,,,,,"Watson, John M",,,,,,jmw077000,john watson
BUAN,4090,091,,,,,,,,,,,,,,28,,,,,"Akarte, Prajakti V",,,,,,pva150330,prajakti akarte
BUAN,4090,0U1,,,,,,,,,,,,,,23,,,,,"Akarte, Prajakti V",,,,,,pva150330,prajakti akarte
BUAN,6009,091,,,,,,,,,,,,,,,,,,33,"Shekhar, Gaurav",,,,,,gxs150130,gaurav shekhar
BUAN,6009,0U1,,,,,,,,,,,,,,,,,,61,"Shekhar, Gaurav",,,,,,gxs150130,gaurav shekhar
